district,hazard,rp,dk_tot,dw_tot,res_tot,fa,dk_famax,dw_famax
Hambantota,PF,500.0,10381.583388970092,22837.98261677236,0.45457532581471505,0.39,0.0,0.0
Hambantota,PF,1000.0,10862.709886714358,23482.121901467974,0.4625949022960859,0.4,0.0,0.0
Kalutara,PF,5.0,26090.0055988722,42907.92678707369,0.6080462877719833,0.31,0.0,0.0
Kalutara,PF,10.0,30080.188289174344,49476.24763780439,0.607972304395015,0.36,0.0,0.0
Kalutara,PF,25.0,35055.98836420081,57060.534996819864,0.6143648734831277,0.42,0.0,0.0
Kalutara,PF,50.0,41989.390879703635,69883.92295986817,0.6008447880611486,0.51,0.0,0.0
Kalutara,PF,100.0,49528.523212558925,82786.57393465974,0.5982675796156256,0.59,0.0,0.0
Kalutara,PF,250.0,52009.607085585725,85698.95707418298,0.6068872814935778,0.63,0.0,0.0
Kalutara,PF,500.0,53790.443660383025,89553.19322465043,0.6006535526371009,0.65,0.0,0.0
Kalutara,PF,1000.0,55835.74741725018,92473.51521896463,0.6038025837456139,0.68,0.0,0.0
Kandy,PF,5.0,1666.8449781392853,3357.391067730261,0.4964703081986047,0.03,0.0,0.0
Kandy,PF,10.0,2218.254957961901,4354.198490441137,0.509451960637918,0.04,0.0,0.0
Kandy,PF,25.0,2830.748282930413,5525.76790819598,0.5122814294700586,0.05,0.0,0.0
Kandy,PF,50.0,2891.499653374458,5723.057474171572,0.5052368714492091,0.05,0.0,0.0
Kandy,PF,100.0,3113.9227036340376,6400.002594883205,0.4865502251707859,0.05,0.0,0.0
Kandy,PF,250.0,3490.3820155659114,7005.176097190742,0.4982575694229365,0.06,0.0,0.0
Kandy,PF,500.0,3694.214482520199,7350.2342037153785,0.5025982002931085,0.06,0.0,0.0
Kandy,PF,1000.0,3791.483070171032,7522.1094616342725,0.5040451869929694,0.06,0.0,0.0
Kegalle,PF,5.0,4744.61140815279,11173.789762326289,0.4246197135505261,0.14,0.0,0.0
Kegalle,PF,10.0,5009.27417807011,11651.752711998392,0.4299159364163136,0.15,0.0,0.0
Kegalle,PF,25.0,5829.986344151923,13818.053630160459,0.4219108204520858,0.17,0.0,0.0
Kegalle,PF,50.0,6111.0697968743225,14709.099703200816,0.4154618515193358,0.18,0.0,0.0
Kegalle,PF,100.0,6220.5410155749105,14612.10355932602,0.4257115336145231,0.18,0.0,0.0
Kegalle,PF,250.0,6712.195577209639,15564.00096201809,0.43126414561332105,0.2,0.0,0.0
Kegalle,PF,500.0,7143.3189943863945,16840.84218538304,0.424166375752064,0.21,0.0,0.0
Kegalle,PF,1000.0,7264.38128330234,17237.695067941768,0.4214241669010873,0.22,0.0,0.0
Kurunegala,PF,5.0,9549.38256998682,21552.79787715333,0.4430692768714487,0.14,0.0,0.0
Kurunegala,PF,10.0,10305.996682611863,23621.188500484703,0.4363030540313577,0.15,0.0,0.0
Kurunegala,PF,25.0,11783.09359855815,26196.10624712026,0.44980324508545866,0.17,0.0,0.0
Kurunegala,PF,50.0,12874.075421011843,29851.115699289323,0.4312761891616113,0.19,0.0,0.0
Kurunegala,PF,100.0,13958.62709519958,30820.80304846322,0.4528962815553757,0.2,0.0,0.0
