region,hazard,rp,c,dc0,dc_post_reco
ARMM,EQ,1,20574.4839999999,4221.826298006381,3163.3789736082026
ARMM,EQ,1,29654.223000000005,13353.946703835445,12014.20777452389
ARMM,EQ,1,49582.765999999996,27280.08850000001,0.16326895107457712
ARMM,EQ,1,36033.031,19680.373298006485,773.0639512785443
ARMM,EQ,1,26691.490000000005,10338.832298006488,1669.3265416111026
ARMM,EQ,1,74134.26600000003,57781.6082980065,514.7217014661023
ARMM,EQ,1,40324.543,23971.88529800648,512.6923624055612
ARMM,EQ,1,24047.217000000004,7694.559298006487,2799.3033574380097
ARMM,EQ,1,22369.79900000001,6017.14129800649,4935.45792013587
ARMM,EQ,1,37075.246,20722.58829800648,0.09844419470121904
ARMM,EQ,1,39071.258000000016,16768.580500000007,0.3053517922799922
ARMM,EQ,1,26297.23,9944.572298006482,996.1922621673751
ARMM,EQ,1,33310.34000000001,16957.682298006494,633.6123942786139
ARMM,EQ,1,54972.60500000002,32669.927500000016,0.02300127238296274
ARMM,EQ,1,35898.86700000001,19546.20929800649,501.22792908931814
ARMM,EQ,1,35811.52,19458.86229800648,0.05832387367929569
ARMM,EQ,1,19809.043,3456.385298006484,1211.0146942721842
ARMM,EQ,1,31539.020000000015,15186.362298006494,928.5040080769924
ARMM,EQ,1,23157.06400000001,12148.211507982483,10901.832471494625
ARMM,EQ,1,31960.361000000015,15607.703298006494,8627.001599668865
ARMM,EQ,1,30421.029000000013,14068.371298006492,202.76373008889755
ARMM,EQ,1,23679.551000000003,7326.893298006486,6346.899481377095
ARMM,EQ,1,43158.81300000002,26806.155298006488,1225.1261952804855
ARMM,EQ,1,59057.16800000001,42704.51029800649,426.66622182308623
ARMM,EQ,1,17095.063000000006,2933.0187998608612,2632.0977018564968
ARMM,EQ,1,29049.367000000013,12696.709298006492,5250.493099009033
ARMM,EQ,1,22669.916,6317.258298006484,4589.012618809405
ARMM,EQ,1,52692.141,36339.48329800648,637.6482330891847
ARMM,EQ,1,44630.92200000001,22328.244500000008,0.038610590629314635
ARMM,EQ,1,17699.430000000004,4160.54677774467,3733.6840843596697
ARMM,EQ,1,22091.17800000001,5738.52029800649,4777.019475287771
ARMM,EQ,1,26347.422,9994.764298006485,4574.820637098542
ARMM,EQ,1,20448.898000000005,4096.240298006487,1427.1240293571232
ARMM,EQ,1,23171.99200000001,9471.991115367437,8500.186240860947
