district,hazard,rp,dk_tot,dw_tot,res_tot,dk_lim,dw_lim,res_lim,dk_sub,dw_sub,res_sub,ratio_dw_lim_tot,avg_reco_t,sub_avg_reco_t,non_sub_avg_reco_t,pct_subs
Hambantota,PF,500.0,1253.035326584279,1753.2743037210778,0.7146829928008914,6.9217325318814,288.8270675725134,0.02396497180841134,1246.1135940523975,1464.4472361485632,0.8509105437828035,0.1647358128500022,2.8222166608925257,,2.8222166608925257,0.043263602879133674
Hambantota,PF,1000.0,1315.5014024491475,1846.1756284738794,0.7125548523986269,7.587318537014148,302.21253588388413,0.025105902754243594,1307.9140839121333,1543.9630925899949,0.847114863165615,0.16369652552162914,2.823391482140664,,2.823391482140664,0.051170419310477555
Kalutara,PF,5.0,3886.209354257095,4310.078360471612,0.9016563109149281,,,,3886.209354257095,4310.078360471612,0.9016563109149281,,10.869226517685178,,10.869226517685178,0.042493288580174246
Kalutara,PF,10.0,4496.822022640217,4932.61186859799,0.9116513000481349,,,,4496.822022640217,4932.61186859799,0.9116513000481349,,3.5726484610491203,,3.5726484610491203,0.03736240305361025
Kalutara,PF,25.0,5289.26363499829,5842.232878922197,0.9053496744508546,,,,5289.26363499829,5842.232878922197,0.9053496744508546,,7.397629141012974,,7.397629141012974,0.04004213790095982
Kalutara,PF,50.0,6369.221362629726,6940.237444797271,0.91772384061649,,,,6369.221362629726,6940.237444797271,0.91772384061649,,5.6171382877442735,,5.6171382877442735,0.0391515527671986
Kalutara,PF,100.0,7471.758659894061,8107.1779866995175,0.9216226253021811,,,,7471.758659894061,8107.1779866995175,0.9216226253021811,,24.07023217312361,,24.07023217312361,0.04138901989044534
Kalutara,PF,250.0,7932.371668049619,8700.496292082646,0.9117148495618564,,,,7932.371668049619,8700.496292082646,0.9117148495618564,,4.2447743573157455,,4.2447743573157455,0.041231240814597
Kalutara,PF,500.0,8251.608623007822,8901.9691494987,0.9269419478354963,,,,8251.608623007822,8901.9691494987,0.9269419478354963,,3.7403836571524787,,3.7403836571524787,0.0400562595898776
Kalutara,PF,1000.0,8589.443059531024,9574.81018882987,0.8970875547539949,,,,8589.443059531024,9574.81018882987,0.8970875547539949,,4.186432996425006,,4.186432996425006,0.042687935265664785
