district,hazard,rp,contributer,tot_k_recipient_BE,tot_k_recipient_PE,dk_public_recipient,int_cost_BE,ext_cost_BE,frac_k_BE,tot_k_contributer,prov_assets_PE,frac_k_PE,transfer_pub_BE,transfer_pub_PE,PE_to_BE,dw
Ampara,PF,10.0,Matale,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.02485771519508129,175924137430.58023,175924137430.58023,0.024863058577851687,0.0,0.0,,
Ampara,PF,10.0,Moneragala,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.014962054203986835,105890121411.75443,105890121411.75443,0.014965270428085306,0.0,0.0,,
Ampara,PF,10.0,Mullaitivu,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.002521192062443952,17843093598.966133,17843093598.966133,0.00252173401467575,0.0,0.0,,
Ampara,PF,10.0,Nuwara Eliya,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.02827440433071211,200104883099.96606,200104883099.96606,0.02828048216062361,0.0,0.0,,
Ampara,PF,10.0,Polonnaruwa,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.025723213484833297,182049480764.72516,182049480764.72516,0.025728742914012746,0.0,0.0,,
Ampara,PF,10.0,Puttalam,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.04116983111445283,291368976196.4101,291368976196.4101,0.04117868092886704,0.0,0.0,,
Ampara,PF,10.0,Rathnapura,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.043646924315845465,308899971357.07446,308899971357.07446,0.04365630660305646,0.0,0.0,,
Ampara,PF,10.0,Trincomalee,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.014809425542539617,104809930999.98251,104809930999.98251,0.014812608957775602,0.0,0.0,,
Ampara,PF,10.0,Vavuniya,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.009390462612540349,66458603384.11814,66458603384.11814,0.009392481174412838,0.0,0.0,,
Ampara,PF,25.0,Ampara,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.025504919976981292,180504564155.36774,178730522986.40533,0.025260583673166786,0.0,0.0,,
Ampara,PF,25.0,Anuradhapura,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.037965780033986256,268693122112.83997,268693122112.83997,0.03797529923891106,0.0,0.0,,
Ampara,PF,25.0,Badulla,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.034898447531192006,246984858882.20987,246984858882.20987,0.034907197660211095,0.0,0.0,,
Ampara,PF,25.0,Batticaloa,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.01880785088947196,133107766288.51399,133107766288.51399,0.01881256660416692,0.0,0.0,,
Ampara,PF,25.0,Colombo,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.16827158199925063,1190899191054.972,1190899191054.972,0.16831377293199623,0.0,0.0,,
Ampara,PF,25.0,Galle,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.04975399763330321,352121224684.96155,352121224684.96155,0.04976647251196704,0.0,0.0,,
Ampara,PF,25.0,Gampaha,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.1581592009699435,1119331394256.7307,1119331394256.7307,0.1581988564134356,0.0,0.0,,
Ampara,PF,25.0,Hambantota,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.031053099142104017,219770386708.82864,219770386708.82864,0.031060885122374145,0.0,0.0,,
Ampara,PF,25.0,Kalutara,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.07707039520378436,545446059352.33295,545446059352.33295,0.0770897191551144,0.0,0.0,,
Ampara,PF,25.0,Kandy,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.07009804909785185,496101058618.0596,496101058618.0596,0.07011562486459749,0.0,0.0,,
Ampara,PF,25.0,Kegalle,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.03902184995171133,276167187524.0863,276167187524.0863,0.03903163394629549,0.0,0.0,,
Ampara,PF,25.0,Kurunegala,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.08098853764042484,573175712825.5739,573175712825.5739,0.0810088439922414,0.0,0.0,,
Ampara,PF,25.0,Mannar,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.0030510670675589703,21593148762.496574,21593148762.496574,0.003051832065212897,0.0,0.0,,
Ampara,PF,25.0,Matale,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.02485771519508129,175924137430.58023,175924137430.58023,0.02486394779940795,0.0,0.0,,
Ampara,PF,25.0,Moneragala,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.014962054203986835,105890121411.75443,105890121411.75443,0.014965805657530962,0.0,0.0,,
Ampara,PF,25.0,Mullaitivu,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.002521192062443952,17843093598.966133,17843093598.966133,0.002521824203911237,0.0,0.0,,
Ampara,PF,25.0,Nuwara Eliya,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.02827440433071211,200104883099.96606,200104883099.96606,0.028281493605546205,0.0,0.0,,
Ampara,PF,25.0,Polonnaruwa,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.025723213484833297,182049480764.72516,182049480764.72516,0.02572966309656965,0.0,0.0,,
Ampara,PF,25.0,Puttalam,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.04116983111445283,291368976196.4101,291368976196.4101,0.041180153674894075,0.0,0.0,,
Ampara,PF,25.0,Rathnapura,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.043646924315845465,308899971357.07446,308899971357.07446,0.04365786796079435,0.0,0.0,,
Ampara,PF,25.0,Trincomalee,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.014809425542539617,104809930999.98251,104809930999.98251,0.01481313872731898,0.0,0.0,,
Ampara,PF,25.0,Vavuniya,180504564155.3679,178730522986.40533,0.0,0.0,0.0,0.009390462612540349,66458603384.11814,66458603384.11814,0.009392817094336002,0.0,0.0,,
Ampara,PF,50.0,Ampara,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.025504919976981292,180504564155.36774,178622114309.5811,0.02524564871944349,0.0,0.0,,
Ampara,PF,50.0,Anuradhapura,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.037965780033986256,268693122112.83997,268693122112.83997,0.03797588109630523,0.0,0.0,,
Ampara,PF,50.0,Badulla,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.034898447531192006,246984858882.20987,246984858882.20987,0.034907732508164244,0.0,0.0,,
Ampara,PF,50.0,Batticaloa,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.01880785088947196,133107766288.51399,133107766288.51399,0.01881285485024269,0.0,0.0,,
Ampara,PF,50.0,Colombo,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.16827158199925063,1190899191054.972,1190899191054.972,0.16831635183500113,0.0,0.0,,
Ampara,PF,50.0,Galle,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.04975399763330321,352121224684.96155,352121224684.96155,0.049767235033674376,0.0,0.0,,
Ampara,PF,50.0,Gampaha,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.1581592009699435,1119331394256.7307,1119331394256.7307,0.1582012803357271,0.0,0.0,,
Ampara,PF,50.0,Hambantota,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.031053099142104017,219770386708.82864,219770386708.82864,0.03106136103714085,0.0,0.0,,
Ampara,PF,50.0,Kalutara,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.07707039520378436,545446059352.33295,545446059352.33295,0.0770909003235055,0.0,0.0,,
Ampara,PF,50.0,Kandy,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.07009804909785185,496101058618.0596,496101058618.0596,0.07011669917594174,0.0,0.0,,
Ampara,PF,50.0,Kegalle,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.03902184995171133,276167187524.0863,276167187524.0863,0.039032231988846124,0.0,0.0,,
Ampara,PF,50.0,Kurunegala,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.08098853764042484,573175712825.5739,573175712825.5739,0.08101008520944875,0.0,0.0,,
Ampara,PF,50.0,Mannar,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.0030510670675589703,21593148762.496574,21593148762.496574,0.003051878825372487,0.0,0.0,,
Ampara,PF,50.0,Matale,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.02485771519508129,175924137430.58023,175924137430.58023,0.024864328764723963,0.0,0.0,,
Ampara,PF,50.0,Moneragala,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.014962054203986835,105890121411.75443,105890121411.75443,0.014966034963549769,0.0,0.0,,
Ampara,PF,50.0,Mullaitivu,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.002521192062443952,17843093598.966133,17843093598.966133,0.002521862843292341,0.0,0.0,,
Ampara,PF,50.0,Nuwara Eliya,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.02827440433071211,200104883099.96606,200104883099.96606,0.028281926934486386,0.0,0.0,,
Ampara,PF,50.0,Polonnaruwa,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.025723213484833297,182049480764.72516,182049480764.72516,0.02573005732637224,0.0,0.0,,
Ampara,PF,50.0,Puttalam,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.04116983111445283,291368976196.4101,291368976196.4101,0.041180784637056024,0.0,0.0,,
Ampara,PF,50.0,Rathnapura,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.043646924315845465,308899971357.07446,308899971357.07446,0.043658536886485404,0.0,0.0,,
Ampara,PF,50.0,Trincomalee,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.014809425542539617,104809930999.98251,104809930999.98251,0.014813365694175646,0.0,0.0,,
Ampara,PF,50.0,Vavuniya,180504564155.36795,178622114309.5811,0.0,0.0,0.0,0.009390462612540349,66458603384.11814,66458603384.11814,0.009392961011044702,0.0,0.0,,
Ampara,PF,100.0,Ampara,180504564155.36752,178482519575.0401,0.0,0.0,0.0,0.025504919976981292,180504564155.36774,178482519575.0401,0.02522641673506639,0.0,0.0,,
Ampara,PF,100.0,Anuradhapura,180504564155.36752,178482519575.0401,0.0,0.0,0.0,0.037965780033986256,268693122112.83997,268693122112.83997,0.03797663036359599,0.0,0.0,,
Ampara,PF,100.0,Badulla,180504564155.36752,178482519575.0401,0.0,0.0,0.0,0.034898447531192006,246984858882.20987,246984858882.20987,0.03490842124062832,0.0,0.0,,
Ampara,PF,100.0,Batticaloa,180504564155.36752,178482519575.0401,0.0,0.0,0.0,0.01880785088947196,133107766288.51399,133107766288.51399,0.018813226029432695,0.0,0.0,,
