district,hazard,rp,fa,v
Kegalle,PF,5.0,0.017180214096720044,0.12775828122261723
Kegalle,PF,10.0,0.01813855665830391,0.12762193584876458
Kegalle,PF,25.0,0.02111035129270534,0.1273967725792288
Kegalle,PF,50.0,0.022128153064315002,0.12801694100888653
Kegalle,PF,100.0,0.022524547797816676,0.12827422657413362
Kegalle,PF,250.0,0.024304826497985595,0.12959397490172103
Kegalle,PF,500.0,0.025865922227865313,0.12686442670564643
Kegalle,PF,1000.0,0.026304288168443834,0.12694898942694763
Kurunegala,PF,5.0,0.01666048012207563,0.12469148867314958
Kurunegala,PF,10.0,0.01798051880427177,0.12471914730948476
Kurunegala,PF,25.0,0.020557559113018858,0.12492511839744509
Kurunegala,PF,50.0,0.022460957666099218,0.12416606642630824
Kurunegala,PF,100.0,0.024353137760126292,0.12573594202888355
Kurunegala,PF,250.0,0.025930132575926072,0.12446062713744485
Kurunegala,PF,500.0,0.027613435646586013,0.1265325809612202
Kurunegala,PF,1000.0,0.030516345480278723,0.12391242701167594
Mannar,PF,5.0,0.06972612395772274,0.16585505627696104
Mannar,PF,10.0,0.08350958683771738,0.16430151042003716
Mannar,PF,25.0,0.08918810394108956,0.16940916947892187
Mannar,PF,50.0,0.09166508321169892,0.16326382114665416
Mannar,PF,100.0,0.0961640863766853,0.1699048703233224
Mannar,PF,250.0,0.10312321861316243,0.16206433542684492
Mannar,PF,500.0,0.12116978187046437,0.1637143732149184
Mannar,PF,1000.0,0.12784246072190508,0.1647828508983795
Matale,PF,5.0,0.0036024406084560682,0.12327719822965023
Matale,PF,10.0,0.005302857741333875,0.12226868370402702
Matale,PF,25.0,0.00721099050002427,0.12326707392363001
Matale,PF,50.0,0.0080764722742436,0.12338462982530801
Matale,PF,100.0,0.00896435475320725,0.12309290370337887
Matale,PF,250.0,0.010300251327061076,0.12446560489752033
Matale,PF,500.0,0.010300251327061076,0.12184547424877505
Matale,PF,1000.0,0.011375485154796715,0.12286670829278114
Moneragala,PF,5.0,0.0013954484979298296,0.1370685466216403
Moneragala,PF,10.0,0.0017742441900355818,0.13943446596455392
Moneragala,PF,25.0,0.0017742441900355818,0.1389539174022255
Moneragala,PF,50.0,0.0020637834259555022,0.13685938395294472
Moneragala,PF,100.0,0.0022335883913822143,0.13739821390465312
Moneragala,PF,250.0,0.002721233420299956,0.1392576401884214
Moneragala,PF,500.0,0.0028431446775294368,0.1342884394053646
Moneragala,PF,1000.0,0.003306842852348566,0.13542402306800638
Mullaitivu,PF,5.0,0.004824112835928296,0.17396205077807586
Mullaitivu,PF,10.0,0.0066168574709015845,0.17529722485901952
Mullaitivu,PF,25.0,0.00806409132168007,0.17333982110233442
Mullaitivu,PF,50.0,0.009439615387059643,0.17242158668366334
Mullaitivu,PF,100.0,0.009439615387059643,0.17116802770824738
Mullaitivu,PF,250.0,0.010195827669448447,0.1713124076964277
Mullaitivu,PF,500.0,0.010254499312047482,0.17669207116678112
Mullaitivu,PF,1000.0,0.010254499312047482,0.17281680874775274
Nuwara Eliya,PF,5.0,3.44533858089924e-05,0.135299510785961
Nuwara Eliya,PF,10.0,3.44533858089924e-05,0.13639122230483883
Nuwara Eliya,PF,25.0,3.44533858089924e-05,0.13587148173527033
Nuwara Eliya,PF,50.0,3.44533858089924e-05,0.13506882649639568
Nuwara Eliya,PF,100.0,3.44533858089924e-05,0.1371510107466756
Nuwara Eliya,PF,250.0,3.44533858089924e-05,0.13682316609671552
Nuwara Eliya,PF,500.0,3.44533858089924e-05,0.13705548495525827
Nuwara Eliya,PF,1000.0,3.44533858089924e-05,0.13317856595248043
Polonnaruwa,PF,5.0,0.06382672448590317,0.12666347475683523
