district,hazard,rp,c,di0,dc_post_reco
Ampara,PF,25.0,98519.72943798195,8133.894852206525,280.21875390949003
Ampara,PF,25.0,112511.37695889303,11037.548808740405,303.9667553751465
Ampara,PF,25.0,85912.50229941745,9982.545071273536,493.73906068348725
Ampara,PF,25.0,95651.56163628763,8861.767313743409,325.1862522106298
Ampara,PF,25.0,81180.42327382644,12393.304617054062,609.2701316311045
Ampara,PF,25.0,71568.00122168413,6415.244570192854,475.1334598057562
Ampara,PF,25.0,57576.857601503485,4945.2880248995725,487.72059840715553
Ampara,PF,25.0,60475.939127078076,5651.280619136064,489.42018873317085
Ampara,PF,25.0,52360.55341122071,4813.281463513198,697.266029596639
Ampara,PF,25.0,74835.46347775093,7364.612496336838,486.19547440456085
Ampara,PF,25.0,56740.34137382808,4903.53943686898,514.7579744609089
Ampara,PF,25.0,44218.53419803624,3475.623252839733,1317.423507773454
Ampara,PF,25.0,605065.9972873097,48891.911137367184,147.97168255208038
Ampara,PF,25.0,488816.7081473936,91214.19183374534,412.23445176716194
Ampara,PF,25.0,388130.14697549073,123892.87487368134,867.2066947845783
Ampara,PF,25.0,288427.55158802,47500.932667165784,386.1612110824033
Ampara,PF,25.0,137483.23233087818,16071.16706249973,324.50011865093643
Ampara,PF,25.0,398443.58869262255,38257.011268705086,190.9382193364926
Ampara,PF,25.0,317491.53791727184,34831.328571947786,227.97890111600944
Ampara,PF,25.0,335215.67189738806,39941.58356761982,254.91252550370683
Ampara,PF,25.0,139547.86596549634,20816.70316983952,444.3198221714187
Ampara,PF,25.0,98173.08675062767,9070.899598762018,313.8951702893952
Ampara,PF,25.0,318444.8712247427,46717.624651370345,329.30566170130834
Ampara,PF,25.0,86542.0618096601,10195.682639683726,498.6968506325308
Ampara,PF,25.0,91524.29825135127,9101.807234081629,371.6014528376042
Ampara,PF,25.0,112327.47662953242,15782.389320945025,474.02671557911293
Ampara,PF,25.0,105058.81406079694,9529.039548057095,290.5570485008577
Ampara,PF,25.0,53600.42459566611,8989.688416937259,1771.1125958419482
Ampara,PF,25.0,70295.09524284203,9918.556645637706,659.5786779872705
Ampara,PF,25.0,91499.10321483019,6414.167903314766,248.2005193691729
Ampara,PF,25.0,96166.94661591412,9010.666834400101,331.7537754382288
Ampara,PF,25.0,61103.395144736765,5689.803238524475,475.4033094734395
Ampara,PF,25.0,121001.10818365615,10187.13034436495,235.86930834098283
Ampara,PF,25.0,71678.84766375521,7574.608165903036,432.2601653798035
Ampara,PF,25.0,118426.06998360752,21069.97472269692,548.0976962725919
Ampara,PF,25.0,74376.01733851207,5479.208345058396,347.50923479662924
