region,hazard,rp,c,di0,dc_post_reco
ARMM,EQ,30,10059.235999999999,1009.9562275365737,880.9016481938264
ARMM,EQ,30,12778.623999999994,5155.563197149564,4496.757053329474
ARMM,EQ,30,29874.576,4233.905232531459,2.4851879484294277
ARMM,EQ,30,18023.363000000005,2446.367672566421,2131.723237651875
ARMM,EQ,30,14838.757999999994,5055.102305422378,4409.122296761079
ARMM,EQ,30,52654.16000000002,6196.8637865960645,0.05566255135706807
ARMM,EQ,30,32443.621000000014,4564.261409203813,0.9328914874769644
ARMM,EQ,30,15965.688999999993,1502.6183568290978,1310.5666022268128
ARMM,EQ,30,17331.016000000003,2875.9385945310246,2508.444404769882
ARMM,EQ,30,28648.329999999994,2553.569770393597,0.01911327267893063
ARMM,EQ,30,10255.122999999989,1341.1935179774628,1169.752033105926
ARMM,EQ,30,13014.176999999994,1391.1148329912494,1213.3064104927498
ARMM,EQ,30,7873.442399999989,683.6940310262568,596.2887756486676
ARMM,EQ,30,8486.358400000001,774.5585631775476,675.5836503825461
ARMM,EQ,30,16986.867,1600.1059612740235,1395.6406625751615
ARMM,EQ,30,9696.466799999997,995.6172145760187,868.3571848919464
ARMM,EQ,30,8711.33109999988,794.8489319961012,693.0387625557366
ARMM,EQ,30,10868.478000000003,2531.537093252667,2208.0513363925234
ARMM,EQ,30,12342.451,1186.5021367993447,1034.880831260292
ARMM,EQ,30,13108.972000000007,2666.91098351509,2326.119904204542
ARMM,EQ,30,19434.69099999999,2521.820108616523,1564.2767677754666
ARMM,EQ,30,19066.564,5222.313624373178,4554.9941211970145
ARMM,EQ,30,28151.270000000004,2813.650639783057,0.05821614152589907
ARMM,EQ,30,15792.004000000004,5291.948689352862,4615.731053986972
ARMM,EQ,30,15584.365000000005,5524.995740475525,4818.998805443291
ARMM,EQ,30,15020.540000000005,4860.208702014224,4239.159816473597
ARMM,EQ,30,11591.717999999988,3277.0411698722746,2858.212315537251
ARMM,EQ,30,16132.846000000007,7073.454488669638,6169.591857155471
ARMM,EQ,30,11302.902999999973,2793.5981043501597,2436.4870011850508
ARMM,EQ,30,39007.621000000014,4566.653288937632,0.03357489543502718
ARMM,EQ,30,21774.102000000006,2188.1652739908986,8.190372914560692
ARMM,EQ,30,14438.61799999999,1908.0548504308194,1664.1698319104376
ARMM,EQ,30,12669.294999999995,2058.024798979055,1795.0091796054455
ARMM,EQ,30,13252.528000000006,2577.4305981499992,2248.0804614210997
ARMM,EQ,30,11165.503,1248.8883314691338,1089.271267286382
ARMM,EQ,30,13535.723999999998,1218.9590086844055,1063.1975629774713
ARMM,EQ,30,13442.678000000005,2509.8337133192967,2189.1212653325965
ARMM,EQ,30,10541.116000000002,1372.6252112192512,1197.2279371599307
ARMM,EQ,30,13617.343,2159.8898677686702,1883.869815887835
ARMM,EQ,30,115887.63000000006,12935.584972895136,0.07613367251358298
ARMM,EQ,30,31989.949000000004,2801.620733020459,0.016828509285183906
ARMM,EQ,30,86130.10200000003,12204.63518517418,0.08384127929498715
ARMM,EQ,30,47048.687999999995,8393.620047934148,1.4027815149529232
ARMM,EQ,30,26999.949000000004,5568.984149928331,239.6274464912246
ARMM,EQ,30,30421.098000000005,5187.049757074621,16.510544827961528
ARMM,EQ,30,13415.059999999996,1159.832691747026,1011.5916249034289
ARMM,EQ,30,62799.98399999997,7186.004370742122,0.044022658963397306
ARMM,EQ,30,29728.338000000014,13944.831182836799,3683.9878292234525
ARMM,EQ,30,32550.324000000015,2994.7923090533063,0.01832845970842276
ARMM,EQ,30,26072.531000000003,2242.5400217015567,0.029668618089684608
ARMM,EQ,30,22811.916,4867.460400849508,274.065489349145
ARMM,EQ,30,46237.68400000002,11778.581274822342,84.97308656474563
ARMM,EQ,30,47098.53900000001,9543.711713158982,6.931351589113241
ARMM,EQ,30,11640.142999999993,3277.201405956326,2858.4001732418574
