,pc_fee,sav_i,sav_f
1219685,0.057818829538986066,0.0,-0.057818829538986066
1219689,0.045114013477804235,0.0,-0.045114013477804235
1219702,0.0352915936900181,0.0,-0.0352915936900181
1219714,0.021533452929826554,0.0,-0.021533452929826554
1219759,0.043223550406446126,0.0,-0.043223550406446126
1219792,0.0105965144080005,0.0,-0.0105965144080005
1219810,0.060708339695962794,0.0,-0.060708339695962794
1219870,0.055841416960233065,0.0,-0.055841416960233065
1219885,0.045303206225693934,0.0,-0.045303206225693934
1219899,0.042210467171047594,0.0,-0.042210467171047594
1219922,0.0383721925453263,0.0,-0.0383721925453263
1219925,0.0369826086022885,0.0,-0.0369826086022885
1220235,0.06152439341157502,0.0,-0.06152439341157502
1220299,0.03846263051266602,0.0,-0.03846263051266602
1220321,0.0562934550906674,0.0,-0.0562934550906674
1220375,0.042534095294699266,0.0,-0.042534095294699266
1220431,0.049091424341926176,0.0,-0.049091424341926176
1220495,0.0565400486277268,0.0,-0.0565400486277268
1220513,0.0485966832450022,0.0,-0.0485966832450022
1220524,0.06017991973005797,0.0,-0.06017991973005797
1220562,0.04357800607332355,0.0,-0.04357800607332355
1220640,0.05953391089103606,0.0,-0.05953391089103606
1220684,0.05526449832651922,0.0,-0.05526449832651922
1220685,0.04122987344065352,0.0,-0.04122987344065352
1220810,0.037392029556038674,0.0,-0.037392029556038674
1220847,0.057277670265823394,0.0,-0.057277670265823394
1220943,0.04262414032329783,0.0,-0.04262414032329783
1221041,0.047064333214003516,0.0,-0.047064333214003516
1221046,0.04551775379464668,0.0,-0.04551775379464668
1221078,0.06654917584499184,0.0,-0.06654917584499184
1221082,0.06395073765952616,0.0,-0.06395073765952616
1221112,0.04231572574968191,0.0,-0.04231572574968191
1221160,0.04177571109048884,0.0,-0.04177571109048884
1221168,0.05000963827728891,0.0,-0.05000963827728891
1221212,0.049105304642769375,0.0,-0.049105304642769375
1221214,0.059132173577679616,0.0,-0.059132173577679616
1221224,0.05771883389435703,0.0,-0.05771883389435703
1221226,0.027345912541839282,0.0,-0.027345912541839282
1221295,0.04641319778383995,0.0,-0.04641319778383995
1221328,0.031851045565317974,0.0,-0.031851045565317974
1221349,0.04353713831177071,0.0,-0.04353713831177071
1221364,0.03798226938716137,0.0,-0.03798226938716137
1221474,0.03863547761624812,0.0,-0.03863547761624812
1221544,0.054373474681037544,0.0,-0.054373474681037544
1221546,0.03105469575368841,0.0,-0.03105469575368841
1221586,0.044155061903696655,0.0,-0.044155061903696655
1221614,0.0005978960939266566,0.0,-0.0005978960939266566
1221689,0.0444086919471952,0.0,-0.0444086919471952
1221691,0.054237040806659455,0.0,-0.054237040806659455
1221698,0.03657767573931465,0.0,-0.03657767573931465
1221706,0.040675384045848494,0.0,-0.040675384045848494
1221755,0.06083160346801046,0.0,-0.06083160346801046
1221765,0.0541425250949472,0.0,-0.0541425250949472
1221782,0.04287477907779545,0.0,-0.04287477907779545
1221796,0.05380530919524027,0.0,-0.05380530919524027
1221844,0.0555263027354205,0.0,-0.0555263027354205
1221850,0.027562681065040808,0.0,-0.027562681065040808
1221857,0.05722199711179705,0.0,-0.05722199711179705
1221878,0.045748694556804984,0.0,-0.045748694556804984
1222066,0.04266615292745652,0.0,-0.04266615292745652
1222069,0.05283714066799681,0.0,-0.05283714066799681
1222074,0.01217213680465299,0.0,-0.01217213680465299
1222089,0.06045647308227573,0.0,-0.06045647308227573
1222102,0.021455833559244047,0.0,-0.021455833559244047
1222147,0.03532714208158269,0.0,-0.03532714208158269
1222153,0.029724525053108214,0.0,-0.029724525053108214
1222159,0.02048670721346917,0.0,-0.02048670721346917
1222166,0.03357870511777654,0.0,-0.03357870511777654
