region,hazard,rp,dk_tot,dw_tot,res_tot,dk_lim,dw_lim,res_lim,dk_sub,dw_sub,res_sub,ratio_dw_lim_tot,avg_reco_t,sub_avg_reco_t,non_sub_avg_reco_t,pct_subs
IX - Zamboanga Peninsula,HU,500,1612.8707852423213,3294.4970999624616,0.4895650948549018,,,,1612.8707852423213,3294.4970999624616,0.4895650948549018,,2170.544657111519,107857.33277941273,106.92536323116008,0.23653603725016245
IX - Zamboanga Peninsula,HU,1000,3088.926107008877,5923.035299819706,0.5215106698930027,,,,3088.926107008877,5923.035299819706,0.5215106698930027,,1372.4435251602802,45746.967457970146,59.957606020833275,0.2389484394310981
IX - Zamboanga Peninsula,HU,2000,14571.415661965952,27944.646459630592,0.5214385404022239,,,,14571.415661965952,27944.646459630592,0.5214385404022239,,945.5556623208346,42331.7919501525,18.133000408639237,0.2386414562485536
IX - Zamboanga Peninsula,PF,1,0.16017343729704606,0.09343421407593816,1.714291053669761,,,,0.16017343729704606,0.09343421407593816,1.714291053669761,,122701.71985066035,1545164.9563859939,6.784300978747799,0.18325480287586346
IX - Zamboanga Peninsula,PF,10,0.2002167966213077,0.11884962714828322,1.6846228416981603,,,,0.2002167966213077,0.11884962714828322,1.6846228416981603,,255.93978171171997,2911.9924403177492,9.38637036432485,0.18011427625685916
IX - Zamboanga Peninsula,PF,25,24.99057573482493,54.94168562802673,0.45485637088056124,,,,24.99057573482493,54.94168562802673,0.45485637088056124,,2227.441305896164,265228.8404990177,29.658025730804674,0.24649937622867105
IX - Zamboanga Peninsula,PF,30,36.13294259039301,82.68152465348551,0.4370135014058403,0.07785389618516415,1.9228214591242356,0.0404894046796333,36.05508869420783,80.75870319436132,0.4464545277235859,0.023255757161986218,407.74816645039033,51940.249988616,11.897942956101266,0.25085095370227084
IX - Zamboanga Peninsula,PF,50,109.97750146323857,247.53311223063724,0.4442941005838758,0.25819395350552593,5.905751836866063,0.04371906585945181,109.71930750973304,241.62736039377123,0.45408478299364574,0.023858431640302814,428.31215156805865,44309.66547094485,29.11159652824223,0.24830841705538295
IX - Zamboanga Peninsula,PF,100,301.1617969650887,627.9082454631337,0.4796270779068321,,,,301.1617969650887,627.9082454631337,0.4796270779068321,,535.9057447866768,31968.37225136324,29.994807312036933,0.2417795004888737
IX - Zamboanga Peninsula,PF,200,780.0289392691399,1569.7280330143524,0.4969197993943247,,,,780.0289392691399,1569.7280330143524,0.4969197993943247,,1250.130580956318,81644.53184193277,12.428112277884345,0.2425196228909177
IX - Zamboanga Peninsula,PF,250,994.581033560116,1882.6604784030685,0.5282848633460191,2.2593351435748974,52.41776018240301,0.04310247396517662,992.3216984165412,1830.2427182206654,0.5421803832560861,0.027842386231459744,6257.668037523364,324940.50687239616,13.357689464293705,0.24251427313868804
IX - Zamboanga Peninsula,PF,500,1735.4793521577337,3343.7938054243787,0.5190150628733146,,,,1735.4793521577337,3343.7938054243787,0.5190150628733146,,464.8802630994271,15490.40312868018,8.27426789096562,0.2407224584248544
IX - Zamboanga Peninsula,PF,1000,2593.081208840567,4579.621385417955,0.5662217442466396,,,,2593.081208840567,4579.621385417955,0.5662217442466396,,189.5869433749156,7512.202178538371,15.847293692042212,0.23593457725083739
IX - Zamboanga Peninsula,PF,2000,9570.369141235695,18097.97376394664,0.5288088747427091,,,,9570.369141235695,18097.97376394664,0.5288088747427091,,3912.457168408158,146947.61777433395,16.946509447883543,0.23319482672985561
IX - Zamboanga Peninsula,SS,200,28.640936393677705,63.906587384890024,0.4481687657828139,,,,28.640936393677705,63.906587384890024,0.4481687657828139,,1672.4959122996997,119692.45525397414,12.580872332405445,0.25006992700055963
IX - Zamboanga Peninsula,SS,250,31.11881082242134,67.31202993944495,0.4623068246555089,,,,31.11881082242134,67.31202993944495,0.4623068246555089,,1980.2621867750088,124334.48075211867,271.4043855830575,0.24228784108728513
IX - Zamboanga Peninsula,SS,500,197.71904188638794,357.03958453033056,0.5537734482479818,,,,197.71904188638794,357.03958453033056,0.5537734482479818,,2313.440037970697,90576.32272485692,86.76605287756271,0.23916851929968871
IX - Zamboanga Peninsula,SS,1000,505.33612238013325,959.7187787103272,0.526546039933912,,,,505.33612238013325,959.7187787103272,0.526546039933912,,885.9793515176062,21190.23805487772,357.29703482209476,0.2411831282155586
IX - Zamboanga Peninsula,SS,2000,1306.5792766075629,2695.5537234433764,0.4847164666926028,,,,1306.5792766075629,2695.5537234433764,0.4847164666926028,,841.7247411211547,43332.55196553661,37.76374948890516,0.2454694074643114
NCR,EQ,1,657.5219018336986,277.62674726598664,2.3683665508055127,0.46303214444775537,12.988513083002884,0.035649357358209975,657.0588696892511,264.6382341829844,2.482856914904167,0.04678408406578687,4.2101530201013,,4.2101530201013,0.02864787941187844
NCR,EQ,10,821.9023772921228,341.52080496718116,2.406595338667887,1.2617564925827254,33.72376807860905,0.03741445765021306,820.6406207995399,307.79703688857205,2.6661745320720103,0.09874586727402968,29.80553682108834,105485.07595667125,3.7607676386111613,0.027629911799177027
NCR,EQ,25,28915.15971986984,12253.035968331722,2.3598363535863105,22.344670035964604,562.1833781231002,0.03974623033246607,28892.815049833873,11690.852590208631,2.471403588993355,0.04588114974738319,23.879092451250095,27692.898594205963,3.3429572446039235,0.029074816589905864
NCR,EQ,30,48920.10647698546,20955.07537967319,2.3345230494584075,99.41797971334812,2553.3738430519284,0.038935927844595784,48820.68849727212,18401.701536621295,2.653052947311089,0.12184990016923289,41.93659230967893,50762.39313962521,4.300834297819795,0.03035061197285957
NCR,EQ,50,164943.47786208696,67711.73432358917,2.4359659298318186,141.04846910135896,3596.7175176393343,0.03921588737775953,164802.42939298562,64115.01680594985,2.570418563435392,0.05311808290791811,69.25688761327159,88803.63368309363,3.4627377402019057,0.028098551699658778
NCR,EQ,100,497560.57268686395,241490.36500232868,2.0603744281146206,2396.555345718356,31000.783950995392,0.07730628198005315,495164.0173411456,210489.5810513329,2.3524395595637015,0.12837275702778642,109.25175855965792,104924.02998012681,5.1655835630669715,0.033568588519249334
NCR,EQ,200,980124.8576740264,970887.1671298386,1.0095146901276866,26988.23722213738,286454.2404443318,0.09421482879874545,953136.6204518892,684432.9266855047,1.3925931720842724,0.29504380132158414,42.890843090480686,15044.408314410466,15.756315364578834,0.07621234317535455
NCR,EQ,250,1135116.9786880198,1380502.4174841107,0.8222491784959767,45883.69406376028,456477.39518440433,0.100516903022601,1089233.2846242583,924025.0222997124,1.1787919789372974,0.3306603374272311,1011.5191480015503,163655.61361073126,23.193078611116484,0.09365096975559731
NCR,EQ,500,1915436.1786708208,4983325.128807281,0.3843690967699844,207575.16417359072,1640148.4991502117,0.12655876238105201,1707861.0144972294,3343176.6296570795,0.510849770648346,0.3291273310001284,42848.38270497542,1011470.5994580131,328.5637682789112,0.3372367003275983
NCR,EQ,1000,2335616.959178875,7982814.058375889,0.2925806541526859,619472.4968539232,4217203.762953111,0.14689176328063777,1716144.4623249478,3765610.2954227696,0.45574138789958724,0.5282853555292637,10825.348284181238,119620.41651673993,171.65347056188034,0.5457794852009665
NCR,EQ,2000,2822468.760239298,12470656.873192413,0.2263287963849464,1600069.2376513511,9986233.119614076,0.16022750705755473,1222399.5225879445,2484423.753578325,0.49202537241375105,0.8007784370269231,28035.625302560697,84364.22337862417,830.8314421773264,0.8539282539392526
NCR,HU,1,6249.653276654574,2282.6401102863256,2.7379056595437823,,,,6249.653276654574,2282.6401102863256,2.7379056595437823,,117.68499620479241,233738.44952825893,2.7141475177578616,0.022185288390918174
NCR,HU,10,18211.5598524483,6852.849473954796,2.6575163983484327,,,,18211.5598524483,6852.849473954796,2.6575163983484327,,9.806082628958503,28541.34913004504,2.799318619278715,0.020311879701502607
NCR,HU,25,86300.36820194339,32423.062746140575,2.661696980252614,,,,86300.36820194339,32423.062746140575,2.661696980252614,,219.24034346028415,220241.58628077974,2.6829163566231355,0.021734696467962042
NCR,HU,30,109645.11138679656,42872.43409436087,2.5574734372550703,,,,109645.11138679656,42872.43409436087,2.5574734372550703,,37.7030902490506,70849.82573356881,2.846027663119078,0.0239931299004246
NCR,HU,50,196390.46707306275,73715.15439463807,2.664180366789653,,,,196390.46707306275,73715.15439463807,2.664180366789653,,110.24808456703757,145800.79380377303,2.8330840367797414,0.021613683190564826
NCR,HU,100,352072.09349716624,134180.6219460718,2.6238669070908514,,,,352072.09349716624,134180.6219460718,2.6238669070908514,,119.58739281799389,118965.0234079447,2.6710760298714162,0.0212605554807357
NCR,HU,200,549968.2439862435,285435.4855518362,1.9267689962338868,2826.6039662038097,42074.72045311153,0.06718057626440571,547141.6400200399,243360.76509872498,2.24827383246465,0.14740535981981326,236.19634815253332,126652.63326442859,15.519276228859304,0.03676305937419583
NCR,HU,250,607048.3187087307,354379.5224565936,1.712989267835264,5391.090188417784,61112.95755172096,0.08821517407098503,601657.2285203132,293266.5649048732,2.0515711660327614,0.17245058949253034,79.93639486543162,75015.2414855748,4.86972309913113,0.04134546941435102
NCR,HU,500,980555.0029438963,1027800.6658344672,0.9540322705938196,31921.060111659146,335766.64338661166,0.09506918194641596,948633.9428322371,692034.0224478589,1.3707909034251442,0.32668459415134166,207.42651705079797,53868.34070556641,12.498442676325123,0.07441148309039507
NCR,HU,1000,1514366.1013221971,2749847.8561299876,0.5507090503012221,72866.78380313478,687434.0778192716,0.10599821299852939,1441499.3175190617,2062413.7783107252,0.6989379787308054,0.24998985899777576,2566.2797561641146,116445.62266876442,60.867401090771416,0.18613455199070694
NCR,HU,2000,0.003688799426542037,0.0014403931830975882,2.560967012221771,,,,0.003688799426542037,0.0014403931830975882,2.560967012221771,,2.9270628847897404,,2.9270628847897404,0.022233730749862263
NCR,PF,1,24616.381247237958,9012.66283394556,2.731310568339702,,,,24616.381247237958,9012.66283394556,2.731310568339702,,38.55584222237231,48258.24454176386,2.9868562133668637,0.021381914988279675
NCR,PF,10,139505.03346759605,51058.20304747324,2.7322746422917805,,,,139505.03346759605,51058.20304747324,2.7322746422917805,,12.781152347303586,38531.113101719915,3.3078783804141274,0.02309977571367387
NCR,PF,25,206110.44329544,75918.73481770254,2.714882483096645,,,,206110.44329544,75918.73481770254,2.714882483096645,,3.100919731159421,,3.100919731159421,0.020751521290642713
NCR,PF,30,218346.67752181232,81510.05470690771,2.6787698561476754,,,,218346.67752181232,81510.05470690771,2.6787698561476754,,3.0975820338350992,,3.0975820338350992,0.02295512554191344
NCR,PF,50,250604.88947883033,90551.49808175924,2.767539961101012,,,,250604.88947883033,90551.49808175924,2.767539961101012,,53.044419184219514,40730.423674763275,3.047640354844937,0.02040822898937599
NCR,PF,100,295040.18178740994,113048.9538478892,2.6098444235441174,,,,295040.18178740994,113048.9538478892,2.6098444235441174,,40.3783002922749,37955.38779147672,3.097071687373924,0.021039021325926395
NCR,PF,200,339437.0245916722,124795.82463055699,2.719938953058202,,,,339437.0245916722,124795.82463055699,2.719938953058202,,759.400605071101,1026235.9098711628,2.777504284510781,0.020905426814537425
NCR,PF,250,355721.63437470415,135498.6477461068,2.6252781137804737,,,,355721.63437470415,135498.6477461068,2.6252781137804737,,14.264086544503273,45791.52509125547,3.0027677241561777,0.022155333041403248
NCR,PF,500,415654.0067341402,172711.8566189934,2.406632728470305,390.00398379318955,5764.415047334324,0.06765716566046742,415264.00275034696,166947.4415716591,2.487393630240824,0.033375908059692545,228.05274403625873,227529.1138201288,3.502424376004617,0.025926731646178064
NCR,PF,1000,471775.687812867,219730.9258839634,2.1470609378945804,1325.5474416832365,22169.820892976462,0.05979062474533469,470450.14037118375,197561.10499098717,2.3812892744887506,0.10089531459346787,291.35402211544147,164979.72887820465,5.7200716712829625,0.029420969071193192
NCR,PF,2000,0.003683812351983067,0.0014650739247952323,2.5144208013243694,,,,0.003683812351983067,0.0014650739247952323,2.5144208013243694,,2.8280622341896375,,2.8280622341896375,0.02386405333518639
NCR,SS,1,0.18917961334197916,0.008294517446976991,22.807790151906584,,,,0.18917961334197916,0.008294517446976991,22.807790151906584,,3.0,,3.0,
NCR,SS,10,0.2364745166774744,0.01046674991084374,22.592927001387753,,,,0.2364745166774744,0.01046674991084374,22.592927001387753,,3.0,,3.0,
NCR,SS,25,5.270849372956589,1.5103803445721324,3.4897497123148407,,,,5.270849372956589,1.5103803445721324,3.4897497123148407,,12.321436809181295,2417.1311280345517,2.8583391555644937,0.018272527994561052
NCR,SS,30,6.454624835783477,1.8417661885663403,3.504584282116645,,,,6.454624835783477,1.8417661885663403,3.504584282116645,,40.59144870049058,7783.300040115294,2.4875678372286956,0.017070877392842892
NCR,SS,50,931.66707765019,354.7439647942439,2.626308465009599,0.261523730715526,4.756272611832078,0.05498501706250793,931.4055539194743,349.987692182412,2.6612523089355666,0.013407620943151996,61.10940065764998,118447.82954694232,2.8338800343249124,0.023100112656531387
NCR,SS,100,13530.763951909521,5171.839864213512,2.6162379940522698,,,,13530.763951909521,5171.839864213512,2.6162379940522698,,54.756239594445496,70239.68862656836,2.9847133684996052,0.021025383680556023
NCR,SS,200,26393.847024597693,9805.143381384936,2.69183692659777,,,,26393.847024597693,9805.143381384936,2.69183692659777,,119.90027790333606,78949.77620397123,3.6034361142021627,0.0218669661850705
NCR,SS,250,28343.61440389872,10183.970898561598,2.783159406700781,,,,28343.61440389872,10183.970898561598,2.783159406700781,,34.27121225968106,18345.56740361204,2.769842552267378,0.01982432943347074
NCR,SS,500,36076.32679806274,13541.71645172554,2.664088184586508,,,,36076.32679806274,13541.71645172554,2.664088184586508,,56.055724379029904,69510.26448933948,4.810612156973373,0.022458873518490543
NCR,SS,1000,52129.642136846276,19757.003081629486,2.6385399608161024,,,,52129.642136846276,19757.003081629486,2.6385399608161024,,56.20519285691111,52660.96010478633,4.4924822037488035,0.02040611680684866
NCR,SS,2000,229695.77225089687,87374.1081197982,2.6288768743248534,,,,229695.77225089687,87374.1081197982,2.6288768743248534,,27.77798350929161,33860.35476323188,2.8031482880397602,0.02354498591724177
V - Bicol,EQ,1,106.57236039526815,540.7721756764015,0.19707441541711482,0.31976317676222576,8.904776034119196,0.035909176776264054,106.2525972185059,531.8673996422824,0.19977272021178233,0.01646677923652607,1628.5390421427512,53964.847636084516,21.722550223487676,0.3007305999203526
V - Bicol,EQ,10,133.60501236921922,679.4424956934896,0.19663917581848042,0.1837024293708961,5.118078161481817,0.035892853445151265,133.4213099398483,674.3244175320078,0.19785922987656793,0.007532761335833028,1004.3842476369491,36415.695678365766,18.05061412129199,0.30177728682163235
V - Bicol,EQ,25,1710.0270767229758,8593.678698167789,0.19898661990790525,2.4765018447732254,64.88651372360862,0.038166665192125485,1707.5505748782025,8528.792184444183,0.2002101279935786,0.007550493333831845,1444.3688550266102,51441.84543745524,20.56338827617773,0.3037792811889107
V - Bicol,EQ,30,2509.25961349452,12592.685120272212,0.19926326986887116,5.765942860719679,150.70303826226782,0.03826029605776915,2503.493670633801,12441.982082009948,0.2012134123110208,0.011967506280265834,773.5410184838393,26392.464368592577,18.398081308145134,0.29982034258791557
V - Bicol,EQ,50,6446.890346338055,32376.36784519789,0.19912333517962136,14.890730686914122,492.8394884973791,0.030214159040531735,6431.999615651141,31883.52835670052,0.20173424796943518,0.015222198204993454,810.468829101813,31568.43838334826,23.520234082984246,0.29915546706247076
V - Bicol,EQ,100,17159.453854282998,87091.28390791033,0.19702837166147735,10.865866908669066,519.3663606387616,0.020921391395671608,17148.587987374332,86571.91754727159,0.19808488102404045,0.0059634711688018715,856.9666681967285,31015.24965401255,17.407480272815988,0.30293196153735763
V - Bicol,EQ,200,36838.066943639795,182382.02347263542,0.2019829928532785,87.34096967191283,2814.497407712474,0.031032528021726107,36750.725973967885,179567.5260649228,0.204662428554485,0.015431879491866482,905.8094267284498,30060.83300462532,15.579699159080596,0.299014863330236
