region,hazard,rp,new_pov,new_sub,init_pov,init_sub,reg_pop
IVA - CALABARZON,EQ,25,13785.81806260478,7680.124268026288,957267.2336999999,330698.8042000001,14127199.83449001
IVA - CALABARZON,EQ,30,21289.06650063728,11070.078908377824,957267.2336999996,330698.8042,14127199.83449001
IVA - CALABARZON,EQ,50,71851.93492609102,37199.473389643885,957267.2337000013,330698.80419999996,14127199.834490038
IVA - CALABARZON,EQ,100,201460.89576054865,113625.89237796885,957267.2336999996,330698.80419999996,14127199.834490038
IVA - CALABARZON,EQ,200,400416.63300997595,225142.0858750296,957267.2336999994,330698.8042,14127199.83448998
IVA - CALABARZON,EQ,250,537694.1827486549,293011.46095765434,957267.2336999996,330698.8042000002,14127199.834490033
IVA - CALABARZON,EQ,500,1019713.8152369999,683435.2041094999,957267.2337,330698.80420000013,14127199.834489973
IVA - CALABARZON,EQ,1000,1237957.2712615004,830257.3044255008,957267.2337,330698.80420000013,14127199.834489973
IVA - CALABARZON,EQ,2000,2201667.971959999,4649378.881829505,957267.2337,330698.80420000013,14127199.834489973
IVA - CALABARZON,HU,1,6699.970914705933,3323.8648782527184,957267.2336999994,330698.8042000001,14127199.834490005
IVA - CALABARZON,HU,10,20189.01705080859,9617.400412897558,957267.2337000004,330698.80419999996,14127199.834489964
IVA - CALABARZON,HU,25,90564.78644936497,39722.31653321207,957267.2337000001,330698.8042,14127199.834490037
IVA - CALABARZON,HU,30,117062.72062247769,57899.30489827573,957267.2336999995,330698.8042000001,14127199.834490016
IVA - CALABARZON,HU,50,198788.2147098548,93341.05104687026,957267.2337000009,330698.80419999996,14127199.8344901
IVA - CALABARZON,HU,100,369548.9031475852,171250.22644987435,957267.233700001,330698.8041999999,14127199.834490083
IVA - CALABARZON,HU,200,669423.0748519981,323159.86532697344,957267.2336999996,330698.80419999996,14127199.834489867
IVA - CALABARZON,HU,250,779021.6071515001,372264.42800800013,957267.2337,330698.80420000013,14127199.834489973
IVA - CALABARZON,HU,500,1207140.1489949997,735254.1476040002,957267.2337,330698.80420000013,14127199.834489973
IVA - CALABARZON,HU,1000,1571193.8794305015,1260575.050728499,957267.2337,330698.80420000013,14127199.834489973
IVA - CALABARZON,HU,2000,0.007337204167267684,0.0033997051404827017,957267.2337000004,330698.8042000001,14127199.834489945
IVA - CALABARZON,PF,1,4119.153252925113,2051.903086081456,957267.2336999995,330698.8042,14127199.834489975
IVA - CALABARZON,PF,10,21032.88668360161,10724.923402679035,957267.2337000002,330698.80420000013,14127199.834490001
IVA - CALABARZON,PF,25,39482.67996360635,17804.53428300457,957267.2336999999,330698.80419999996,14127199.83449007
IVA - CALABARZON,PF,30,44029.66998405055,21991.323387117798,957267.2337000007,330698.8042,14127199.834490012
IVA - CALABARZON,PF,50,56687.39850744977,28234.46650773599,957267.2336999994,330698.80419999996,14127199.834490042
IVA - CALABARZON,PF,100,79857.12394515777,39702.384313551025,957267.2336999999,330698.8042000001,14127199.834489971
IVA - CALABARZON,PF,200,100004.53651842945,55832.84085093902,957267.2337000003,330698.80419999996,14127199.83448996
IVA - CALABARZON,PF,250,120522.89412092703,55486.02509458553,957267.2337000002,330698.80419999996,14127199.834489962
IVA - CALABARZON,PF,500,145189.93403026473,73149.5233578758,957267.2337000004,330698.80420000013,14127199.834489921
IVA - CALABARZON,PF,1000,180525.31162888493,83816.84473273631,957267.2337000007,330698.8042,14127199.834489971
IVA - CALABARZON,PF,2000,0.007496309261454277,0.003404663233607936,957267.2337000006,330698.8042000001,14127199.834489945
IVA - CALABARZON,SS,1,505.89697411067857,264.7520367977756,957267.2337000004,330698.8042,14127199.834490027
IVA - CALABARZON,SS,10,4294.122076946794,2173.9569138710835,957267.2337000002,330698.8041999999,14127199.834490037
IVA - CALABARZON,SS,25,6698.0859671711505,2963.1628411498714,957267.233699999,330698.80419999996,14127199.834490053
IVA - CALABARZON,SS,30,7127.12914164577,3217.4460580927644,957267.2337,330698.8041999999,14127199.834490025
