Region,hazard,rp,hhid,affected_cat,helped_cat,index,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_net_t0,dc_pre_reco,dc_t,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,help_fee,hh_reco_rate,integ,intermed_sf_num,k,optimal_hh_reco_rate,pc_fee,pcsoc,pcwgt,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,sub_savings_q1,sub_savings_q3,t_exhaust_sav,t_pov_cons,t_pov_inc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
Bucharest-Ilfov,EQ,5000,823409263711,a,helped,7964,75856.40547667434,15800.657894736842,0.007261625808311671,72064.56517343444,72064.56517343444,0.0,72063.57,72063.57,0.0,72063.57,0.0,72063.57,0.0,72063.57,357999.0,357999.0,357999.0,0.0,0.08723134895245699,2093018.7027086779,,0.0,23.914814781281013,47939885.949329995,376841.1573710888,0.0050000000000000044,,0.0,133.91066999999998,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.786428886710565e-08,1051343.9260979826,140786169.5442113
Bucharest-Ilfov,EQ,5000,823411657713,a,helped,11884,96431.15655116954,15800.657894736842,0.006440525556783441,91610.55340777493,91610.55340777493,0.0,91609.55,91609.55,0.0,91609.55,0.0,91609.55,0.0,91609.55,455100.0,455100.0,455100.0,0.0,0.08723134895245699,1856345.6547955265,,0.0,23.914720880046257,240348220.71269998,479052.8685484525,0.0050000000000000044,,0.0,528.121777,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,3.339442244149528e-08,1051343.9260979826,555237622.4890232
Bucharest-Ilfov,EQ,5000,823411900513,a,helped,12052,37131.53729269172,15800.657894736842,0.010379072143759225,35275.811095638484,35275.811095638484,0.0,35274.81,35274.81,0.0,35274.81,0.0,35274.81,0.0,35274.81,175239.0,175239.0,175239.0,0.0,0.08723134895245699,2991412.018788747,,0.0,23.913628711543772,42694407.91385101,184462.88616520874,0.0050000000000000044,,0.0,243.63530900000003,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.3976087310828966e-07,1051343.9260979826,256144502.3001552
Bucharest-Ilfov,EQ,5000,823411972313,a,helped,12276,78973.79200311299,15800.657894736842,0.0071168612655323924,75026.02364351836,75026.02364351836,0.0,75025.02,75025.02,0.0,75025.02,0.0,75025.02,0.0,75025.02,372711.0,372711.0,372711.0,0.0,0.08723134895245699,2051270.9401179296,,0.0,23.914555119080546,244472173.41849,392327.7802767499,0.0050000000000000044,,0.0,655.92959,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.5058373702328104e-08,1051343.9260979826,689607590.3944399
Bucharest-Ilfov,EQ,5000,823414561313,a,helped,17288,58450.997370725076,15800.657894736842,0.008272447747107916,55529.35279125853,55529.35279125853,0.0,55528.35,55528.35,0.0,55528.35,0.0,55528.35,0.0,55528.35,275855.0,275855.0,275855.0,0.0,0.08723134895245699,2384322.8786409423,,0.0,23.914362709707778,907962832.1665499,290374.17948114715,0.0050000000000000044,,0.0,3291.4496099999997,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,7.076395715405821e-08,1051343.9260979826,3460445555.531073
Bucharest-Ilfov,EQ,5000,823414564513,a,helped,17316,133008.49179471663,15800.657894736842,0.005483909905304424,126358.97693549136,126358.97693549136,0.0,126357.98,126357.98,0.0,126357.98,0.0,126357.98,0.0,126357.98,627724.0,627724.0,627724.0,0.0,0.08723134895245699,1580618.3080088906,,0.0,23.91467456421287,84538963.52719,660762.5773082104,0.0049999999999999975,,0.0,134.6753725,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,2.0614886430590502e-08,1051343.9260979826,141590134.8728583
Bucharest-Ilfov,EQ,5000,823415208813,a,helped,18912,75388.79749770851,15800.657894736842,0.007284111543283055,71620.30614383446,71620.30614383446,0.0,71619.31,71619.31,0.0,71619.31,0.0,71619.31,0.0,71619.31,355792.0,355792.0,355792.0,0.0,0.08723134895245699,2099488.1045774845,,0.0,23.914681937705137,115040685.17113599,374518.16393523954,0.0049999999999999975,,0.0,323.336908,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.831030461458455e-08,1051343.9260979826,339938294.3091022
Bucharest-Ilfov,EQ,5000,823415293113,a,helped,19024,82506.83006641017,15800.657894736842,0.006962818022923344,78382.42376112161,78382.42376112161,0.0,78381.42,78381.42,0.0,78381.42,0.0,78381.42,0.0,78381.42,389385.0,389385.0,389385.0,0.0,0.08723134895245699,2006877.0228637666,,0.0,23.914620548781944,37183417.007107496,409879.2862364993,0.0050000000000000044,,0.0,95.4926795,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,4.219540380668446e-08,1051343.9260979826,100395648.57914633
Bucharest-Ilfov,EQ,5000,823416889713,a,helped,21208,20782.57684292447,15800.657894736842,0.013873316627136216,19744.257762663092,19744.257762663092,0.0,19743.26,19743.26,0.0,19743.26,0.0,19743.26,0.0,19743.26,98081.0,98081.0,98081.0,0.0,0.08723134895245699,3998251.095313848,,0.0,23.912090471757356,17657047.8650815,103244.15270440787,0.0050000000000000044,,0.0,180.0251615,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,3.337727735109868e-07,1051343.9260979826,189268360.08783337
Bucharest-Ilfov,EQ,5000,842700707111,a,helped,37404,38127.36909974852,15800.657894736842,0.010242632159348883,35585.753436482046,35585.753436482046,0.0,35542.14,35584.75,0.0,35542.14,0.0,35542.14,0.0,35542.14,176506.0,176506.0,176506.0,0.0,0.08723134895245699,2426088.8260643077,,0.0,19.652730549718243,1198519937.1023998,185796.456470974,0.0049999999999999975,,728.0,6790.250399999999,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.3432125532386186e-07,1051343.9260979826,7138888514.724396
