,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,pcwgt,pcsoc,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
32,Ampara,PF,5.0,52102059071,helped,a,43493.30859375,2.4314791742801813,0.0,94081.69105696892,286356.6183477122,0.7950000000000005,36266,0,36266.0,2.008754577557463e-05,0.0,0.7950000000000005,40746.566035004216,0.0,40746.566035004216,1,36346.798828125,500.0,50.0,0,0.006520448035778218,0.005906224304085141,-1,0.0,0.0,33081.46,19237.43,7842.81,8964.0,1.905,81678.49157033728,11036.59,11036.59,0,37742.31,8964.0,548.95,8964.0
33,Ampara,PF,5.0,52102059081,helped,a,43493.30859375,3.241972232373575,0.0,75890.76029783554,230988.84850577163,0.8450000000000005,27284,0,27284.0,2.008754577557463e-05,0.0,0.8450000000000005,32019.064272295123,0.0,32019.064272295123,1,36346.798828125,500.0,50.0,0,0.007259981997559127,0.003822931551529285,-1,0.0,0.0,24744.730000000007,18214.489999999994,6326.38,4803.0,2.245,81538.51941920456,8263.26,8263.26,0,29515.77,4803.0,471.56,4803.0
34,Ampara,PF,5.0,52102059091,helped,a,43493.30859375,2.4314791742801813,0.0,133528.55686287096,406421.11729208345,0.9650000000000006,41975,0,41975.0,2.008754577557463e-05,0.0,0.9650000000000006,54296.647516111574,0.0,54296.647516111574,1,36346.798828125,500.0,50.0,0,0.0054732201605824605,0.005250577733476177,-1,0.0,0.0,37544.0,21367.510000000002,11131.17,11402.0,1.617,93000.67434537294,12566.47,12566.47,0,49476.37,11402.0,724.8,11402.0
35,Ampara,PF,5.0,52102059101,helped,a,43493.30859375,4.862958348560363,0.0,79044.18222716646,240586.924707016,1.0350000000000006,22732,0,22732.0,2.008754577557463e-05,0.0,1.0350000000000006,30996.157006223897,0.0,30996.157006223897,1,36346.798828125,500.0,50.0,0,0.007113691715146476,0.0018483596139375474,-1,0.0,0.0,20168.469999999998,18358.020000000004,6589.26,2480.0,2.44,100053.95776370837,6759.77,6759.77,0,28054.59,2480.0,487.41,2480.0
36,Ampara,PF,5.0,52102060011,helped,a,43493.30859375,1.8010988102314913,0.0,105491.44572760708,321084.5098955219,0.9650000000000006,31743,0,31743.0,2.008754577557463e-05,0.0,0.9650000000000006,41061.07164035567,0.0,41061.07164035567,1,36346.798828125,500.0,50.0,0,0.006157740367626415,0.0035129642339829527,-1,0.0,0.0,28392.110000000004,19872.819999999992,8793.94,6159.0,1.966,52096.71104199348,9503.22,9503.22,0,37415.81,6159.0,595.59,6159.0
37,Ampara,PF,5.0,52102060021,helped,a,43493.30859375,2.701648215347238,0.0,76291.96779815527,232210.00452195894,0.6450000000000004,38762,0,38762.0,2.008754577557463e-05,0.0,0.6450000000000004,37736.64007193606,0.0,37736.64007193606,1,36346.798828125,500.0,50.0,0,0.007240867280425336,0.00890270374555856,-1,0.0,0.0,35976.79,18236.82,6359.83,10566.0,1.974,98412.10202950708,11967.89,11967.89,0,35463.11,10566.0,475.48,10566.0
38,Ampara,PF,5.0,52102060031,helped,a,43493.30859375,4.502747025578729,0.0,61854.62667022436,188267.04243358347,0.7150000000000004,29083,0,29083.0,2.008754577557463e-05,0.0,0.6,25557.827842099367,0.0,25557.827842099367,2,36346.798828125,500.0,50.0,0,0.00804162654791702,0.005889541462539979,-1,0.0,0.0,27214.159999999996,17757.480000000003,5156.31,5878.0,2.671,123963.32726239772,9045.1,9045.1,0,25563.46,5878.0,376.46,5878.0
39,Ampara,PF,5.0,52102060041,helped,a,43493.30859375,4.502747025578729,0.0,60139.95723148842,183048.0998684113,0.7150000000000004,26803,0,26803.0,2.008754577557463e-05,0.0,0.612,23843.15840336342,0.0,23843.15840336342,2,36346.798828125,500.0,50.0,0,0.008155459553498208,0.004851965252425733,-1,0.0,0.0,25046.860000000004,17683.56,5013.37,4769.0,2.869,114117.4405063863,8326.69,8326.69,0,23837.19,4769.0,364.71,4769.0
40,Ampara,PF,5.0,52102060051,helped,a,43493.30859375,4.502747025578729,0.0,73982.6970432079,225181.27282287012,1.0350000000000006,20108,0,20108.0,2.008754577557463e-05,0.0,1.0350000000000006,27418.208916116055,0.0,27418.208916116055,1,36346.798828125,500.0,50.0,0,0.007353005924870206,0.001081012015289651,-1,0.0,0.0,17840.370000000003,18197.85,6167.32,1371.0,2.894,81948.73509636571,5979.47,5979.47,0,24816.18,1371.0,447.0,1371.0
41,Ampara,PF,5.0,52102060061,helped,a,43493.30859375,6.303845835810221,0.0,48480.07555637553,147558.8962910861,1.2150000000000007,10439,0,10439.0,2.008754577557463e-05,0.0,0.942,12183.276728250527,0.0,12183.276728250527,2,36346.798828125,500.0,50.0,0,0.009083398165646546,0.0,-1,0.0,0.0,9419.609999999999,17504.96,4041.39,0.0,10.0,60467.37179550865,3151.47,3151.47,0,12187.27,0.0,232.7,0.0
42,Ampara,PF,5.0,52102060071,helped,a,43493.30859375,2.701648215347238,0.0,122011.01352844005,371365.1491874735,0.9050000000000006,42240,0,42240.0,2.008754577557463e-05,0.0,0.9050000000000006,52105.03754807749,0.0,52105.03754807749,1,36346.798828125,500.0,50.0,0,0.005725724904569222,0.0058175285985599045,-1,0.0,0.0,38043.99,20635.059999999998,10171.04,11463.0,1.673,104589.44769038068,12719.12,12719.12,0,47754.57,11463.0,691.28,11463.0
43,Ampara,PF,5.0,52102060091,helped,a,43493.30859375,2.701648215347238,0.0,113963.84798217923,346871.9764221571,0.8450000000000005,41589,0,41589.0,2.008754577557463e-05,0.0,0.8450000000000005,48806.65826200271,0.0,48806.65826200271,1,36346.798828125,500.0,50.0,0,0.005924428238197459,0.006122443370394087,-1,0.0,0.0,37718.409999999996,20280.820000000003,9500.22,11226.0,1.739,103574.54652180334,12595.69,12595.69,0,44990.91,11226.0,643.56,11226.0
