,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcexp,pcsoc,c,pov_line,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
1424254,NCR,PF,500,137653806187,not_helped,na,959.2493093436767,256724.068635184,11059.826704332825,256724.06863518403,22302.6775,1.0350000000000006,0,0,0.0,0.0017254656849746133,0.0,1.0350000000000006,67.61151664067155,0.0,67.61151664067155,0,15573.959716184301,0,0.003947268802876932,0.00011309835659988938,-1,0.0,0.0,0.0,-131.21,15.46,0.0,10.0,0.0,19.08,19.08,0.0,19.08,19.08,0.0,67.61
1424255,NCR,PF,500,137654901058,not_helped,na,399.2150377981352,783985.4799419807,125325.10091825124,783985.4799419806,22302.6775,1.1150000000000009,0,0,0.0,0.0017254656849746133,0.0,1.1150000000000009,766.1440249247863,0.0,766.1440249247863,0,15573.959716184301,0,0.002258790674306179,0.00041981280537185963,-1,0.0,0.0,0.0,-131.21,262.03,0.0,10.0,0.0,216.24,216.24,0.0,216.24,216.24,0.0,766.14
1424257,NCR,PF,500,137654901481,not_helped,na,399.2150377981352,1421538.4276706562,358150.78961435606,1421538.4276706565,22302.6775,0.9650000000000006,0,0,0.0,0.0017254656849746133,0.0,0.9650000000000006,2189.466319792707,0.0,2189.466319792707,0,15573.959716184301,0,0.0016774542857831234,0.0006618384331891455,-1,0.0,0.0,0.0,-131.21,503.66,0.0,10.0,0.0,617.98,617.98,0.0,617.98,617.98,0.0,2189.47
1424259,NCR,PF,500,137654901799,not_helped,na,798.4301062783652,397912.9821619974,76443.06772104211,397912.9821619975,22302.6775,0.8450000000000005,0,0,0.0,0.0017254656849746133,0.0,0.8450000000000005,467.3157982900784,0.0,467.3157982900784,0,15573.959716184301,0,0.0031705597457666653,0.0005045656192503759,-1,0.0,0.0,0.0,-131.21,60.72,0.0,10.0,0.0,131.9,131.9,0.0,131.9,131.9,0.0,467.32
1424286,NCR,PF,500,1339103903199,not_helped,na,985.0076950349752,314508.0051537106,22237.328930699972,314508.0051537106,22302.6775,0.8450000000000005,0,0,0.0,0.0017254656849746133,0.0,0.8450000000000005,135.94241349668647,0.0,135.94241349668647,0,15573.959716184301,0,0.0035662693712190234,0.00018563440476817566,-1,0.0,0.0,0.0,-131.21,43.28,0.0,10.0,0.0,38.37,38.37,0.0,38.37,38.37,0.0,135.94
1424345,NCR,PF,500,1339230148005,not_helped,na,1179.2198327515346,261028.4772144004,7430.602733722951,261028.47721440048,22302.6775,0.7950000000000005,0,0,0.0,0.0017254656849746133,0.0,0.7950000000000005,45.4251530165938,0.0,45.4251530165938,0,15573.959716184301,0,0.00391458791262926,7.473094360574433e-05,-1,0.0,0.0,0.0,-131.21,20.19,0.0,10.0,0.0,12.82,12.82,0.0,12.82,12.82,0.0,45.43
1424346,NCR,PF,500,1339230168007,not_helped,na,589.6099010347199,333735.36646170303,77141.85446510652,333735.3664617031,22302.6775,0.7950000000000005,0,0,0.0,0.0017254656849746133,0.0,0.7950000000000005,471.58765831443867,0.0,471.58765831443867,0,15573.959716184301,0,0.0034620144775056863,0.0006071635581361276,-1,0.0,0.0,0.0,-131.21,21.98,0.0,10.0,0.0,133.11,133.11,0.0,133.11,133.11,0.0,471.59
1424347,NCR,PF,500,1339230198008,not_helped,na,393.07328014068605,375580.84602221963,51495.93979913648,375580.8460222197,22302.6775,1.0350000000000006,0,0,0.0,0.0017254656849746133,0.0,1.0350000000000006,314.80769850510677,0.0,314.80769850510677,0,15573.959716184301,0,0.0032634598780645024,0.0003600538569845371,-1,0.0,0.0,0.0,-131.21,62.28,0.0,10.0,0.0,88.85,88.85,0.0,88.85,88.85,0.0,314.81
1424372,NCR,PF,500,1339620217249,not_helped,na,740.0633117604623,505616.74958909716,25615.585054622617,505616.7495890973,22302.6775,0.7550000000000004,0,0,0.0,0.0017254656849746133,0.0,0.7550000000000004,156.59454722763945,0.0,156.59454722763945,0,15573.959716184301,0,0.002812673163381533,0.0001330047276117848,-1,0.0,0.0,0.0,-131.21,155.36,0.0,10.0,0.0,44.2,44.2,0.0,44.2,44.2,0.0,156.59
1424396,NCR,PF,500,1374122448002,not_helped,na,487.9711049378863,333099.0500044643,13845.34996469464,333099.0500044643,22302.6775,1.0350000000000006,0,0,0.0,0.0017254656849746133,0.0,1.0350000000000006,84.64012452990264,0.0,84.64012452990264,0,15573.959716184301,0,0.0034653196291231114,0.0001091199217450262,-1,0.0,0.0,0.0,-131.21,59.39,0.0,10.0,0.0,23.89,23.89,0.0,23.89,23.89,0.0,84.64
1424417,NCR,PF,500,1374311558005,not_helped,na,892.9257425055553,326234.1178425034,26150.027063823807,326234.1178425035,22302.6775,0.9050000000000006,0,0,0.0,0.0017254656849746133,0.0,0.9050000000000006,159.86172634034872,0.0,159.86172634034872,0,15573.959716184301,0,0.003501590107649943,0.00021045761629504318,-1,0.0,0.0,0.0,-131.21,47.95,0.0,10.0,0.0,45.12,45.12,0.0,45.12,45.12,0.0,159.86
1424441,NCR,PF,500,1374362138010,not_helped,na,1108.1335610328006,353448.88253671024,21791.691193694205,353448.88253671036,22302.6775,1.3350000000000009,0,0,0.0,0.0017254656849746133,0.0,1.3350000000000009,133.21811735021316,0.0,133.21811735021316,0,15573.959716184301,0,0.003364082898150355,0.00016186816437877883,-1,0.0,0.0,0.0,-131.21,66.8,0.0,10.0,0.0,37.6,37.6,0.0,37.6,37.6,0.0,133.22
1424442,NCR,PF,500,1374383108008,not_helped,na,1523.6837998305753,507987.153614903,18159.740895945026,507987.1536149031,22302.6775,1.0350000000000006,0,0,0.0,0.0017254656849746133,0.0,1.0350000000000006,111.01508699909935,0.0,111.01508699909935,0,15573.959716184301,0,0.0028061031471480562,9.384740118485603e-05,-1,0.0,0.0,0.0,-131.21,161.23,0.0,10.0,0.0,31.33,31.33,0.0,31.33,31.33,0.0,111.02
1424461,NCR,PF,500,1374412526153,not_helped,na,1437.3170778168426,337738.505590749,22978.029476085387,337738.5055907491,22302.6775,0.7550000000000004,0,0,0.0,0.0017254656849746133,0.0,0.7550000000000004,140.47050318460728,0.0,140.47050318460728,0,15573.959716184301,0,0.0034414360754677583,0.00017862369949514758,-1,0.0,0.0,0.0,-131.21,56.71,0.0,10.0,0.0,39.65,39.65,0.0,39.65,39.65,0.0,140.47
1424462,NCR,PF,500,1374412527181,not_helped,na,2299.7073091659004,259396.020225276,7462.836644994236,259396.020225276,22302.6775,0.7150000000000004,0,0,0.0,0.0017254656849746133,0.0,0.7150000000000004,45.62220706514038,0.0,45.62220706514038,0,15573.959716184301,0,0.003926886431578262,7.552593622955907e-05,-1,0.0,0.0,0.0,-131.21,19.2,0.0,10.0,0.0,12.88,12.88,0.0,12.88,12.88,0.0,45.62
1424465,NCR,PF,500,1374413425111,not_helped,na,1293.585347023587,442484.98517447565,20920.02231450357,442484.9851744757,22302.6775,1.3350000000000009,0,0,0.0,0.0017254656849746133,0.0,1.3350000000000009,127.88938512808308,0.0,127.88938512808308,0,15573.959716184301,0,0.003006635122728541,0.00012412050270252498,-1,0.0,0.0,0.0,-131.21,120.48,0.0,10.0,0.0,36.1,36.1,0.0,36.1,36.1,0.0,127.89
1424466,NCR,PF,500,1374413428194,not_helped,na,1724.780385992879,534613.917983976,49031.304480160674,534613.9179839761,22302.6775,1.2150000000000007,0,0,0.0,0.0017254656849746133,0.0,1.2150000000000007,299.7407597241549,0.0,299.7407597241549,0,15573.959716184301,0,0.002735330860106291,0.00024080766948402039,-1,0.0,0.0,0.0,-131.21,158.7,0.0,10.0,0.0,84.6,84.6,0.0,84.6,84.6,0.0,299.74
1424472,NCR,PF,500,1374414019153,not_helped,na,817.6435409035975,494834.79531834024,19612.520787691567,494834.7953183402,22302.6775,0.9050000000000006,0,0,0.0,0.0017254656849746133,0.0,0.9050000000000006,119.89629774967771,0.0,119.89629774967771,0,15573.959716184301,0,0.002843150703937299,0.00010404990363098668,-1,0.0,0.0,0.0,-131.21,152.51,0.0,10.0,0.0,33.84,33.84,0.0,33.84,33.84,0.0,119.9
1424489,NCR,PF,500,1374428848001,not_helped,na,981.2837324760078,282829.4317825872,23404.274265830067,282829.4317825873,22302.6775,1.1150000000000009,0,0,0.0,0.0017254656849746133,0.0,1.1150000000000009,143.0762453418087,0.0,143.0762453418087,0,15573.959716184301,0,0.0037606913845080804,0.00021726894281760622,-1,0.0,0.0,0.0,-131.21,23.67,0.0,10.0,0.0,40.38,40.38,0.0,40.38,40.38,0.0,143.08
