,district,hazard,rp,index,hhid,helped_cat,affected_cat,pov_line,ispoor,pcwgt,pcsoc,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
10,Ampara,PF,5.0,10,52101053031,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,187466.7401595469,570592.8662809753,0.7150000000000004,82736.21685204603,0.0,82736.21685204603,0.0,27182.759867784185,0.0,27182.759867784185,0.7150000000000004,86339.15491699713,0.0,86339.15491699713,1,36346.798828125,0.0,0,0.0,0.004619211863019197,0.0029829860344247287,-1,0.0,0.0,True,79386.4704908811,26666.288207311012,15622.228346628908,17980.241533916018,26444.017663901795,0.0,26444.017663901795,83992.72733219851,17980.241533916018,1260.8202486849723,2.1395857728768847e-05
11,Ampara,PF,5.0,11,52101053041,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,98597.30716633184,300100.8075125373,1.2150000000000007,21939.215296755825,0.0,21939.215296755825,0.0,7208.069740072763,0.0,7208.069740072763,1.2150000000000007,33864.21632563111,0.0,33864.21632563111,1,36346.798828125,0.0,0,0.0,0.006369384529710047,0.0,-1,0.0,0.0,True,20451.259594643176,21219.846310937857,8216.442263860987,0.0,6878.36092819619,0.0,6878.36092819619,32315.212093918115,0.0,615.4121486205167,2.1395857728768847e-05
12,Ampara,PF,5.0,12,52101053051,helped,a,43493.30859375,0.0,4.502747025578729,0.0,102961.1308684206,313382.9858445473,0.6150000000000003,57280.371368223,0.0,57280.371368223,0.0,18819.310808279988,0.0,18819.310808279988,0.6150000000000003,54046.73919973715,0.0,54046.73919973715,1,36346.798828125,0.0,0,0.0,0.006232945703484369,0.005663773891572075,-1,0.0,0.0,True,55279.87250278417,21421.14231613399,8580.09423903505,17586.19602935411,18378.54756718281,0.0,18378.54756718281,52780.921541317424,17586.19602935411,672.1240412292989,2.1395857728768847e-05
13,Ampara,PF,5.0,13,52101053071,helped,a,43493.30859375,0.0,4.502747025578729,0.0,145297.51332983177,442242.3120165664,0.9050000000000006,50842.97596803275,0.0,50842.97596803275,0.0,16704.321992073037,0.0,16704.321992073037,0.9050000000000006,62717.21524314271,0.0,62717.21524314271,1,36346.798828125,0.0,0,0.0,0.005246877259162607,0.002398282169735079,-1,0.0,0.0,True,48251.641205889835,24126.802698198764,12108.126110819314,11366.818454839227,16131.804024757887,0.0,16131.804024757887,60567.667802443815,11366.818454839227,937.8773544631033,2.1395857728768847e-05
14,Ampara,PF,5.0,14,52101053081,helped,a,43493.30859375,0.0,6.303845835810221,0.0,115447.63546244109,351388.18314018013,0.7550000000000004,48747.86577292499,0.0,48747.86577292499,0.0,16015.97921430253,0.0,16015.97921430253,0.7550000000000004,52820.61787286092,0.0,52820.61787286092,1,36346.798828125,0.0,0,0.0,0.00588623334315135,0.004366663472168414,-1,0.0,0.0,True,46666.184370572904,22432.890955249117,9620.636288536758,15675.319971196226,15556.717088063033,0.0,15556.717088063033,51305.973719732225,15675.319971196226,679.36950809214,2.1395857728768847e-05
15,Ampara,PF,5.0,15,52101053091,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,95714.04244082206,291325.009295876,0.6150000000000003,53133.31138219328,0.0,53133.31138219328,0.0,17456.805486588393,0.0,17456.805486588393,0.6150000000000003,50133.791986637276,0.0,50133.791986637276,1,36346.798828125,0.0,0,0.0,0.006464607566986865,0.008366280762601732,-1,0.0,0.0,True,51277.64727600606,21335.571752062868,7976.170203401838,22709.497928846362,17047.953204809488,0.0,17047.953204809488,48959.618667027724,22709.497928846362,500.2155003695839,2.1395857728768847e-05
16,Ampara,PF,5.0,16,52101053101,helped,a,43493.30859375,0.0,6.303845835810221,0.0,118301.56240584551,360074.68589479,0.7550000000000004,50495.3010745956,0.0,50495.3010745956,0.0,16590.09434788114,0.0,16590.09434788114,0.7550000000000004,54714.04665920084,0.0,54714.04665920084,1,36346.798828125,0.0,0,0.0,0.005814799647956988,0.003933608039803131,-1,0.0,0.0,True,48338.99889630543,22502.672683459696,9858.463533820459,14620.839697619684,16114.369329587054,0.0,16114.369329587054,53145.10797192833,14620.839697619684,734.8666569287263,2.1395857728768847e-05
17,Ampara,PF,5.0,17,52101054011,helped,a,43493.30859375,0.0,0.9005494051157459,0.0,162408.5476928466,494323.19918575464,1.0350000000000006,46084.096065542566,0.0,46084.096065542566,0.0,15140.804894592702,0.0,15140.804894592702,1.0350000000000006,62837.844322429286,0.0,62837.844322429286,1,36346.798828125,0.0,0,0.0,0.004962786066982747,0.0017370445884189135,-1,0.0,0.0,True,43407.89396464838,25442.814411868516,13534.04564107055,9355.48756900144,14548.807288811244,0.0,14548.807288811244,60380.91725347066,9355.48756900144,971.6252006056716,2.1395857728768847e-05
18,Ampara,PF,5.0,18,52101054021,helped,a,43493.30859375,0.0,6.303845835810221,0.0,135091.45733174606,411178.120360939,1.1150000000000009,32831.5119904075,0.0,32831.5119904075,0.0,10786.704305412708,0.0,10786.704305412708,1.1150000000000009,47393.8401747171,0.0,47393.8401747171,1,36346.798828125,0.0,0,0.0,0.005441467658575148,0.0020950377948903325,-1,0.0,0.0,True,30782.240561904415,24035.912284503298,11257.621444312172,9301.97377520773,10333.045371883894,0.0,10333.045371883894,45400.58640778958,9301.97377520773,686.211981485681,2.1395857728768847e-05
19,Ampara,PF,5.0,19,52101054031,helped,a,43493.30859375,0.0,1.8010988102314913,0.0,193196.42599684995,588032.3217385879,1.2150000000000007,40450.66151775502,0.0,40450.66151775502,0.0,13289.955238060436,0.0,13289.955238060436,1.2150000000000007,62437.508982132815,0.0,62437.508982132815,1,36346.798828125,0.0,0,0.0,0.004550199639156125,0.0009805778813202326,-1,0.0,0.0,True,37707.227368199434,27878.299298805436,16099.702166404162,6403.847087659142,12682.051109847951,0.0,12682.051109847951,59581.51595690107,6403.847087659142,1011.2845031557379,2.1395857728768847e-05
