region,hazard,new_pov,new_sub,reg_pop,init_pov,init_sub,pct_increase_pov,pct_increase_sub,pct_pop_pov,pct_pop_sub
NCR,EQ,15998.759891706733,7503.889052736718,12651700.151659949,411882.90679000004,82747.37620000001,38.842980924828126,90.6843140814502,1.2645541468675763,0.5931130964838889
NCR,HU,19248.486649095237,6361.829836742048,12651700.151660006,411882.90679,82747.3762,46.732909600711224,76.88255663074484,1.521415020776451,0.5028438676605314
NCR,PF,48270.437441308946,16622.030750626425,12651700.15165999,411882.90679000004,82747.3762,117.19456341974346,200.8768315559766,3.815332078904473,1.3138179494749962
NCR,SS,403.4853979472874,132.82232079283824,12651700.151660003,411882.90679000004,82747.3762,0.9796119025473564,1.6051544700560334,0.03189179265320693,0.010498377229989196
V - Bicol,EQ,5686.921732776112,8588.450918775987,6032099.763810002,1457733.7156900002,714680.8375700001,3.9012075192925604,12.017183709553123,0.9427764717843677,1.423791259273096
V - Bicol,HU,42126.585526496274,56378.46102064381,6032099.763809998,1457733.715690001,714680.8375700004,28.898683671150568,78.88620774041915,6.983734881050486,9.34640725919195
V - Bicol,PF,5338.100423846781,6733.017926153698,6032099.763809997,1457733.7156899995,714680.83757,3.6619173765354396,9.421013650018603,0.8849489618645048,1.1161980387905566
V - Bicol,SS,18593.31681174619,23708.731077945547,6032099.763810006,1457733.7156900002,714680.83757,12.754947362210988,33.173872631814305,3.082395441020068,3.930427547002405
VI - Western Visayas,EQ,7568.400076113789,8384.84272875474,7704399.479039993,1169214.2102299996,559182.6168399999,6.473065422823578,14.994820075306297,0.9823478256421939,1.0883187913043593
VI - Western Visayas,HU,6500.146245769911,5425.331617965515,7704399.47904,1169214.2102299999,559182.6168400001,5.559414339046774,9.702253708501589,0.8436927840325144,0.704186177355582
VI - Western Visayas,PF,4865.800614626279,4165.00220087691,7704399.479040008,1169214.2102299996,559182.61684,4.161598937177741,7.44837567450465,0.6315613082971359,0.540600498742036
VI - Western Visayas,SS,4245.990671112188,3484.776204929743,7704399.479039993,1169214.21023,559182.6168399999,3.6314908200413885,6.231910828384798,0.5511124757566775,0.452309906101074
VII - Central Visayas,EQ,3706.8873197096973,3748.5035843406285,7446799.783009997,1173301.23547,884177.42078,3.1593653936832307,4.2395377853392695,0.4977825949029844,0.5033710712745232
VII - Central Visayas,HU,8372.531609273841,7253.375240337488,7446799.783010005,1173301.2354700004,884177.42078,7.135875558777518,8.203529144567767,1.1243127052208264,0.9740258166851997
VII - Central Visayas,PF,14971.45815517498,12822.618085112916,7446799.783009998,1173301.2354700004,884177.42078,12.760114540557627,14.502313431393793,2.0104553085115326,1.72189644662771
VII - Central Visayas,SS,5622.6196245750025,4899.845907118054,7446799.783010002,1173301.2354700004,884177.42078,4.792136456178447,5.541699880546065,0.7550383773447357,0.65798007867717
VIII - Eastern Visayas,EQ,5901.284631436578,7179.263570052463,4537200.260600001,1006160.7691099998,750583.3241199999,5.865150791614111,9.564912168105502,1.3006445147863477,1.5823113721462838
VIII - Eastern Visayas,HU,21557.526204251262,23291.48133213129,4537200.260599998,1006160.7691099998,750583.3241199999,21.425528470286103,31.031173466901528,4.751283823958985,5.133447940217484
VIII - Eastern Visayas,PF,1338.8666477729023,1469.1356556734718,4537200.260600001,1006160.7691100002,750583.3241199999,1.3306687051187627,1.9573252008974729,0.2950865227173928,0.3237978425662862
VIII - Eastern Visayas,SS,8354.810398669626,9055.097859251515,4537200.260599998,1006160.7691099999,750583.32412,8.303653506645741,12.064080786590756,1.841402168473998,1.9957456887860778
X - Northern Mindanao,EQ,1388.8482854705612,1706.1396267438,4706699.958799999,869614.1376000001,850858.0810699998,1.5970856790617118,2.0051988277507307,0.2950789932708301,0.36249169092537403
X - Northern Mindanao,HU,1112.1904845825484,1301.2703457013818,4706699.958800005,869614.1375999999,850858.0810700002,1.2789471059566968,1.5293623868095179,0.2362994230178434,0.2764719138870171
X - Northern Mindanao,PF,686.9595610253803,756.7071490820053,4706699.9588,869614.1376000002,850858.0810700003,0.7899590534731666,0.8893459037615357,0.14595354856665316,0.16077233639403948
X - Northern Mindanao,SS,82.91062536111775,92.0771247752808,4706699.958800001,869614.1375999999,850858.0810699998,0.09534185540030227,0.10821678353161887,0.01761544735948205,0.019562990116488405
XI - Davao,EQ,5584.275352260115,5624.8773022869555,4963099.684770002,717867.81375,374332.4306,7.778974409075345,15.02642261925076,1.1251588134319128,1.1333395779955246
XI - Davao,HU,306.94124405667407,258.59107965926,4963099.684770002,717867.81375,374332.4306,0.42757348661903855,0.6908059749051836,0.06184466634804218,0.05210273741887244
XI - Davao,PF,465.225878451285,400.4474316072452,4963099.68477,717867.8137500002,374332.43059999996,0.6480662171229499,1.0697641958656554,0.09373696036750963,0.08068494631209544
XI - Davao,SS,16.819855853278284,14.677218178125838,4963099.684769999,717867.81375,374332.43059999996,0.023430296680129276,0.03920904783643888,0.0033889820720088464,0.0029572684633284796
XII - SOCCSKSARGEN,EQ,6019.018972412811,4103.298403463416,4599200.272339995,777172.8419200004,939475.9992,7.744762358837534,4.367645801444138,1.3087099095492176,0.8921765003670361
XII - SOCCSKSARGEN,HU,82.29330292322922,31.82170607092084,4599200.2723400025,777172.84192,939475.9992,0.10588803221677714,0.03387176053248646,0.017892959221225573,0.0069189650779722285
XII - SOCCSKSARGEN,PF,158.2714069637491,57.753318056668164,4599200.272340002,777172.84192,939475.9992000003,0.20365020292363883,0.06147396858019504,0.03441281040001832,0.012557252269269886
XIII - Caraga,EQ,5463.973627119796,6497.325873813352,2716699.9682099987,605381.8390699999,456930.34600000014,9.0256649183822,14.21951054617272,2.0112539813220316,2.391624378784221
XIII - Caraga,HU,2040.536796905718,2266.869463799655,2716699.968209998,605381.8390699999,456930.3460000001,3.3706607387503276,4.9610832015075985,0.7511086320843164,0.8344202489512557
XIII - Caraga,PF,320.8198637032932,352.457113016414,2716699.96821,605381.8390700001,456930.3459999999,0.5299462966978712,0.7713585147098417,0.11809175376649245,0.12973722425765094
XIII - Caraga,SS,335.974393985033,373.7056553008565,2716699.9682100005,605381.8390699999,456930.3459999999,0.5549793077723703,0.8178613186283246,0.12367004009147255,0.13755867768757934
