,district,hazard,rp,level_0,hhid,helped_cat,affected_cat,pov_line,ispoor,has_ew,pcwgt,pcwgt_ae,pcsoc,c,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
39,Ampara,PF,5.0,39,52102060041,helped,a,43493.30859375,0.0,1,4.502747025578729,4.502747025578729,0.0,60139.95723148843,24228.97944833715,0.0,24228.97944833715,0.0,0.0,7960.3655478155915,0.0,7960.3655478155915,23793.158403363428,0.0,23793.158403363428,0.6534651155781326,1,36346.798828125,1.3895927026001347,33062.79928912289,0.0,0,0.0,0.008155459553498208,0.00016708775983277513,-1.0,0.0,0.0,True,21907.359147543117,13657.420841537843,5011.663102624036,130.69599919416328,7288.800352769053,0.0,7288.800352769053,21785.8816058409,130.69599919416328,414.6167251058298,1.8108348221871992e-05
40,Ampara,PF,5.0,40,52102060051,helped,a,43493.30859375,0.0,1,4.502747025578729,4.502747025578729,0.0,73982.6970432079,30920.249001088145,0.0,30920.249001088145,0.0,0.0,10158.764028958472,0.0,10158.764028958472,37635.898215082896,0.0,37635.898215082896,0.8886453076479898,1,36346.798828125,1.293008145771743,48663.52296553839,0.0,0,0.0,0.007353005924870206,0.023352367516899532,-1.0,0.0,0.0,True,26962.12746017651,3556.216035452631,6165.224753600658,18246.078851012193,9011.31457016124,0.0,9011.31457016124,33384.86030189375,18246.078851012193,286.21567646435017,1.8108348221871992e-05
41,Ampara,PF,5.0,41,52102060061,helped,a,43493.30859375,0.0,1,6.303845835810221,6.303845835810221,0.0,48480.07555637554,12927.419840379276,0.0,12927.419840379276,0.0,0.0,4247.268760903815,0.0,4247.268760903815,12133.276728250537,0.0,12133.276728250537,0.6100218036328088,1,36346.798828125,1.4148533690723484,17166.80745685239,0.0,0,0.0,0.009083398165646546,0.000407329389438429,-1.0,0.0,0.0,True,11767.250466338954,8758.196942118431,4040.0062963646283,256.23967078021644,3911.8076745474723,0.0,3911.8076745474723,11174.956823989309,256.23967078021644,209.11945368741974,1.8108348221871992e-05
42,Ampara,PF,5.0,42,52102060071,helped,a,43493.30859375,0.0,1,2.701648215347238,2.701648215347238,0.0,122011.01352844006,60933.6699609925,0.0,60933.6699609925,0.0,0.0,20019.59216209332,0.0,20019.59216209332,85664.21470031506,0.0,85664.21470031506,1.0773127989869151,1,36346.798828125,1.2444013668329428,106600.66586174273,0.0,0,0.0,0.005725724904569222,0.03732287730836534,-1.0,0.0,0.0,True,51610.55049392486,4638.016666043159,10167.584460703338,43056.34734276795,17312.159187977697,0.0,17312.159187977697,74079.0576350024,43056.34734276795,583.0280460416078,1.8108348221871992e-05
43,Ampara,PF,5.0,43,52102060091,helped,a,43493.30859375,0.0,1,2.701648215347238,2.701648215347238,0.0,113963.84798217926,32908.770129577875,0.0,32908.770129577875,0.0,0.0,10812.087257701372,0.0,10812.087257701372,77617.04915405426,0.0,77617.04915405426,2.0300048173574754,1,36346.798828125,1.1329952927766194,87939.75133075495,0.0,0,0.0,0.005924428238197458,0.025736444645385062,-1.0,0.0,0.0,True,24066.696762350504,3905.953792626037,9496.987331848271,30375.060484477166,8222.45057413584,0.0,8222.45057413584,59026.74804301973,30375.060484477166,530.1004398858063,1.8108348221871992e-05
44,Ampara,PF,5.0,44,52102060101,helped,a,43493.30859375,0.0,1,2.701648215347238,2.701648215347238,8333.332763671875,48268.013840785854,19819.579621851422,0.0,19819.579621851422,0.0,0.0,6511.849672370362,0.0,6511.849672370362,11921.215012660854,0.0,11921.215012660854,0.2926743081271522,1,36346.798828125,1.8348916821724006,21874.13826812015,0.0,0,0.0,0.009103329894581746,0.010458382554790348,-1.0,0.15414258188824662,0.15414258188824662,True,18974.493633546957,13023.313776067802,4022.3344867321543,5960.607506330427,6269.423539092811,0.0,6269.423539092811,11854.175216142718,5960.607506330427,112.91341881926732,1.8108348221871992e-05
45,Ampara,PF,5.0,45,52103067011,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,102753.42851170579,42271.72769944503,0.0,42271.72769944503,0.0,0.0,13888.261597761944,0.0,13888.261597761944,66406.62968358079,0.0,66406.62968358079,1.242399375280522,1,36346.798828125,1.213422094531589,80579.2716814342,0.0,0,0.0,0.006239242057664133,0.03050714012184776,-1.0,0.0,0.0,True,34904.36312308554,4063.187852942198,8562.785709308815,31244.029022055885,11745.564470773857,0.0,11745.564470773857,56161.33774157849,31244.029022055885,467.2531068381709,1.8108348221871992e-05
46,Ampara,PF,5.0,46,52103067021,helped,a,43493.30859375,0.0,1,2.701648215347238,2.701648215347238,0.0,102512.07002948405,44849.46421442788,0.0,44849.46421442788,0.0,0.0,14735.169945221209,0.0,14735.169945221209,66165.27120135906,0.0,66165.27120135906,1.1467272164110494,1,36346.798828125,1.2303426978432546,81405.95827341071,0.0,0,0.0,0.0062465826988716685,0.0314745069708828,-1.0,0.0,0.0,True,37583.012323917945,4113.748562999032,8542.672502457004,31914.79838144095,12623.65698951989,0.0,12623.65698951989,56683.953518662755,31914.79838144095,465.2702821678171,1.8108348221871992e-05
47,Ampara,PF,5.0,47,52103067031,helped,a,43493.30859375,0.0,1,1.8010988102314913,1.8010988102314913,0.0,117625.39303197702,47873.86106265005,0.0,47873.86106265005,0.0,0.0,15728.827334912137,0.0,15728.827334912137,81278.59420385203,0.0,81278.59420385203,1.3692183043928352,1,36346.798828125,1.1944844966893187,97086.02068920356,0.0,0,0.0,0.00583148888081493,0.03290249194990001,-1.0,0.0,0.0,True,38764.88506679289,4342.674884301753,9802.116085998085,37856.22282033319,13076.57126114184,0.0,13076.57126114184,67573.08135444912,37856.22282033319,555.5547971861031,1.8108348221871992e-05
48,Ampara,PF,5.0,48,52103067041,helped,a,43493.30859375,0.0,0,1.8010988102314913,1.8010988102314913,2499.999938964844,73981.20290810967,33957.44677282913,0.0,33957.44677282913,0.0,0.0,11156.681274389575,0.0,11156.681274389575,37634.40407998467,0.0,37634.40407998467,0.779732439329953,1,36346.798828125,1.3310111525652089,50091.81155060519,0.0,0,0.0,0.007353080175682087,0.024433563751367102,-1.0,0.0,0.0,True,30111.83259176596,3615.613279943461,6165.1002423424725,18920.916959448296,10042.960741052315,0.0,10042.960741052315,33877.54165366312,18920.916959448296,283.3027082390562,1.8108348221871992e-05
