,district,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
89,Ampara,PF,5.0,522891,helped,a,6.620171694987479,0.0,10500.0,10500.0,4.065482593735032e-07,52153.133146515145,125736.63316351306,357970.283310112,0.9650000000000006,36967,0,36967.0,1.330734459983804e-06,0.0,0.9650000000000006,47572.35563590929,0.0,47572.35563590929,1,45477.532103761216,500.0,50.0,0,0.005640259453476072,0.14407909038346112,-1,0.0,0.0,880.5200000000035,0.2099999999982194,10480.42,0.0,0.95,5938.558817271592,288.75,288.75,0,1154.39,1143.49,0.0,19029.0
90,Ampara,PF,5.0,522891,helped,na,626.0678911773083,0.0,10500.0,10500.0,4.065482593735032e-07,52153.133146515145,125736.63316351306,357970.283310112,0.0,0,0,0.0,1.330734459983804e-06,0.0,0.0,0.2130535807578619,0.0,0.2130535807578619,0,45477.532103761216,500.0,50.0,0,0.005640259453476072,0.0,-1,0.0,0.0,0.0,11353.05,10480.42,0.0,10.0,0.0,0.01,0.01,0,0.01,0.0,0.0,0.0
91,Ampara,PF,5.0,522911,helped,a,5.919165455390471,0.0,0.0,0.0,0.0,52153.133146515145,77328.25466722882,240238.3875523005,1.0350000000000006,20731,0,20731.0,1.330734459983804e-06,0.0,1.0350000000000006,28129.5071080762,0.0,28129.5071080762,1,45477.532103761216,500.0,50.0,0,0.007192185690229477,0.1287976200279863,-1,0.0,0.0,376.5399999999989,0.09999999999956892,6445.61,0.0,0.91,2273.669834724581,123.64,123.64,0,521.2,521.2,0.0,10971.0
92,Ampara,PF,5.0,522921,helped,a,4.439374091542853,0.0,0.0,0.0,0.0,52153.133146515145,130775.04260962404,406283.3889607217,1.1150000000000009,32012,0,32012.0,1.330734459983804e-06,0.0,1.1150000000000009,45997.44553102771,0.0,45997.44553102771,1,45477.532103761216,500.0,50.0,0,0.0055305402906719765,0.11151295543158829,-1,0.0,0.0,426.5200000000153,0.12999999999951362,10900.61,0.0,0.916,1934.5904416126123,140.27,140.27,0,626.16,619.41,0.0,16559.0
93,Ampara,PF,5.0,522931,helped,a,10.358539546933324,0.0,0.0,0.0,0.0,52153.133146515145,76020.24869485914,236174.75974816695,0.7550000000000004,32023,0,32023.0,1.330734459983804e-06,0.0,0.77,30592.716591097924,0.0,30592.716591097924,2,45477.532103761216,500.0,50.0,0,0.007253796250278836,0.25129773254119525,-1,0.0,0.0,1648.0499999999836,0.26000000000261125,6336.58,0.0,1.002,17326.521929364262,538.4,538.4,0,1826.36,1812.87,0.0,16214.0
94,Ampara,PF,5.0,522941,helped,a,4.439374091542853,0.0,0.0,0.0,0.0,52153.133146515145,134942.73534083128,419231.30542240007,0.4950000000000002,97929,0,97929.0,1.330734459983804e-06,0.0,0.4950000000000002,79996.37297413503,0.0,79996.37297413503,1,45477.532103761216,500.0,50.0,0,0.005444465385903837,0.5358018540108817,-1,0.0,0.0,14399.479999999989,1.0900000000014642,11248.01,0.0,0.87,64537.26767458143,4679.34,4679.34,0,11875.39,11818.3,0.01,51998.0
95,Ampara,PF,5.0,522951,helped,a,5.919165455390471,0.0,10500.0,10500.0,4.065482593735032e-07,52153.133146515145,90961.69603194245,249933.77246847228,0.6450000000000004,43348,0,43348.0,1.330734459983804e-06,0.0,0.6450000000000004,41912.58548138872,0.0,41912.58548138872,1,45477.532103761216,500.0,50.0,0,0.0066313312272211974,0.2903979592949089,-1,0.0,0.0,3565.450000000011,0.4199999999978745,7581.8,0.0,0.984,21368.424060577883,1162.02,1162.02,0,3490.5,3468.7,0.0,22214.0
96,Ampara,PF,5.0,522951,helped,na,559.7739159834423,0.0,10500.0,10500.0,4.065482593735032e-07,52153.133146515145,90961.69603194245,249933.77246847228,0.0,0,0,0.0,1.330734459983804e-06,0.0,0.0,0.2130535807578619,0.0,0.2130535807578619,0,45477.532103761216,500.0,50.0,0,0.0066313312272211974,0.0,-1,0.0,0.0,0.0,8455.14,7581.8,0.0,10.0,0.0,0.01,0.01,0,0.01,0.0,0.0,0.0
97,Ampara,PF,5.0,522971,helped,a,1.4797913638476177,0.0,0.0,0.0,0.0,52153.133146515145,226553.21377743947,703840.7760126181,0.5350000000000003,147170,0,147170.0,1.330734459983804e-06,0.0,0.5350000000000003,126107.2271523599,0.0,126107.2271523599,1,45477.532103761216,500.0,50.0,0,0.0042018919648436435,0.4583014607285459,-1,0.0,0.0,18534.310000000038,1.5899999999990229,18884.09,0.0,0.894,27711.10580430153,6027.67,6027.67,0,16046.27,15963.23,0.01,78186.0
98,Ampara,PF,5.0,522981,helped,a,5.919165455390471,0.0,0.0,0.0,0.0,52153.133146515145,94293.71430775698,292945.573116795,0.9050000000000006,32062,0,32062.0,1.330734459983804e-06,0.0,0.9050000000000006,39336.26959814476,0.0,39336.26959814476,1,45477.532103761216,500.0,50.0,0,0.00651311316399714,0.18377774326438362,-1,0.0,0.0,963.4300000000034,0.20000000000122742,7859.75,0.0,0.858,5803.03142915573,315.57,315.57,0,1202.81,1192.43,-0.0,18095.0
