,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,ispoor,has_ew,pcwgt,pcwgt_ae,pcsoc,c,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
48,Ampara,PF,5.0,52103067041,helped,a,43493.30859375,0.0,0,1.8010988102314913,1.8010988102314913,2499.999938964844,73981.20290810967,33957.44677282913,0.0,33957.44677282913,0.0,0.0,2.165880171765123e-05,11156.681274389575,0.0,11156.681274389575,37634.40407998467,0.0,37634.40407998467,0.779732439329953,2,36346.798828125,1.3310111525652089,50091.81155060519,0,0,0.0,0.007353080175682087,0.015558838282727985,-1.0,0.0,0.0,True,30567.640526912746,3310.0033671173796,6165.1002423424725,14554.551507267919,10194.985034470285,0.0,10194.985034470285,34390.35405513655,14554.551507267919,377.2399893772686
49,Ampara,PF,5.0,52103067061,helped,a,43493.30859375,0.0,1,1.8010988102314913,1.8010988102314913,0.0,173242.29277537798,68068.46946053728,0.0,68068.46946053728,0.0,0.0,2.165880171765123e-05,22363.71120548316,0.0,22363.71120548316,129748.98418162798,0.0,129748.98418162798,1.5776066926023873,1,36346.798828125,1.1697359957336784,151772.0572071299,0,0,0.0,0.004805106682568002,0.022117255236845254,-1.0,0.0,0.0,False,55022.09213245923,4810.255503539349,14436.857731281498,45499.7782854274,18635.294438724814,0.0,18635.294438724814,108117.5884062239,45499.7782854274,1175.1658276762225
50,Ampara,PF,5.0,52103067071,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,112472.31443681991,35910.9830500391,0.0,35910.9830500391,0.0,0.0,2.165880171765123e-05,11798.456178035183,0.0,11798.456178035183,68979.00584306991,0.0,68979.00584306991,1.5922858359337637,1,36346.798828125,1.1682280369073772,80583.20858387207,0,0,0.0,0.005963581785685652,0.015636113065107298,-1.0,0.0,0.0,False,28970.672194159324,3997.265350861628,9372.692869734992,22220.06133425099,9814.779905242633,0.0,9814.779905242633,57381.55485906301,22220.06133425099,660.6974381356372
51,Ampara,PF,5.0,52103067081,helped,a,43493.30859375,0.0,1,2.701648215347238,2.701648215347238,0.0,130928.62116746003,26745.3275196845,0.0,26745.3275196845,0.0,0.0,2.165880171765123e-05,8787.104888454242,0.0,8787.104888454242,87435.31257371003,0.0,87435.31257371003,2.9406335602871527,1,36346.798828125,1.0926340377804753,95534.79862201076,0,0,0.0,0.005527295692134975,0.011777055278214248,-1.0,0.0,0.0,False,17988.677689378783,3906.4077111088695,10910.71843062167,20246.121193565563,6254.665443212371,0.0,6254.665443212371,62236.49711861569,20246.121193565563,775.7237297858243
52,Ampara,PF,5.0,52103067091,helped,a,43493.30859375,0.0,1,5.403296430694476,5.403296430694476,0.0,98520.44416939592,41137.12233069831,0.0,41137.12233069831,0.0,0.0,2.165880171765123e-05,13515.490078144438,0.0,13515.490078144438,55027.13557564592,0.0,55027.13557564592,1.0091042626606794,1,36346.798828125,1.2599941018823,69333.86626879155,0,0,0.0,0.006371868656419071,0.016448503776543888,-1.0,0.0,0.0,False,35902.5469688033,4010.8703159725633,8210.037014116328,20312.90313835353,12027.275014999792,0.0,12027.275014999792,48967.99812876897,20312.90313835353,543.0080354284706
53,Ampara,PF,5.0,52103067101,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,112512.19319555954,24651.81379640831,0.0,24651.81379640831,0.0,0.0,2.165880171765123e-05,8099.286627178253,0.0,8099.286627178253,69018.88460180954,0.0,69018.88460180954,2.47120144901902,1,36346.798828125,1.1098137813948894,76598.10930759175,0,0,0.0,0.005962524827726458,0.011596404357273417,-1.0,0.0,0.0,False,17664.33755234402,3774.3786285896995,9376.016099629962,17162.786760035364,6086.589803472484,0.0,6086.589803472484,51867.48643451515,17162.786760035364,645.2647503267789
54,Ampara,PF,5.0,52103068011,helped,a,43493.30859375,0.0,1,4.862958348560363,4.862958348560363,0.0,85913.1255691381,30759.28369015314,0.0,30759.28369015314,0.0,0.0,2.165880171765123e-05,10105.879312196355,0.0,10105.879312196355,42419.816975388094,0.0,42419.816975388094,1.0505425935369321,1,36346.798828125,1.2502927885942072,53037.19125781387,0,0,0.0,0.00682339065026466,0.013348043824837025,-1.0,0.0,0.0,False,26695.637913359096,3823.9409639404166,7159.427130761508,14821.35369605546,8950.123703324714,0.0,8950.123703324714,37568.48836933154,14821.35369605546,431.01084314410286
55,Ampara,PF,5.0,52103068021,helped,a,43493.30859375,0.0,1,4.0524652904669685,4.0524652904669685,0.0,95652.25555999498,20627.330401116596,0.0,20627.330401116596,0.0,0.0,2.165880171765123e-05,6777.053512244691,0.0,6777.053512244691,52158.946966244985,0.0,52158.946966244985,2.2000856422769903,1,36346.798828125,1.1229868450068832,58573.8112925048,0,0,0.0,0.00646669514690269,0.010145208967462606,-1.0,0.0,0.0,False,15331.060887774967,3631.1688077556473,7971.021296666248,12955.199530721537,5255.090686277243,0.0,5255.090686277243,40445.305015387945,12955.199530721537,513.3879735227401
56,Ampara,PF,5.0,52103068031,helped,a,43493.30859375,0.0,1,4.0524652904669685,4.0524652904669685,0.0,81181.01221371742,21985.773524115524,0.0,21985.773524115524,0.0,0.0,2.165880171765123e-05,7223.366319519362,0.0,7223.366319519362,37687.70361996742,0.0,37687.70361996742,1.3856386388694786,1,36346.798828125,1.19227543807654,44934.12334359545,0,0,0.0,0.007019444823970498,0.010498517019721298,-1.0,0.0,0.0,False,18238.010559606388,3657.773750223883,6765.0843511431185,11337.039096053104,6154.180798349706,0.0,6154.180798349706,32109.259269482965,11337.039096053104,392.04969281464184
57,Ampara,PF,5.0,52103068041,helped,a,43493.30859375,0.0,1,1.6209861161867876,1.6209861161867876,0.0,71568.52042630437,34191.943893351185,0.0,34191.943893351185,0.0,0.0,2.165880171765123e-05,11233.670520949505,0.0,11233.670520949505,35221.72159817937,0.0,35221.72159817937,0.7015702632190642,2,36346.798828125,1.3649837920589176,48077.07910992636,0,0,0.0,0.00747599455178319,0.015287046968614782,-1.0,0.0,0.0,True,31104.917864223804,3302.195730913636,5964.043368858697,13870.951183611878,10358.517997144838,0.0,10358.517997144838,32477.794001949085,13870.951183611878,354.30280427516476
58,Ampara,PF,5.0,52103068051,helped,a,43493.30859375,0.0,1,3.241972232373575,3.241972232373575,0.0,57577.27530452685,16295.550107660116,0.0,16295.550107660116,0.0,0.0,2.165880171765123e-05,5353.858834059265,0.0,5353.858834059265,21230.476476401847,0.0,21230.476476401847,0.9742916033794646,2,36346.798828125,1.2687451021363678,26936.063045456216,0,0,0.0,0.008334977678081336,0.0086947233665625,-1.0,0.0,0.0,True,14288.924485332867,3029.813170114548,4798.106275377238,6784.0711563951945,4783.548862400203,0.0,4783.548862400203,18968.93899234664,6784.0711563951945,231.36666205131812
59,Ampara,PF,5.0,52103068061,helped,a,43493.30859375,0.0,1,3.241972232373575,3.241972232373575,0.0,60476.37786207795,23304.149992490275,0.0,23304.149992490275,0.0,0.0,2.165880171765123e-05,7656.515335980368,0.0,7656.515335980368,24129.57903395295,0.0,24129.57903395295,0.7068725400102986,2,36346.798828125,1.3624602369844527,32875.59196893462,0,0,0.0,0.00813274414595051,0.011221088060012027,-1.0,0.0,0.0,True,21184.974754140283,3144.1171774480677,5039.698155173162,8960.651607070215,7055.712655759809,0.0,7055.712655759809,22236.14381962428,8960.651607070215,252.88536380450356
60,Ampara,PF,5.0,52103068071,helped,a,43493.30859375,0.0,1,4.862958348560363,4.862958348560363,0.0,52360.93327150443,11296.811768556367,0.0,11296.811768556367,0.0,0.0,2.165880171765123e-05,3711.536897140979,0.0,3711.536897140979,16014.13444337943,0.0,16014.13444337943,1.089032711023972,2,36346.798828125,1.2419085200292466,19888.090006126728,0,0,0.0,0.008740299331567137,0.005946083679617128,-1.0,0.0,0.0,True,9753.610429473643,2940.34569639046,4363.411105958702,4342.547937495315,3272.4741298354247,0.0,3272.4741298354247,14119.714320510775,4342.547937495315,185.55025228486633
61,Ampara,PF,5.0,52103068081,helped,a,43493.30859375,0.0,1,3.241972232373575,3.241972232373575,0.0,74836.00638684063,21764.15365515255,0.0,21764.15365515255,0.0,0.0,2.165880171765123e-05,7150.553712064477,0.0,7150.553712064477,31342.697793090625,0.0,31342.697793090625,1.111559147410209,1,36346.798828125,1.23725716555024,38778.97743217707,0,0,0.0,0.0073109648177687924,0.009987894134503296,-1.0,0.0,0.0,False,18734.055482354324,3658.6628655536338,6236.333865570053,9994.779819987343,6288.269089083575,0.0,6288.269089083575,27563.084711642055,9994.779819987343,332.8562061059161
62,Ampara,PF,5.0,52103068091,helped,a,43493.30859375,0.0,1,3.241972232373575,3.241972232373575,0.0,56740.753008174324,15730.72036624808,0.0,15730.72036624808,0.0,0.0,2.165880171765123e-05,5168.285552959861,0.0,5168.285552959861,20393.954180049324,0.0,20393.954180049324,0.9678939217404018,2,36346.798828125,1.2704177899197677,25908.842197143273,0,0,0.0,0.008396193679850276,0.008372300065453276,-1.0,0.0,0.0,True,13805.555065379209,3020.9230265804968,4728.396084014527,6459.185209318795,4621.160055973528,0.0,4621.160055973528,18235.007619930217,6459.185209318795,223.63854089573073
63,Ampara,PF,5.0,52103068101,helped,a,43493.30859375,0.0,1,2.4314791742801813,2.4314791742801813,0.0,44218.85499038566,11252.867519155501,0.0,11252.867519155501,0.0,0.0,2.165880171765123e-05,3697.0991330700176,0.0,3697.0991330700176,7872.056162260662,0.0,7872.056162260662,0.37101272383094436,2,36346.798828125,1.6449016170994206,12948.757911200022,0,0,0.0,0.009511001481271127,0.004420554542687516,-1.0,0.13487475915221578,0.13487475915221578,True,10703.627845601277,3023.052630334626,3684.9045825321386,2771.1814670832946,3541.877131298458,0.0,3541.877131298458,7541.549386114365,2771.1814670832946,91.39645951174077
64,Ampara,PF,5.0,52104072011,helped,a,43493.30859375,0.0,1,1.6209861161867876,1.6209861161867876,0.0,605070.3868616446,251903.5746028593,0.0,251903.5746028593,0.0,0.0,2.165880171765123e-05,82762.23688727496,0.0,82762.23688727496,561577.0782678946,0.0,561577.0782678946,1.9007862120873005,1,36346.798828125,1.141759872073512,641186.1730425679,0,0,0.0,0.0025711478243455113,0.02964491490587464,-1.0,0.0,0.0,False,194937.36293908014,10438.911444385567,50422.53223847038,198918.55706448626,66435.25141120111,0.0,66435.25141120111,450791.5177825708,198918.55706448626,4695.913749794809
65,Ampara,PF,5.0,52104072021,helped,a,43493.30859375,0.0,1,3.241972232373575,3.241972232373575,0.0,488820.2543676173,250668.6712556407,0.0,250668.6712556407,0.0,0.0,2.165880171765123e-05,82356.51273859416,0.0,82356.51273859416,445326.9457738673,0.0,445326.9457738673,1.4480087647853817,1,36346.798828125,1.1843230683268349,527410.9748275245,0,0,0.0,0.002860588572073875,0.03217116608438459,-1.0,0.0,0.0,False,206197.036369867,9179.579239035447,40735.021197301445,170577.69650719204,69662.1885730335,0.0,69662.1885730335,376684.83816962753,170577.69650719204,3870.923368168643
