,district,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
10,Ampara,PF,5.0,522241,helped,a,7.744210799580341,0.0,0.0,0.0,0.0,52153.133146515145,94882.42426754633,294774.5388950141,1.1150000000000009,24415,0,24415.0,2.9532650355692253e-07,0.0,1.1150000000000009,35081.45797326133,0.0,35081.45797326133,1,45477.532103761216,500.0,50.0,0,0.006492876008407336,0.04350692079367284,-1,0.0,0.0,1.5199999999934761,0.09999999998973834,7907.72,0.0,2.265,12.003526739299007,0.5,0.5,0,2.23,2.23,0.0,2807.0
11,Ampara,PF,5.0,522251,helped,a,4.646526479748205,0.0,120000.0,0.0,0.0,52153.133146515145,131010.66008786157,33757.067917946515,1.0350000000000006,3080,0,3080.0,2.9532650355692253e-07,0.0,1.0350000000000006,4181.629432476817,0.0,4181.629432476817,1,45477.532103761216,500.0,50.0,0,0.005525564823893344,0.0,-1,0.0,0.0,0.4000000000000916,6876.8699999999835,10917.66,0.0,10.0,1.90507585669719,0.17,0.17,0,0.59,0.0,0.01,0.0
12,Ampara,PF,5.0,522261,helped,a,10.841895119412476,0.0,0.0,0.0,0.0,52153.133146515145,111383.75275658847,346039.79201288056,0.9650000000000006,35061,0,35061.0,2.9532650355692253e-07,0.0,0.9650000000000006,45119.346743826136,0.0,45119.346743826136,1,45477.532103761216,500.0,50.0,0,0.005992652195204157,0.16694552820190986,-1,0.0,0.0,8.009999999997175,0.09000000000119363,9282.98,0.0,0.851,88.46986417437518,2.63,2.63,0,10.5,10.5,0.0,19853.0
13,Ampara,PF,5.0,522271,helped,a,3.0976843198321364,0.0,0.0,0.0,0.0,52153.133146515145,603014.2101218522,1873405.291949407,0.8450000000000005,219416,0,219416.0,2.9532650355692253e-07,0.0,0.8450000000000005,256032.436611145,0.0,256032.436611145,1,45477.532103761216,500.0,50.0,0,0.0025755276840664504,0.2087389939681542,-1,0.0,0.0,141.98999999985364,0.09000000000101,50256.61,0.0,0.869,447.0578010377206,46.45,46.45,0,168.4,168.4,0.0,122896.0
14,Ampara,PF,5.0,522281,helped,a,7.744210799580341,0.0,0.0,0.0,0.0,52153.133146515145,88070.20901855528,273610.79203276447,0.7950000000000005,35730,0,35730.0,2.9532650355692253e-07,0.0,0.7950000000000005,39906.17036185242,0.0,39906.17036185242,1,45477.532103761216,500.0,50.0,0,0.0067393107493158464,0.14760893774442005,-1,0.0,0.0,35.71000000000374,0.0999999999971624,7339.97,0.0,1.849,280.8050835928121,11.67,11.67,0,40.5,40.5,0.0,9178.0
15,Ampara,PF,5.0,522291,helped,a,3.0976843198321364,0.0,7500.0,7500.0,2.903916138382166e-07,52153.133146515145,86404.19988064798,245106.2981694993,1.0350000000000006,22519,0,22519.0,2.9532650355692253e-07,0.0,1.0350000000000006,30555.763129311446,0.0,30555.763129311446,1,45477.532103761216,500.0,50.0,0,0.006803972806767725,0.04070738309525313,-1,0.0,0.0,2.7799999999921954,0.09999999999955293,7201.06,0.0,2.569,8.797423468299092,0.92,0.92,0,3.86,3.86,0.0,2139.0
16,Ampara,PF,5.0,522311,helped,a,6.862163885846625,0.5813953488372093,21500.0,9000.0,3.484699366058599e-07,52153.133146515145,79292.62361468919,179465.71174474113,0.7950000000000005,23161,0,23161.0,2.9532650355692253e-07,0.0,0.7950000000000005,25868.525022535527,0.0,25868.525022535527,1,45477.532103761216,500.0,50.0,0,0.0071025385845269635,0.062241143334792366,-1,0.0,0.0,23.160000000008544,0.09000000000320246,6608.24,0.0,2.776,161.39809459517124,7.58,7.58,0,26.28,26.28,0.0,2846.0
17,Ampara,PF,5.0,522321,helped,a,5.146622914384968,0.0,10000.0,2000.0,7.743776369019108e-08,52153.133146515145,86096.49546855854,236374.1270900428,1.0350000000000006,20101,0,20101.0,2.9532650355692253e-07,0.0,1.0350000000000006,27274.87477057337,0.0,27274.87477057337,1,45477.532103761216,500.0,50.0,0,0.006816120485721976,0.024498700143087904,-1,0.0,0.0,2.499999999998872,0.09000000000307143,7175.4,0.0,3.11,13.123888431675864,0.82,0.82,0,3.46,3.46,0.0,1091.0
18,Ampara,PF,5.0,522331,helped,a,3.4310819429233126,0.9176332403464984,81732.0,6000.0,2.3231329107057327e-07,52153.133146515145,163859.607889532,254842.1194038969,0.8450000000000005,30183,0,30183.0,2.9532650355692253e-07,0.0,0.8450000000000005,35221.637964958194,0.0,35221.637964958194,1,45477.532103761216,500.0,50.0,0,0.004940763204850552,0.07669436166691641,-1,0.0,0.0,19.519999999994305,0.09999999999848712,13655.71,0.0,1.425,68.07266574757898,6.41,6.41,0,23.17,23.17,0.0,10566.0
19,Ampara,PF,5.0,522351,helped,a,8.577704857308284,0.8274309922552461,24171.2,1800.0,6.969398732117198e-08,52153.133146515145,77842.67503685429,166652.3756447483,0.6750000000000004,26391,0,26391.0,2.9532650355692253e-07,0.0,0.6750000000000004,26309.185959128667,0.0,26309.185959128667,1,45477.532103761216,500.0,50.0,0,0.0071683816546623084,0.09867542858306096,-1,0.0,0.0,74.82000000000926,0.09999999999677005,6487.37,0.0,2.625,650.1900281840474,24.41,24.41,0,75.58,75.58,0.0,4473.0
20,Ampara,PF,5.0,522361,helped,a,5.146622914384968,0.0,6000.0,6000.0,2.3231329107057327e-07,52153.133146515145,142483.82958765677,423996.57000102533,1.2150000000000007,28253,0,28253.0,2.9532650355692253e-07,0.0,1.2150000000000007,43421.63031007028,0.0,43421.63031007028,1,45477.532103761216,500.0,50.0,0,0.005298430060644723,0.07985092480566602,-1,0.0,0.0,0.73999999999687,0.099999999996824,11874.88,0.0,0.991,3.9114334149164676,0.25,0.25,0,1.17,1.17,0.0,13026.0
