,region,hazard,rp,index,hhid,helped_cat,affected_cat,province,pcwgt,ispoor,pcsoc,c,pov_line,k,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
46,ARMM,EQ,1,46,1538811017,helped,a,Maguindanao,0.9238211685392813,1,3838.2356495855797,15453.292999999969,22302.6775,36433.208269197385,12577.71102387557,1438.05180251689,14015.76282639246,0.008144327441090903,4009.8398404045793,458.45685715310066,4468.29669755768,4009.8398404045793,458.45685715310066,4468.29669755768,0.0,3,15573.959716184301,0,0,0.0,0.016088645265375606,1.1206876894976479,-1,8.689788053949885,8.689788053949885,False,12577.71102387557,0.0,0.008144327441090903,0.0,4009.8309626599557,0.07963356771367501,4009.9105962276694,4009.9105962276694,4009.9105962276694,0.0,1.2278929198390765e-06
47,ARMM,EQ,1,47,1538931218,helped,a,Maguindanao,0.7552823003862174,0,0.0,236120.6900000001,22302.6775,740645.0106877566,73493.23588949261,8402.72766189841,81895.96355139103,0.23932557146501957,23429.947300186024,2678.82430149252,26108.771601678545,153244.7065379165,2678.82430149252,155923.530839409,1.7663497554104868,1,15573.959716184301,0,0,0.0,0.0041158825547999035,0.0,-1,0.0,0.0,True,0.015855222282000224,164268.7677118694,253689.34289909637,0.0,0.0052297018643625,0.465309511849451,0.4705392137138135,0.49951463050452644,0.0,0.009462621913801327,1.2278929198390765e-06
48,ARMM,EQ,1,48,1538931332,helped,a,Maguindanao,1.0070430609709602,0,1919.117943493833,78659.79700000005,22302.6775,240714.1917973885,33657.147543704996,3848.1343386666686,37505.281882371666,0.0738264270796398,10730.04451486061,1226.8011289442584,11956.845643804869,51961.16909478697,1226.8011289442584,53187.97022373123,1.225033242237367,1,15573.959716184301,0,0,0.0,0.007131051698998041,0.0,-1,0.0,0.0,True,0.8014773930456851,40871.615910664914,84512.50426276644,0.0,0.26397360659729635,0.2130943168342025,0.47706792343149884,1.4823550415389248,0.0,0.028227308852840333,1.2278929198390765e-06
49,ARMM,EQ,1,49,1538931446,helped,a,Maguindanao,0.5035215398014744,0,3838.235815973855,50589.066,22302.6775,146644.3670027795,12247.858236898497,1400.3386292712034,13648.196866169701,0.04831792100340483,3904.6814088549086,446.43374167893836,4351.115150533847,32485.76624893052,446.43374167893836,32932.19999060946,2.3335577769810265,1,15573.959716184301,0,0,0.0,0.008892045268893225,0.0,-1,0.0,0.0,True,1.911540256780327e-05,39990.62024327411,54353.1624146225,0.0,0.004719316910859131,0.0775451627409879,0.08226447965184702,0.08231113796204509,0.0,0.001550830488611548,1.2278929198390765e-06
50,ARMM,EQ,1,50,1538931788,helped,a,Maguindanao,0.6294019200938459,0,0.0,140935.58000000005,22302.6775,442075.76284562424,45860.1131484178,5243.34024303174,51103.45339144954,0.14204145234649468,14620.393581031847,1671.598536712987,16291.992117744834,91666.38923149194,1671.598536712987,93337.98776820493,1.6800219267038206,1,15573.959716184301,0,0,0.0,0.005327453553929155,0.0,-1,0.0,0.0,True,0.020948600319338855,95196.4247544403,151421.94650854418,0.0,0.006898222903971107,0.290355249761179,0.2972534726651501,0.3336054661261738,0.0,0.006324928579369975,1.2278929198390765e-06
51,ARMM,EQ,1,51,1566111111,helped,a,Sulu,6.645878439190469,0,0.0,24142.43600000001,22302.6775,75728.11501291343,23099.398601848563,2641.0315623715883,25740.43016422015,0.018160680906685742,7364.183728705309,841.9717757092417,8206.15550441455,7726.504508106466,841.9717757092417,8568.476283815708,0.4317152802159061,2,15573.959716184301,0,0,0.0,0.012871804982910543,0.6161695059422979,-1,6.628131021194583,5.741811175337177,True,2348.9561918973804,0.1420739609271422,27428.51047028603,0.0,755.1120722486519,0.14624978417882872,755.2583220328307,1777.8091198482527,1770.3738832493855,0.001186859860283107,1.2278929198390765e-06
52,ARMM,EQ,1,52,1566126012,helped,a,Sulu,1.7028797404388318,1,685.3992467243188,20699.721,22302.6775,62779.36740259002,25428.755827074947,2907.354770949359,28336.110598024305,0.01251334199829624,8106.794864698598,926.8767151403513,9033.671579838949,8106.794864698598,926.8767151403513,9033.671579838949,0.0,3,15573.959716184301,0,0,0.0,0.013901054618474238,1.525395017185008,-1,8.689788053949885,8.689788053949885,False,25428.755827074947,0.0,12355.195011141155,0.0,8106.793279387003,0.16099770023225757,8106.954277087236,8106.954277087236,8106.954277087236,0.0,1.2278929198390765e-06
53,ARMM,EQ,1,53,1566131117,helped,a,Sulu,1.7147229777606354,1,0.0,18379.77500000001,22302.6775,57652.24831129183,24723.224280530532,2826.6889876192463,27549.91326814978,0.01093627166209794,7881.866065259588,901.1601300767321,8783.02619533632,7881.866065259588,901.1601300767321,8783.02619533632,0.0,3,15573.959716184301,0,0,0.0,0.014752305599606979,1.7867994937929652,-1,8.689788053949885,8.689788053949885,False,24723.224280530532,0.0,10970.471571634167,0.0,7881.866065259588,0.15653075119206836,7882.02259601078,7882.02259601078,7882.02259601078,0.0,1.2278929198390765e-06
54,ARMM,EQ,1,54,1566131236,helped,a,Sulu,1.7147229777606354,1,0.0,18344.682000000008,22302.6775,57542.17131905508,18177.92596918458,2078.343122717865,20256.269091902446,0.013546083894759595,5795.197916242112,662.5843759309237,6457.782292173036,5795.197916242112,662.5843759309237,6457.782292173036,0.0,3,15573.959716184301,0,0,0.0,0.014766409286667358,1.0622426559173666,-1,8.689788053949885,8.689788053949885,False,18177.92596918458,0.0,10949.527985147655,0.0,5795.197916242112,0.11509034480227634,5795.3130065869145,5795.3130065869145,5795.3130065869145,0.0,1.2278929198390765e-06
55,ARMM,EQ,1,55,1566131354,helped,a,Sulu,1.4289358458538441,0,0.0,22801.00600000001,22302.6775,71520.4217494096,28049.354379454566,3206.976575327678,31256.330954782243,0.014628069036051084,8942.250085477895,1022.3973845136035,9964.6474699915,8942.250085477895,1022.3973845136035,9964.6474699915,0.0,3,15573.959716184301,0,0,0.0,0.013245031369892041,1.1873543272744336,-1,8.689788053949885,6.281310211946033,True,28049.354379454566,-2.842170943040401e-14,25904.493269837425,0.0,8942.250085477895,0.17758955958370404,8942.42767503748,8942.42767503748,8942.42767503748,0.0,1.2278929198390765e-06
