,district,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcsoc,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
186,Ampara,PF,5.0,5217271,helped,a,3.3468964552487033,188400.96,52153.133146515145,179886.66586334875,5919.379310513761,1.1150000000000009,489,0,489.0,1.9203597484886645e-05,0.0,1.1150000000000009,697.6310394485686,0.0,697.6310394485686,1,45477.532103761216,500.0,50.0,0,0.0047155299708784145,0.0,-1,0.0,0.0,448.74,14939.03,14990.57,0.0,10.0,1534.4850868024255,142.95,142.95,0,654.16,0.0,12.47,0.0
187,Ampara,PF,5.0,5217281,helped,a,5.020344682873053,0.0,52153.133146515145,84623.4124072559,278463.15021987626,0.6150000000000003,50255,0,50255.0,1.9203597484886645e-05,0.0,0.498,39195.88030349469,0.0,39195.88030349469,2,45477.532103761216,500.0,50.0,0,0.006875190379182638,0.004877105871889718,-1,0.0,0.0,48403.700000000004,29927.930000000004,7052.59,9799.0,2.912,245346.20258643245,14851.44,14851.44,0,39188.89,9799.0,562.67,9799.0
188,Ampara,PF,5.0,5217291,helped,a,3.3468964552487033,0.0,52153.133146515145,223088.80652575468,734099.5839896853,1.3350000000000009,47524,0,47524.0,1.9203597484886645e-05,0.0,1.3350000000000009,77886.82095554807,0.0,77886.82095554807,1,45477.532103761216,500.0,50.0,0,0.004234392440018774,0.004529736691662706,-1,0.0,0.0,42877.4,14747.270000000002,18592.42,24145.0,0.877,147245.43772801373,13369.72,13369.72,0,72102.54,24145.0,906.32,24145.0
189,Ampara,PF,5.0,5217411,helped,a,7.243283044716191,45600.0,52153.133146515145,125575.83543495754,271383.6840443208,0.6150000000000003,49816,0,49816.0,1.9203597484886645e-05,0.0,0.6150000000000003,45776.56480623857,0.0,45776.56480623857,1,45477.532103761216,500.0,50.0,0,0.005643869426527657,0.008323765855342521,-1,0.0,0.0,47509.85999999999,8818.21,10465.27,23346.0,1.095,348229.45188155404,14610.96,14610.96,0,44177.82,23346.0,396.36,23346.0
190,Ampara,PF,5.0,5217421,helped,a,2.897313217886476,120000.0,52153.133146515145,135096.48922350453,71292.33951833661,0.8450000000000005,8899,0,8899.0,1.9203597484886645e-05,0.0,0.8450000000000005,10226.426965356055,0.0,10226.426965356055,1,45477.532103761216,500.0,50.0,0,0.005441366319408643,2.902640031969399e-05,-1,0.0,0.0,8337.93,10502.860000000002,11258.2,102.0,5.45,24554.12108581213,2577.75,2577.75,0,9738.95,102.0,184.16,102.0
191,Ampara,PF,5.0,5217431,helped,a,5.794626435772952,0.0,52153.133146515145,96548.80639020959,317705.04181513534,0.8450000000000005,39523,0,39523.0,1.9203597484886645e-05,0.0,0.8450000000000005,45407.756273590734,0.0,45407.756273590734,1,45477.532103761216,500.0,50.0,0,0.006436600299720495,0.011022804319931438,-1,0.0,0.0,37031.07,6407.449999999999,8046.46,22704.0,0.82,218103.48084594327,11438.26,11438.26,0,43243.15,22704.0,389.0,22704.0
192,Ampara,PF,5.0,5217441,helped,a,4.345969826829713,0.0,52153.133146515145,145819.51310925485,479836.0149850209,0.9650000000000006,46854,0,46854.0,1.9203597484886645e-05,0.0,0.9650000000000006,59452.78165834629,0.0,59452.78165834629,1,45477.532103761216,500.0,50.0,0,0.005237477542217673,0.007984814784637442,-1,0.0,0.0,43495.719999999994,9751.89,12152.73,26159.0,0.851,192578.7018858748,13466.18,13466.18,0,56227.28,26159.0,569.34,26159.0
193,Ampara,PF,5.0,5217461,helped,a,7.243283044716191,0.0,52153.133146515145,123944.3175200417,407853.147570826,1.0350000000000006,37530,0,37530.0,1.9203597484886645e-05,0.0,1.0350000000000006,50248.70958803382,0.0,50248.70958803382,1,45477.532103761216,500.0,50.0,0,0.0056808939948325195,0.007517162891997267,-1,0.0,0.0,34652.57,8232.900000000001,10329.63,21104.0,0.838,256054.03943639196,10742.84,10742.84,0,47330.66,21104.0,496.3,21104.0
194,Ampara,PF,5.0,5217471,helped,a,7.243283044716191,0.0,52153.133146515145,124471.77232683371,409588.7987685237,0.9050000000000006,45442,0,45442.0,1.9203597484886645e-05,0.0,0.9050000000000006,54934.58266185538,0.0,54934.58266185538,1,45477.532103761216,500.0,50.0,0,0.005668844692837772,0.009472131981186876,-1,0.0,0.0,42380.46,8272.949999999999,10373.59,25819.0,0.834,312373.3899894478,13105.73,13105.73,0,52134.71,25819.0,498.34,25819.0
195,Ampara,PF,5.0,5217481,helped,a,4.345969826829713,100000.0,52153.133146515145,185231.16313503712,298476.0172556957,0.7150000000000004,43536,0,43536.0,1.9203597484886645e-05,0.0,0.7150000000000004,44360.60233403205,0.0,44360.60233403205,1,45477.532103761216,500.0,50.0,0,0.004647003170119065,0.0037550238547064125,-1,0.0,0.0,41201.81999999999,13408.690000000002,15436.62,16857.0,1.353,181545.76212529524,12696.61,12696.61,0,42564.56,16857.0,489.71,16857.0
196,Ampara,PF,5.0,5217491,helped,a,8.691939653659427,46666.66666666666,52153.133146515145,82910.28708794399,127669.89858333884,0.9650000000000006,12395,0,12395.0,1.9203597484886645e-05,0.0,0.9650000000000006,15728.886182887058,0.0,15728.886182887058,1,45477.532103761216,500.0,50.0,0,0.006945856173065419,0.0002931655997316457,-1,0.0,0.0,11506.58,11986.909999999998,6909.48,629.0,3.336,101891.52334821224,3563.31,3563.31,0,14875.55,629.0,271.85,629.0
197,Ampara,PF,5.0,5217911,helped,a,5.917700992907636,100000.0,52153.133146515145,122313.74486463626,91438.9574529032,0.9050000000000006,10327,0,10327.0,1.9203597484886645e-05,0.0,0.9050000000000006,12486.265765712988,0.0,12486.265765712988,1,45477.532103761216,500.0,50.0,0,0.0057186348174591535,0.000276033852421843,-1,0.0,0.0,9631.24,9330.63,10193.02,874.0,2.938,57997.37541315015,2980.29,2980.29,0,11849.89,874.0,209.5,874.0
