region,hazard,rp,fa,v
II - Cagayan Valley,SS,1000,0.01798575593386659,0.13264714400681635
II - Cagayan Valley,SS,2000,1.0000000000000439e-08,0.13327193912560475
III - Central Luzon,EQ,1,0.000847810722003451,0.16532383666605135
III - Central Luzon,EQ,10,0.0010850769849913991,0.16383215519587915
III - Central Luzon,EQ,25,0.019144639928034862,0.16605020344070867
III - Central Luzon,EQ,30,0.028917772514825846,0.16414253751554003
III - Central Luzon,EQ,50,0.07924282467509876,0.1657332182967559
III - Central Luzon,EQ,100,0.216495401529448,0.16507969932758376
III - Central Luzon,EQ,200,0.4155630311491458,0.1657512594461131
III - Central Luzon,EQ,250,0.485912010550751,0.16524294458526573
III - Central Luzon,EQ,500,0.6860809073066916,0.16630956013352294
III - Central Luzon,EQ,1000,0.9499999999999605,0.17198540582750219
III - Central Luzon,EQ,2000,0.9499999999999605,0.4708839869379809
III - Central Luzon,HU,1,0.007356451674648422,0.13263207200330795
III - Central Luzon,HU,10,0.028231848957119613,0.13390879277793302
III - Central Luzon,HU,25,0.11581625523465752,0.13283955695163502
III - Central Luzon,HU,30,0.14231039994369474,0.13273611087275827
III - Central Luzon,HU,50,0.23244007348702425,0.1327089975274098
III - Central Luzon,HU,100,0.39091436920134676,0.1331878786490327
III - Central Luzon,HU,200,0.6238514191074819,0.1330370387305357
III - Central Luzon,HU,250,0.691022800220955,0.13408732266781578
III - Central Luzon,HU,500,0.9499999999999605,0.1437790308993092
III - Central Luzon,HU,1000,0.9499999999999605,0.20368779736664244
III - Central Luzon,HU,2000,1.0000000000000803e-08,0.1328654599096361
III - Central Luzon,PF,1,0.004926468627864748,0.13363972078353814
III - Central Luzon,PF,10,0.025055032547493382,0.1332197567692437
III - Central Luzon,PF,25,0.04456981868122197,0.13225848189165365
III - Central Luzon,PF,30,0.04927780053898798,0.1333881777773806
III - Central Luzon,PF,50,0.0641376985793809,0.13391716037769497
III - Central Luzon,PF,100,0.09197013245725412,0.13407054534166304
III - Central Luzon,PF,200,0.1241503117240095,0.1334857564677413
III - Central Luzon,PF,250,0.13847191664113903,0.13405694780977284
III - Central Luzon,PF,500,0.17206136922141263,0.1335113354239205
III - Central Luzon,PF,1000,0.20337053945054462,0.13288404563273082
III - Central Luzon,PF,2000,1.0000000000000803e-08,0.13336282663094606
III - Central Luzon,SS,1,0.00024643398443225485,0.1319805963500335
III - Central Luzon,SS,10,0.002127984080019713,0.13222674949610827
III - Central Luzon,SS,25,0.003457281549391588,0.13406493058333013
III - Central Luzon,SS,30,0.003747029195869918,0.13328895710535296
III - Central Luzon,SS,50,0.004583744328819253,0.1337053379482438
III - Central Luzon,SS,100,0.00595513431714986,0.13348224154072444
III - Central Luzon,SS,200,0.008093673606610355,0.13332696520251985
III - Central Luzon,SS,250,0.00860945332021933,0.13258564868852576
III - Central Luzon,SS,500,0.010065196243442856,0.1338302982880923
III - Central Luzon,SS,1000,0.01279059727292959,0.13312148166332402
III - Central Luzon,SS,2000,1.0000000000000803e-08,0.13432596845739384
IVA - CALABARZON,EQ,1,0.0006031415431253997,0.159569565857792
