,district,hazard,rp,hhid,helped_cat,affected_cat,N_children,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
11,Ampara,PF,5.0,522251,helped,a,0,4.646526479748205,0.0,120000.0,0.0,0.0,52153.133146515145,131010.66008786157,33757.067917946515,0.7550000000000004,4615,0,4615.0,1.8449522350390822e-05,0.0,0.7550000000000004,4972.241134737071,0.0,4972.241134737071,1,45477.532103761216,1.0,1.0,0,0.005525564823893344,0.0,-1,0.0,0.0,4168.1900000000005,10279.95,10917.87,0.0,10.0,19651.415045004695,1363.54,1363.54,0,4556.64,0.0,87.16,0.0
12,Ampara,PF,5.0,522261,helped,a,1,10.841895119412476,0.0,0.0,0.0,0.0,52153.133146515145,111383.75275658847,346039.79201288056,1.0350000000000006,30956,0,30956.0,1.8449522350390822e-05,0.0,1.0350000000000006,42003.61883351536,0.0,42003.61883351536,1,45477.532103761216,1.0,1.0,0,0.005992652195204157,0.011422647041155634,-1,0.0,0.0,26922.739999999998,6260.429999999999,9285.15,16801.0,0.885,297772.9747115172,8840.48,8840.48,0,37266.79,16801.0,387.22,16801.0
13,Ampara,PF,5.0,522271,helped,a,0,3.0976843198321364,0.0,0.0,0.0,0.0,52153.133146515145,603014.2101218522,1873405.291949407,1.2150000000000007,136223,0,136223.0,1.8449522350390822e-05,0.0,1.2150000000000007,209358.58709775045,0.0,209358.58709775045,1,45477.532103761216,1.0,1.0,0,0.0025755276840664504,0.008691645285079411,-1,0.0,0.0,115632.88999999998,33806.92,50268.36,71182.0,0.888,366678.59267767845,38101.69,38101.69,0,181923.48,71182.0,2093.04,71182.0
14,Ampara,PF,5.0,522281,helped,a,0,7.744210799580341,0.0,0.0,0.0,0.0,52153.133146515145,88070.20901855528,273610.79203276447,0.6750000000000004,44018,0,44018.0,1.8449522350390822e-05,0.0,0.683,42593.676914794065,0.0,42593.676914794065,2,45477.532103761216,1.0,1.0,0,0.0067393107493158464,0.02293930081614784,-1,0.0,0.0,40202.29,4912.730000000001,7341.69,23852.0,0.898,315459.2652892853,13111.79,13111.79,0,40933.69,23852.0,323.96,23852.0
15,Ampara,PF,5.0,522291,helped,a,0,3.0976843198321364,0.0,7500.0,7500.0,2.903916138382166e-07,52153.133146515145,86404.19988064798,245106.2981694993,1.2150000000000007,18214,0,18214.0,1.8449522350390822e-05,0.0,1.2150000000000007,27992.90887814282,0.0,27992.90887814282,1,45477.532103761216,1.0,1.0,0,0.006803972806767725,0.007542641588047532,-1,0.0,0.0,15460.960000000005,4926.150000000001,7202.6,8958.0,0.938,49027.60731316081,5094.61,5094.61,0,24324.63,8958.0,290.64,8958.0
16,Ampara,PF,5.0,522311,helped,a,2,6.862163885846625,0.5813953488372093,21500.0,9000.0,3.484699366058599e-07,52153.133146515145,79292.62361468919,179465.71174474113,0.8450000000000005,21875,0,21875.0,1.8449522350390822e-05,0.0,0.8450000000000005,25525.965408767854,0.0,25525.965408767854,1,45477.532103761216,1.0,1.0,0,0.0071025385845269635,0.009302954789480147,-1,0.0,0.0,19518.749999999996,5211.740000000002,6609.37,9955.0,1.114,136139.43003425517,6386.25,6386.25,0,23150.32,9955.0,250.63,9955.0
17,Ampara,PF,5.0,522321,helped,a,1,5.146622914384968,0.0,10000.0,2000.0,7.743776369019108e-08,52153.133146515145,86096.49546855854,236374.1270900428,0.7550000000000004,32716,0,32716.0,1.8449522350390822e-05,0.0,0.7550000000000004,35231.45280768862,0.0,35231.45280768862,1,45477.532103761216,1.0,1.0,0,0.006816120485721976,0.01549250819002377,-1,0.0,0.0,29548.519999999997,5452.9,7176.88,16911.0,0.972,154303.52637386206,9650.67,9650.67,0,32286.71,16911.0,291.75,16911.0
18,Ampara,PF,5.0,522331,helped,a,1,3.4310819429233126,0.9176332403464984,81732.0,6000.0,2.3231329107057327e-07,52153.133146515145,163859.607889532,254842.1194038969,1.0350000000000006,22410,0,22410.0,1.8449522350390822e-05,0.0,1.0350000000000006,30409.36850206689,0.0,30409.36850206689,1,45477.532103761216,1.0,1.0,0,0.004940763204850552,0.002559963513089033,-1,0.0,0.0,19490.199999999997,10647.23,13657.31,6082.0,1.555,68219.44743311677,6401.4,6401.4,0,26980.08,6082.0,397.51,6082.0
19,Ampara,PF,5.0,522351,helped,a,3,8.577704857308284,0.8274309922552461,24171.2,1800.0,6.969398732117198e-08,52153.133146515145,77842.67503685429,166652.3756447483,0.7550000000000004,23862,0,23862.0,1.8449522350390822e-05,0.0,0.7550000000000004,25697.032811048557,0.0,25697.032811048557,1,45477.532103761216,1.0,1.0,0,0.0071683816546623084,0.010667237582858842,-1,0.0,0.0,21551.739999999998,5197.22,6488.42,11050.0,1.118,187573.38985243175,7039.2,7039.2,0,23549.2,11050.0,237.55,11050.0
20,Ampara,PF,5.0,522361,helped,a,0,5.146622914384968,0.0,6000.0,6000.0,2.3231329107057327e-07,52153.133146515145,142483.82958765677,423996.57000102533,0.9650000000000006,42780,0,42780.0,1.8449522350390822e-05,0.0,0.9650000000000006,55052.90551234977,0.0,55052.90551234977,1,45477.532103761216,1.0,1.0,0,0.005298430060644723,0.01241275831512532,-1,0.0,0.0,37559.130000000005,8029.889999999999,11877.54,23122.0,0.899,196930.48212848473,12316.58,12316.58,0,49241.36,23122.0,494.5,23122.0
