,Region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcsoc,c,pov_line,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
21,Bucharest-Ilfov,EQ,1000,82340510611,not_helped,na,21.76066300000002,41441.4,41824.93589638551,24017.0,2077.788573176211,0.0,0,0,0.0,0.007025492204584723,0.0,0.0,1450.5341962867103,0.0,1450.5341962867103,4,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.029712749687256724,-1,0.0,0.0,0.0,0.0,21.83,0.0,1.0,0.0,291.15,291.15,0,291.15,291.15,0.0,1450.53
22,Bucharest-Ilfov,EQ,2000,82340510611,helped,a,413.45259699999997,41441.4,41824.93589638551,24017.0,2077.788573176211,0.3350000000000001,563,0,563.0,0.01475592851200366,0.0,0.3350000000000001,2288.616223199875,0.0,2288.616223199875,1,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,153.7899999999998,19608.239999999994,28.82,0.0,10.0,63998.32748962991,642.66,642.66,0,694.51,0.0,13.34,0.0
23,Bucharest-Ilfov,EQ,2000,82340510611,not_helped,na,21.76066300000002,41441.4,41824.93589638551,24017.0,2077.788573176211,0.0,0,0,0.0,0.01475592851200366,0.0,0.0,1986.6818921329068,0.0,1986.6818921329068,4,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.04820535495743007,-1,0.0,0.0,0.0,0.0,28.82,0.0,1.0,0.0,611.51,611.51,0,611.51,611.51,0.0,1986.68
24,Bucharest-Ilfov,EQ,5000,82340510611,helped,a,413.45259699999997,41441.4,41824.93589638551,24017.0,2077.788573176211,0.07500000000000001,1311,0,1311.0,0.03897188941251429,0.0,0.07500000000000001,3487.4640001007756,0.0,3487.4640001007756,1,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,980.5300000000017,26974.829999999965,43.15,0.0,10.0,405989.7776241506,1812.71,1812.71,0,1886.36,0.0,36.32,0.0
25,Bucharest-Ilfov,EQ,5000,82340510611,not_helped,na,21.76066300000002,41441.4,41824.93589638551,24017.0,2077.788573176211,0.0,0,0,0.0,0.03897188941251429,0.0,0.0,3125.24068211002,0.0,3125.24068211002,4,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.09607759300991518,-1,0.0,0.0,0.0,0.0,43.15,0.0,1.0,0.0,1615.05,1615.05,0,1615.05,1615.05,0.0,3125.24
26,Bucharest-Ilfov,EQ,10000,82340510611,helped,a,413.45259699999997,41441.4,41824.93589638551,24017.0,2077.788573176211,0.11499999999999999,1148,0,1148.0,0.12157289413914565,0.0,0.11499999999999999,6113.0956494802995,0.0,6113.0956494802995,1,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,735.3900000000002,41120.389999999985,73.6,0.0,10.0,304722.83304094005,5186.51,5186.51,0,5271.27,0.0,101.45,0.0
27,Bucharest-Ilfov,EQ,10000,82340510611,not_helped,na,21.76066300000002,41441.4,41824.93589638551,24017.0,2077.788573176211,0.0,0,0,0.0,0.12157289413914565,0.0,0.0,5749.988487730957,0.0,5749.988487730957,4,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.23828318220561256,-1,0.0,0.0,0.0,0.0,73.6,0.0,1.0,0.0,5038.15,5038.15,0,5038.15,5038.15,0.0,5749.99
28,Bucharest-Ilfov,PF,1,82340510611,helped,a,4.3521326e-06,41441.4,41824.93589638551,24017.0,2077.788573176211,0.4850000000000002,384,0,384.0,2.1750134726763822e-11,0.0,0.4850000000000002,263.5374573084409,0.0,263.5374573084409,1,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,58.68999999999986,10841.749999999998,0.0,0.0,10.0,0.0002578203352239994,11.92,11.92,0,40.65,0.0,0.78,0.0
29,Bucharest-Ilfov,PF,1,82340510611,not_helped,na,435.21325564786736,41441.4,41824.93589638551,24017.0,2077.788573176211,0.0,0,0,0.0,2.1750134726763822e-11,0.0,0.0,9.475908229548218e-06,0.0,9.475908229548218e-06,4,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
30,Bucharest-Ilfov,PF,2,82340510611,helped,a,4.3521326e-06,41441.4,41824.93589638551,24017.0,2077.788573176211,0.6050000000000003,285,0,285.0,2.2657238791794163e-11,0.0,0.6050000000000003,229.79420915620625,0.0,229.79420915620625,1,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,27.37,11332.359999999995,0.0,0.0,10.0,0.000120510551694,5.57,5.57,0,22.32,0.0,0.43,0.0
