,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,pcwgt,pcsoc,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
22,Balaka,DR,1.0,312017840085,helped,a,137427.98,9.310052165417087,1440.0,93764.57624572958,368187.4864817088,0.0,216964,0,216964.0,6.46346996445509e-05,0.0,4.6090595674858505e-06,54405.73772481141,0.0,54405.73772481141,3,85260.164,1.0,1.0,0,0,0.006531464911223301,0.0,-1,0.9826589595375712,0.9826589595375712,216962.98000000053,79651.06000000006,7822.61,0.0,10.0,2019936.8479653923,54404.49,54404.49,0,54405.49,0.0,1048.28,0.0
23,Balaka,DR,1.0,312017840100,helped,a,137427.98,9.310052165417087,8008.0,115592.86530920817,429045.0385717808,0.0,332793,0,332793.0,6.46346996445509e-05,0.0,3.0048708957219654e-06,83450.77603150654,0.0,83450.77603150654,3,85260.164,1.0,1.0,0,0,0.005882534475398614,0.0,-1,0.9826589595375712,0.9826589595375712,332791.97999999905,52928.95999999982,9643.11,0.0,10.0,3098310.8802334745,83449.53,83449.53,0,83450.53,0.0,1607.91,0.0
24,Balaka,DR,1.0,312017840131,helped,a,137427.98,7.44804173233367,3750.0,77451.8774732516,293920.75442980736,0.0,172966,0,172966.0,6.46346996445509e-05,0.0,5.7814830660360995e-06,43373.20163035788,0.0,43373.20163035788,3,85260.164,1.0,1.0,0,0,0.00718644358768377,0.0,-1,0.9826589595375712,0.9826589595375712,172964.98000000053,89133.02999999996,6461.42,0.0,10.0,1288250.5382330972,43371.95,43371.95,0,43372.95,0.0,835.7,0.0
25,Balaka,DR,1.0,312017840147,helped,a,137427.98,11.17206376195162,0.0,85201.7700721699,339781.9609089107,0.0,213185,0,213185.0,6.46346996445509e-05,0.0,4.690761545136853e-06,53458.04434763949,0.0,53458.04434763949,3,85260.164,1.0,1.0,0,0,0.00685181592371142,0.0,-1,0.9826589595375712,0.9826589595375712,213183.98000000053,79868.7599999998,7108.36,0.0,10.0,2381705.2410279,53456.79,53456.79,0,53457.79,0.0,1030.02,0.0
26,Balaka,DR,1.0,312017840162,helped,a,137427.98,9.310052165417087,4000.0,139268.89012988942,539448.0502483189,0.0,361651,0,361651.0,6.46346996445509e-05,0.0,2.7650967369093407e-06,90686.78306211883,0.0,90686.78306211883,3,85260.164,1.0,1.0,0,0,0.0053592366941453366,0.0,-1,0.9826589595375712,0.0,361649.97999999905,47791.34000000001,11618.77,0.0,10.0,3366980.3656230806,90685.53,90685.53,0,90686.53,0.0,1747.33,0.0
27,Balaka,DR,1.0,312017840177,helped,a,137427.98,7.44804173233367,6250.0,187550.09457755528,723019.0377958645,0.0,305337,0,305337.0,6.46346996445509e-05,0.0,0.0,76564.95377191291,0.0,76564.95377191291,1,85260.164,1.0,1.0,0,0,0.00461818527194343,0.03774278436036854,-1,0.9826589595375712,0.0,305337.0,79540.10000000005,15646.64,14092.880000000001,10.0,2274162.718425566,76564.95,76564.95,0,76564.95,14092.880000000001,1203.7,14092.880000000001
28,Balaka,DR,1.0,312017840193,helped,a,137427.98,9.310052165417087,800.0,71621.85536238296,282435.3166029701,0.0,164223,0,164223.0,6.46346996445509e-05,0.0,6.089281038587774e-06,41180.66656776193,0.0,41180.66656776193,3,85260.164,1.0,1.0,0,0,0.007473210443856484,0.0,-1,0.9826589595375712,0.9826589595375712,164221.98000000053,90801.65999999967,5975.31,0.0,10.0,1528915.3867091297,41179.42,41179.42,0,41180.42,0.0,793.46,0.0
29,Balaka,DR,1.0,312017840208,helped,a,137427.98,5.58603188097581,0.0,163037.41443659045,650188.0457631274,0.0,348249,0,348249.0,6.46346996445509e-05,0.0,2.8715086044755334e-06,87325.91609175647,0.0,87325.91609175647,3,85260.164,1.0,1.0,0,0,0.004953205608254726,0.0,-1,0.9826589595375712,0.0,348247.97999999905,53074.499999999985,13602.16,0.0,10.0,1945324.4304860586,87324.67,87324.67,0,87325.67,0.0,1682.58,0.0
30,Balaka,DR,1.0,312017840224,helped,a,137427.98,5.58603188097581,1333.3333333333333,88071.21548219526,345907.9274230091,0.0,200366,0,200366.0,6.46346996445509e-05,0.0,4.990866713913538e-06,50243.71182307548,0.0,50243.71182307548,3,85260.164,1.0,1.0,0,0,0.006739272241327913,0.0,-1,0.9826589595375712,0.9826589595375712,200364.98000000053,83266.62000000001,7347.63,0.0,10.0,1119245.2778317211,50242.46,50242.46,0,50243.46,0.0,968.08,0.0
31,Balaka,DR,1.0,312017840239,helped,a,137427.98,7.44804173233367,3600.0,128870.37724480395,499574.2980554494,0.0,286885,0,286885.0,6.46346996445509e-05,0.0,3.4857172734719488e-06,71938.86510650012,0.0,71938.86510650012,3,85260.164,1.0,1.0,0,0,0.0055712602453164605,0.0,-1,0.9826589595375712,0.9826589595375712,286883.97999999905,65347.699999999786,10751.27,0.0,10.0,2136724.0043388056,71937.61,71937.61,0,71938.61,0.0,1386.1,0.0
