,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcexp,pcsoc,c,pov_line,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
41,ARMM,EQ,1,1538133013,helped,a,0.48893631025443357,26685.813326823514,2398.897298396605,47652.734000000004,22302.6775,141948.71431013115,0.3250000000000001,43454,4968,48422.0,1.324828518639679e-06,1583.8189294365443,0.3250000000000001,27975.873260150067,1583.8189294365443,29559.69218958661,1,15573.959716184301,500.0,50.0,0,0.009161911330655163,0.3851097168090191,-1,0.0,0.0,9024.389999999967,0.3499999999880099,30380.99,0.0,3.705,4459.859147117746,2907.99,2895.09,12.9,5859.34,5840.66,0.01,8868.0
42,ARMM,EQ,1,1538226014,helped,a,0.9127075046086084,27498.318398870404,254.28310028703584,32448.801,22302.6775,100985.25908051548,0.37500000000000017,27160,3105,30265.0,1.324828518639679e-06,989.8868308978401,0.376,15934.95445291786,989.8868308978401,16924.841283815702,2,15573.959716184301,500.0,50.0,0,0.01110275275361472,0.20497953280671713,-1,0.0,0.0,4531.320000000013,2519.5999999999967,30380.98,3216.0,6.199,4188.931781612888,1463.17,1455.11,8.06,3179.34,3179.34,0.0,3216.0
43,ARMM,EQ,1,1538291346,helped,a,0.9321750945914897,27795.955470939996,2741.5970125007393,27148.197000000004,22302.6775,76556.72405748599,0.6450000000000004,11895,1360,13255.0,1.324828518639679e-06,433.57361997457735,0.646,11190.663663841126,433.57361997457735,11624.237283815703,2,15573.959716184301,500.0,50.0,0,0.012138345634104975,0.0,-1,0.0,0.0,523.4399999999957,12961.150000000003,30380.97,0.0,10.0,504.38124953544155,172.5,168.97,3.53,514.88,0.0,9.86,0.0
44,ARMM,EQ,1,1538291587,helped,a,1.73118229206444,16316.193085149436,442.87337032751236,17948.328000000005,22302.6775,54909.74819397579,0.5850000000000003,9553,1092,10645.0,1.324828518639679e-06,348.13411250899884,0.001,3545.5374442564107,348.13411250899884,3893.6715567654096,3,15573.959716184301,500.0,50.0,0,0.01492856271356849,0.0,-1,4.836223506743741,4.836223506743741,7576.29000000001,15126.740000000005,30380.96,0.0,10.0,13131.600305379156,2418.24,2415.4,2.84,2425.82,0.0,46.74,0.0
45,ARMM,EQ,1,1538517014,helped,a,1.505261231562602,20517.928458621598,1911.12150870275,20872.678,22302.6775,59477.13523178909,0.5850000000000003,10245,1171,11416.0,1.324828518639679e-06,373.31963896340443,0.586,4975.398644852293,373.31963896340443,5348.718283815697,2,15573.959716184301,500.0,50.0,0,0.0138433407473806,0.0,-1,4.836223506743741,4.836223506743741,958.9900000000024,13433.899999999989,30380.97,0.0,10.0,1474.2831949066078,312.24,309.2,3.04,880.59,0.0,16.87,0.0
46,ARMM,EQ,1,1538811017,helped,a,0.9184583198465914,16147.457377806533,3838.2356495855797,15453.293,22302.6775,36433.208269197385,0.3150000000000001,11585,1324,12909.0,1.324828518639679e-06,422.09667121054434,0.054,4193.359463008401,422.09667121054434,4615.456134218945,3,15573.959716184301,500.0,50.0,0,0.01608864526537559,0.0,-1,4.836223506743741,4.836223506743741,9168.560000000003,11542.35999999998,30380.95,0.0,10.0,8439.609396565425,2929.46,2926.02,3.44,3425.08,0.0,65.96,0.0
47,ARMM,EQ,1,1538931218,helped,a,0.7508978320116265,182059.68141066388,0.0,236120.69000000006,22302.6775,740645.0106877567,0.7950000000000005,87294,9980,97274.0,1.324828518639679e-06,3181.6652406957955,0.7950000000000005,97228.4179279859,3181.6652406957955,100410.0831686817,1,15573.959716184301,500.0,50.0,0,0.0041158825547999035,0.1901696051664235,-1,0.0,0.0,1867.299999999996,0.3099999999993239,30381.28,0.0,1.184,1484.8458337574475,630.41,604.49,25.92,2137.83,2121.22,0.01,39160.0
48,ARMM,EQ,1,1538931332,helped,a,1.0011971031742257,63504.57230918269,1919.117943493833,78659.79700000002,22302.6775,240714.1917973885,0.6450000000000004,35652,4076,39728.0,1.324828518639679e-06,1299.4456433943951,0.6450000000000004,34361.55172093911,1299.4456433943951,35660.9973643335,1,15573.959716184301,500.0,50.0,0,0.007131051698998043,0.1192681525999945,-1,0.0,0.0,1575.27,0.17999999998626204,30381.05,0.0,2.941,1630.1263450840383,519.08,508.49,10.59,1547.84,1537.98,0.01,5349.0
49,ARMM,EQ,1,1538931446,helped,a,0.5005985608490272,52010.97398330772,3838.235815973855,50589.066,22302.6775,146644.36700277953,0.9050000000000006,15112,1727,16839.0,1.324828518639679e-06,550.5747365412464,0.9050000000000006,18494.14163775189,550.5747365412464,19044.716374293137,1,15573.959716184301,500.0,50.0,0,0.008892045268893225,0.0,-1,0.0,0.0,189.88000000000704,9654.780000000006,30381.01,0.0,10.0,103.76902641734829,66.09,61.6,4.49,240.95,0.0,4.6,0.0
50,ARMM,EQ,1,1538931788,helped,a,0.6257481964303269,61412.15733365449,0.0,140935.58000000002,22302.6775,442075.7628456243,1.0350000000000006,34486,3942,38428.0,1.324828518639679e-06,1256.7258896616058,1.0350000000000006,46687.2893076789,1256.7258896616058,47944.0151973405,1,15573.959716184301,500.0,50.0,0,0.005327453553929156,0.048439000439159434,-1,0.0,0.0,231.10000000000267,0.09000000001017688,30381.15,0.0,2.225,167.6226412803387,85.4,75.16,10.24,329.41,329.41,0.0,4794.0
51,ARMM,EQ,1,1566111111,helped,a,6.6072986342313085,15288.460514189775,0.0,24142.436000000005,22302.6775,75728.11501291345,0.20500000000000004,32055,3665,35720.0,1.324828518639679e-06,1168.417145005019,0.017,10719.266461974321,1168.417145005019,11887.683606979339,3,15573.959716184301,500.0,50.0,0,0.012871804982910545,0.4371332507273877,-1,4.836223506743741,2.0616570327552957,29629.289999999994,0.029999999992838866,30380.97,0.0,10.0,196031.01038816536,9458.56,9449.04,9.52,9962.42,9962.42,0.0,0.0
52,ARMM,EQ,1,1566126012,helped,a,1.692994400395953,16998.723797859173,685.3992467243188,20699.721000000005,22302.6775,62779.36740259004,0.2950000000000001,20979,2398,23377.0,1.324828518639679e-06,764.4923093375268,0.027,7188.194319011011,764.4923093375268,7952.686628348538,3,15573.959716184301,500.0,50.0,0,0.013901054618474237,0.06573017125116117,-1,4.836223506743741,4.836223506743741,18561.600000000002,0.029999999997855298,30380.96,0.0,10.0,31474.11446018404,5926.83,5920.6,6.23,6428.25,6428.25,0.0,0.0
53,ARMM,EQ,1,1566131117,helped,a,1.704768886868619,13882.09808185013,0.0,18379.775000000005,22302.6775,57652.248311291834,0.24500000000000005,21614,2471,24085.0,1.324828518639679e-06,787.7650109979269,0.026,7390.632516272437,787.7650109979269,8178.397527270364,3,15573.959716184301,500.0,50.0,0,0.014752305599606979,0.10291282559454847,-1,4.836223506743741,4.836223506743741,19196.859999999993,0.02999999998408498,30380.96,0.0,10.0,32776.928716263326,6129.53,6123.11,6.42,6628.9,6628.9,0.0,0.0
54,ARMM,EQ,1,1566131236,helped,a,1.704768886868619,12993.066789878601,0.0,18344.682,22302.6775,57542.17131905508,0.2750000000000001,20372,2329,22701.0,1.324828518639679e-06,742.4948242064636,0.028,6994.677783913301,742.4948242064636,7737.172608119765,3,15573.959716184301,500.0,50.0,0,0.014766409286667361,0.053758675761036316,-1,4.836223506743741,4.836223506743741,17952.13,0.03000000000470493,30380.96,0.0,10.0,30653.098866163207,5732.35,5726.3,6.05,6235.28,6235.28,0.0,0.0
55,ARMM,EQ,1,1566131354,helped,a,1.4206407699302304,15739.45187160797,0.0,22801.006000000005,22302.6775,71520.42174940961,0.2850000000000001,24678,2821,27499.0,1.324828518639679e-06,899.3464573149137,0.001,8367.448377744571,899.3464573149137,9266.794835059485,3,15573.959716184301,500.0,50.0,0,0.013245031369892043,0.16577842748562663,-1,4.836223506743741,1.1946050096339098,22754.31000000002,0.03000000000173486,30380.97,0.0,10.0,32358.975777365347,7261.64,7254.31,7.33,7284.39,7284.39,0.0,0.0
56,ARMM,EQ,1,1566131473,helped,a,1.988897096426151,13140.335821657432,0.0,15999.516000000003,22302.6775,50186.03705934848,0.2850000000000001,17119,1957,19076.0,1.324828518639679e-06,623.8996869781234,0.034,5957.607941429992,623.8996869781234,6581.507628408115,3,15573.959716184301,500.0,50.0,0,0.015811627453515734,0.0,-1,4.836223506743741,4.836223506743741,14701.549999999992,2806.56,30380.96,0.0,10.0,29290.73359733532,4695.06,4689.98,5.08,5195.24,0.0,100.07,0.0
57,ARMM,EQ,1,1566131592,helped,a,1.704768886868619,12398.939923594331,0.0,18754.285,22302.6775,58826.98214318378,0.20500000000000004,24585,2810,27395.0,1.324828518639679e-06,895.8396118592369,0.023,8337.799593437489,895.8396118592369,9233.639205296726,3,15573.959716184301,500.0,50.0,0,0.014604266181320895,0.22884483001001216,-1,4.836223506743741,4.836223506743741,22169.710000000003,0.03000000000613312,30380.96,0.0,10.0,37850.01720093379,7078.23,7070.93,7.3,7588.36,7588.36,0.0,0.0
58,ARMM,EQ,1,1566211116,helped,a,1.7274992918238512,26000.929076600434,0.0,68036.977,22302.6775,213413.09631666605,0.3950000000000002,55932,6394,62326.0,1.324828518639679e-06,2038.433622145182,0.3950000000000002,39924.492729719175,2038.433622145182,41962.92635186436,1,15573.959716184301,500.0,50.0,0,0.007667565439693044,0.40543216289215156,-1,0.0,0.0,8279.83999999999,0.4399999999985875,30381.03,0.0,2.731,14502.688301547474,2676.42,2659.81,16.61,5971.94,5949.1,0.0,14267.0
59,ARMM,EQ,1,1566211249,helped,a,2.1593742073989572,18793.63299189571,0.0,22240.632999999998,22302.6775,69762.68731887692,0.6750000000000004,10142,1159,11301.0,1.324828518639679e-06,369.4939893753935,0.676,6347.179294440302,369.4939893753935,6716.673283815696,2,15573.959716184301,500.0,50.0,0,0.01341085366960123,0.0,-1,4.836223506743741,4.836223506743741,475.7799999999955,14901.820000000012,30380.97,0.0,10.0,1061.2512193999535,156.68,153.67,3.01,482.53,0.0,9.24,0.0
60,ARMM,EQ,1,1566211379,helped,a,0.7557809725896352,22852.580899613593,0.0,29673.542999999998,22302.6775,93077.66114176018,0.9650000000000006,8543,976,9519.0,1.324828518639679e-06,311.1528331582261,0.9650000000000006,10967.538702531487,311.1528331582261,11278.691535689713,1,15573.959716184301,500.0,50.0,0,0.011610349512467982,0.0,-1,0.0,0.0,80.30999999999939,18813.309999999994,30380.98,0.0,10.0,67.84758434135192,28.61,26.08,2.53,107.57,0.0,2.05,0.0
61,ARMM,EQ,1,1566233153,helped,a,1.4301824867109594,26454.463110195666,1919.1177980076216,30097.896000000008,22302.6775,88388.99921299811,0.2350000000000001,34409,3934,38343.0,1.324828518639679e-06,1254.1754566029317,0.237,13319.760827212775,1254.1754566029317,14573.936283815707,2,15573.959716184301,500.0,50.0,0,0.011528211274024893,0.5830304666854136,-1,2.3506743737957607,0.0,13307.639999999981,7145.149999999984,30380.97,7433.0,9.859,19165.303963805727,4272.17,4261.95,10.22,7440.52,7433.0,-0.18,7433.0
62,ARMM,EQ,1,1566237172,helped,a,1.0983799623328705,42537.966342901316,0.0,62615.328,22302.6775,196406.88952661192,0.9650000000000006,17451,1995,19446.0,1.324828518639679e-06,636.0142440068248,0.9650000000000006,22403.665913364974,636.0142440068248,23039.680157371797,1,15573.959716184301,500.0,50.0,0,0.007992629207138465,0.0,-1,0.0,0.0,164.03999999999886,6750.85,30381.03,0.0,10.0,201.41356126193233,58.46,53.28,5.18,219.73,0.0,4.19,0.0
63,ARMM,EQ,1,1566274222,helped,a,1.9025369694217447,43262.67524231058,0.0,74621.10900000001,22302.6775,234065.68934233274,0.7150000000000004,31023,3547,34570.0,1.324828518639679e-06,1130.7982573895779,0.7150000000000004,32071.70559740539,1130.7982573895779,33202.503854794966,1,15573.959716184301,500.0,50.0,0,0.007321484479995208,0.07982301984965491,-1,0.0,0.0,977.0899999999929,0.14000000000254187,30381.05,0.0,3.22,1939.7077396995194,325.03,315.82,9.21,1033.34,1026.07,0.0,3320.0
64,ARMM,EQ,1,1566274335,helped,a,1.6307460002526792,21414.63687532828,0.0,29568.061,22302.6775,92746.79341044293,0.5650000000000003,16672,1906,18578.0,1.324828518639679e-06,607.6406762290767,0.57,13436.460607586625,607.6406762290767,14044.101283815702,2,15573.959716184301,500.0,50.0,0,0.011631040632329495,0.0,-1,0.0,0.0,1067.5299999999963,5368.0899999999965,30380.98,0.0,10.0,1785.4193523451602,349.04,344.09,4.95,964.25,0.0,18.48,0.0
65,ARMM,EQ,1,1566274447,helped,a,2.1743280312099533,20484.18426196853,0.0,44617.312999999995,22302.6775,139952.11628317693,0.8450000000000005,15352,1755,17107.0,1.324828518639679e-06,559.5012522466052,0.8450000000000005,17866.721039595384,559.5012522466052,18426.22229184199,1,15573.959716184301,500.0,50.0,0,0.009468436907342037,0.0,-1,0.0,0.0,257.83999999999895,9035.410000000018,30381.01,0.0,10.0,600.9147287373398,88.11,83.55,4.56,309.56,0.0,5.92,0.0
66,ARMM,EQ,1,1566274560,helped,a,2.1743280312099533,41276.147050791566,0.0,64729.30900000002,22302.6775,203037.8606640363,0.7950000000000005,23260,2659,25919.0,1.324828518639679e-06,847.7001878767655,0.7950000000000005,25907.08411809462,847.7001878767655,26754.784305971385,1,15573.959716184301,500.0,50.0,0,0.00786103102385285,0.0135156733509698,-1,0.0,0.0,497.56999999999425,0.09999999999817381,30381.03,268.0,5.793,1145.681538891027,167.99,161.08,6.91,569.66,569.66,0.0,268.0
67,ARMM,EQ,1,1566274672,helped,a,1.3589550310836138,78247.80803007966,5757.353532017398,111140.91000000002,22302.6775,330558.9413047318,0.7550000000000004,40580,4639,45219.0,1.324828518639679e-06,1478.9323698985766,0.7550000000000004,43574.99207499821,1478.9323698985766,45053.92444489679,1,15573.959716184301,500.0,50.0,0,0.005999195591797061,0.10843580628249067,-1,0.0,0.0,1053.3100000000193,0.1599999999985633,30381.09,0.0,2.271,1503.7299743015506,352.78,340.73,12.05,1159.68,1151.38,-0.0,8110.0
68,ARMM,EQ,1,1566274785,helped,a,1.087163969295405,35247.95946312852,0.0,49402.30100000001,22302.6775,154961.294379348,0.7150000000000004,20838,2382,23220.0,1.324828518639679e-06,759.3914432201788,0.7150000000000004,21542.41050958107,759.3914432201788,22301.80195280125,1,15573.959716184301,500.0,50.0,0,0.008998215852045917,0.0,-1,0.0,0.0,656.309999999996,444.2499999999975,30381.01,0.0,10.0,744.5074970972786,218.33,212.14,6.19,694.1,0.0,13.28,0.0
69,ARMM,EQ,1,1566274898,helped,a,1.9025369694217447,16648.073785426375,0.0,25535.256000000005,22302.6775,80097.00443038093,0.5650000000000003,14678,1678,16356.0,1.324828518639679e-06,534.9533340568681,0.567,9476.342949758835,534.9533340568681,10011.296283815704,2,15573.959716184301,500.0,50.0,0,0.01251583668594029,0.0,-1,0.9441233140655096,0.0,1038.4100000000005,7832.079999999999,30380.97,0.0,10.0,2023.3303689549498,339.05,334.69,4.36,934.3,0.0,17.9,0.0
70,ARMM,EQ,1,1566420222,helped,a,0.6883468451265947,13604.866839514367,0.0,17854.453,22302.6775,56004.459130663425,0.21500000000000005,23076,2638,25714.0,1.324828518639679e-06,841.0053010977463,0.024,7856.724157745108,841.0053010977463,8697.729458842854,3,15573.959716184301,500.0,50.0,0,0.014967756901130027,0.17277568925468303,-1,4.836223506743741,4.836223506743741,20657.13,0.03000000001001979,30380.96,0.0,10.0,14240.63781460297,6595.47,6588.62,6.85,7091.47,7091.47,0.0,0.0
71,ARMM,EQ,1,1566420335,helped,a,1.3766937273008468,14175.564150126182,0.0,18049.627,22302.6775,56616.66574972747,0.21500000000000005,23012,2631,25643.0,1.324828518639679e-06,838.7736721714065,0.024,7836.320693275715,838.7736721714065,8675.094365447121,3,15573.959716184301,500.0,50.0,0,0.014886612366672455,0.16722871168615888,-1,4.836223506743741,4.836223506743741,20594.689999999988,0.02999999998839087,30380.96,0.0,10.0,28395.20959379855,6575.54,6568.71,6.83,7070.04,7070.04,0.0,0.0
72,ARMM,EQ,1,1566420447,helped,a,0.8604335378844149,16534.1608138167,0.0,21050.871,22302.6775,66030.73443831451,0.24500000000000005,24881,2844,27725.0,1.324828518639679e-06,906.6789523586014,0.022,8432.165616608425,906.6789523586014,9338.844568967026,3,15573.959716184301,500.0,50.0,0,0.013784625151011082,0.20553203267005346,-1,4.836223506743741,4.836223506743741,22465.57999999999,0.029999999986188186,30380.96,0.0,10.0,19358.26615707475,7172.54,7165.15,7.39,7666.99,7666.99,0.0,0.0
