,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcexp,pcsoc,c,pov_line,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
10,ARMM,EQ,1,157640230,helped,a,0.9223149902431247,21250.631276619915,0.0,28000.338000000003,22302.6775,87829.28186966927,1.0350000000000006,7003,800,7803.0,1.7262187634817956e-06,255.0433058673984,1.0350000000000006,9480.690338736742,255.0433058673984,9735.73364460414,1,15573.959716184301,500.0,50.0,0,0.011952213953413138,0.0,-1,0.0,0.0,344.73999999999734,21430.450000000008,30380.99,0.0,10.0,365.5285622572627,126.35,112.12,14.23,490.34,0.0,9.35,0.0
11,ARMM,EQ,1,157640347,helped,a,0.9223149902431247,17916.88377025668,0.0,24290.740000000005,22302.6775,76193.30346236714,0.20500000000000004,32471,3712,36183.0,1.7262187634817956e-06,1183.4009392247287,0.016,10851.888981025368,1183.4009392247287,12035.289920250096,3,15573.959716184301,500.0,50.0,0,0.0128324512458021,0.03836192652282115,-1,2.90944123314066,0.17341040462427745,31007.819999999992,0.02999999999255465,30380.97,0.0,10.0,28798.81788697422,9954.5,9888.47,66.03,10450.78,10450.78,0.0,0.0
12,ARMM,EQ,1,157640463,helped,a,1.3834724297932008,11440.501364544498,0.0,14660.443,22302.6775,45985.73705007488,0.21500000000000005,18985,2170,21155.0,1.7262187634817956e-06,691.8049671653182,0.029,6552.496452365699,691.8049671653182,7244.301419531017,3,15573.959716184301,500.0,50.0,0,0.016517961472156794,0.0,-1,2.90944123314066,2.90944123314066,17532.19,17176.92,30380.96,0.0,10.0,24436.365184754985,5631.06,5592.46,38.6,6139.78,0.0,118.27,0.0
13,ARMM,EQ,1,157640579,helped,a,1.1528937378039057,20696.533990140982,0.0,25692.90800000001,22302.6775,80591.51495897946,0.7550000000000004,10251,1172,11423.0,1.7262187634817956e-06,373.63844309573864,0.765,9795.309840719969,373.63844309573864,10168.948283815707,2,15573.959716184301,500.0,50.0,0,0.012477378936814505,0.0,-1,0.11560693641618495,0.0,1121.3899999999965,17039.219999999987,30380.98,0.0,10.0,1387.4296028775339,383.66,362.81,20.85,1254.26,0.0,23.99,0.0
14,ARMM,EQ,1,157640696,helped,a,1.0376042991901149,21639.76041688796,0.0,28644.793,22302.6775,89850.75817639519,0.3350000000000001,26831,3067,29898.0,1.7262187634817956e-06,977.7722738691388,0.337,12143.061009946561,977.7722738691388,13120.8332838157,2,15573.959716184301,500.0,50.0,0,0.011816997715454355,0.20802371117902807,-1,1.5028901734104023,0.0,11908.659999999998,8713.070000000002,30380.98,4199.0,8.518,12614.534006149262,3875.82,3821.26,54.56,7915.18,4199.0,71.11,4199.0
15,ARMM,EQ,1,157738012,helped,a,1.1664585523200919,15883.194537205834,0.0,21983.363,22302.6775,68955.70279795401,0.2850000000000001,23450,2681,26131.0,1.7262187634817956e-06,854.7138787881189,0.023,7975.956903238117,854.7138787881189,8830.670782026236,3,15573.959716184301,500.0,50.0,0,0.013489098626030063,0.0,-1,2.90944123314066,2.90944123314066,21995.17000000001,7032.86999999999,30380.97,0.0,10.0,25842.31504449652,7062.95,7015.26,47.69,7569.06,0.0,145.81,0.0
16,ARMM,EQ,1,1536121012,helped,a,1.1455269963695804,20720.475675616675,0.0,41782.488,22302.6775,131060.05776673387,0.4550000000000002,29358,3356,32714.0,1.7262187634817956e-06,1069.9066681137363,0.4550000000000002,22717.341717068855,1069.9066681137363,23787.248385182593,1,15573.959716184301,500.0,50.0,0,0.009784369543536583,0.10693776932947034,-1,0.0,0.0,7812.85999999998,2410.099999999988,30381.01,3330.0,4.321,9243.153919807244,2572.41,2512.71,59.7,6158.57,3330.0,53.98,3330.0
17,ARMM,EQ,1,1536121027,helped,a,1.431908814926333,28826.684196085138,0.0,75756.96100000001,22302.6775,237628.5415289823,1.0350000000000006,19503,2229,21732.0,1.7262187634817956e-06,710.6144109730388,1.0350000000000006,26403.24199291485,710.6144109730388,27113.856403887887,1,15573.959716184301,500.0,50.0,0,0.007266390332545927,0.0,-1,0.0,0.0,960.0999999999894,5453.949999999987,30381.07,0.0,10.0,1580.552672369857,351.9,312.25,39.65,1365.62,0.0,26.05,0.0
18,ARMM,EQ,1,1536201011,helped,a,1.503503968553305,15160.346855127902,0.0,17893.768,22302.6775,56127.77936403725,0.4350000000000002,13252,1515,14767.0,1.7262187634817956e-06,482.9882604863858,0.042,4724.792361693455,482.9882604863858,5207.780622179841,3,15573.959716184301,500.0,50.0,0,0.014951304778021698,0.0,-1,2.90944123314066,2.90944123314066,11798.149999999998,16848.299999999992,30380.97,0.0,10.0,17880.015291805074,3791.29,3764.34,26.95,4287.21,0.0,82.57,0.0
19,ARMM,EQ,1,1536201024,helped,a,1.288717674100098,14794.320940493648,0.0,20441.686,22302.6775,64119.8903236551,0.4350000000000002,14982,1713,16695.0,1.7262187634817956e-06,546.1114786885669,0.026,5276.323510631704,546.1114786885669,5822.434989320271,3,15573.959716184301,500.0,50.0,0,0.013988515848086478,0.0,-1,2.90944123314066,2.90944123314066,14166.420000000004,15558.37,30380.97,0.0,10.0,18388.838405425315,4549.05,4518.58,30.47,4917.56,0.0,94.73,0.0
