,district,hazard,rp,hhid,helped_cat,affected_cat,N_children,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
10,Ampara,PF,5.0,522241,helped,a,3,7.744210799580341,0.0,0.0,0.0,0.0,52153.133146515145,94882.42426754633,294774.5388950141,0.7950000000000005,37454,0,37454.0,1.8047043729134427e-05,0.0,0.7950000000000005,41831.673796048715,0.0,41831.673796048715,1,45477.532103761216,500.0,50.0,0,0.006492876008407336,0.02281508925197137,-1,0.0,0.0,32630.65,4757.700000000001,7906.87,20916.0,0.872,256599.2362228589,10665.32,10665.32,0,37007.11,20916.0,304.61,20916.0
11,Ampara,PF,5.0,522251,helped,a,0,4.646526479748205,0.0,120000.0,0.0,0.0,52153.133146515145,131010.66008786157,33757.067917946515,1.2150000000000007,2463,0,2463.0,1.8047043729134427e-05,0.0,1.2150000000000007,3787.7918697009027,0.0,3787.7918697009027,1,45477.532103761216,500.0,50.0,0,0.005525564823893344,0.0,-1,0.0,0.0,1995.0799999999997,10325.28,10917.56,0.0,10.0,9489.786890648948,659.56,659.56,0,3141.0,0.0,59.82,0.0
12,Ampara,PF,5.0,522261,helped,a,1,10.841895119412476,0.0,0.0,0.0,0.0,52153.133146515145,111383.75275658847,346039.79201288056,0.7550000000000004,48779,0,48779.0,1.8047043729134427e-05,0.0,0.7550000000000004,52529.19499806323,0.0,52529.19499806323,1,45477.532103761216,500.0,50.0,0,0.005992652195204157,0.026611150338647523,-1,0.0,0.0,42793.02,5571.73,9281.98,27840.0,0.841,470756.0618554504,13976.12,13976.12,0,46758.29,27840.0,357.99,27840.0
13,Ampara,PF,5.0,522271,helped,a,0,3.0976843198321364,0.0,0.0,0.0,0.0,52153.133146515145,603014.2101218522,1873405.291949407,0.7950000000000005,236670,0,236670.0,1.8047043729134427e-05,0.0,0.7950000000000005,264332.30729190074,0.0,264332.30729190074,1,45477.532103761216,500.0,50.0,0,0.0025755276840664504,0.022657084932978425,-1,0.0,0.0,206191.53,30351.480000000007,50251.18,132166.0,0.872,648575.3931553001,67393.67,67393.67,0,233846.21,132166.0,1924.82,132166.0
14,Ampara,PF,5.0,522281,helped,a,0,7.744210799580341,0.0,0.0,0.0,0.0,52153.133146515145,88070.20901855528,273610.79203276447,0.6750000000000004,42421,0,42421.0,1.8047043729134427e-05,0.0,0.6750000000000004,42288.70342345764,0.0,42288.70342345764,1,45477.532103761216,500.0,50.0,0,0.0067393107493158464,0.028512036322637043,-1,0.0,0.0,37735.130000000005,4452.139999999999,7339.18,23259.0,0.886,296054.2865203449,12305.24,12305.24,0,38109.89,23259.0,281.39,23259.0
15,Ampara,PF,5.0,522291,helped,a,0,3.0976843198321364,0.0,7500.0,7500.0,2.903916138382166e-07,52153.133146515145,86404.19988064798,245106.2981694993,0.8450000000000005,29039,0,29039.0,1.8047043729134427e-05,0.0,0.8450000000000005,33885.220620466855,0.0,33885.220620466855,1,45477.532103761216,500.0,50.0,0,0.006803972806767725,0.017994713315687045,-1,0.0,0.0,25080.940000000002,4437.4900000000025,7200.35,15587.0,0.919,78968.12022228232,8205.74,8205.74,0,29747.01,15587.0,268.19,15587.0
16,Ampara,PF,5.0,522311,helped,a,2,6.862163885846625,0.5813953488372093,21500.0,9000.0,3.484699366058599e-07,52153.133146515145,79292.62361468919,179465.71174474113,1.1150000000000009,14389,0,14389.0,1.8047043729134427e-05,0.0,1.1150000000000009,20675.725152911076,0.0,20675.725152911076,1,45477.532103761216,500.0,50.0,0,0.0071025385845269635,0.006647262750122073,-1,0.0,0.0,11859.29,4351.5199999999995,6607.72,5789.0,1.142,83147.67323694298,3900.57,3900.57,0,17410.84,5789.0,220.35,5789.0
17,Ampara,PF,5.0,522321,helped,a,1,5.146622914384968,0.0,10000.0,2000.0,7.743776369019108e-08,52153.133146515145,86096.49546855854,236374.1270900428,0.8450000000000005,28010,0,28010.0,1.8047043729134427e-05,0.0,0.8450000000000005,32684.5508259376,0.0,32684.5508259376,1,45477.532103761216,500.0,50.0,0,0.006816120485721976,0.016895343645666965,-1,0.0,0.0,24192.200000000004,4453.09,7174.71,14708.0,0.945,126551.85482868632,7915.02,7915.02,0,28692.98,14708.0,264.98,14708.0
18,Ampara,PF,5.0,522331,helped,a,1,3.4310819429233126,0.9176332403464984,81732.0,6000.0,2.3231329107057327e-07,52153.133146515145,163859.607889532,254842.1194038969,1.0350000000000006,22465,0,22465.0,1.8047043729134427e-05,0.0,1.0350000000000006,30484.010178121585,0.0,30484.010178121585,1,45477.532103761216,500.0,50.0,0,0.004940763204850552,0.003293310634135386,-1,0.0,0.0,18774.10999999999,9873.230000000003,13654.97,6097.0,1.555,65712.97345217242,6166.23,6166.23,0,25988.82,6097.0,378.31,6097.0
19,Ampara,PF,5.0,522351,helped,a,3,8.577704857308284,0.8274309922552461,24171.2,1800.0,6.969398732117198e-08,52153.133146515145,77842.67503685429,166652.3756447483,1.1150000000000009,12587,0,12587.0,1.8047043729134427e-05,0.0,1.1150000000000009,18086.519580541597,0.0,18086.519580541597,1,45477.532103761216,500.0,50.0,0,0.0071683816546623084,0.005226545331099328,-1,0.0,0.0,10374.099999999997,4419.25,6486.89,4522.0,1.243,90918.35331045625,3412.18,3412.18,0,15230.49,4522.0,203.2,4522.0
