,district,hazard,rp,hhid,helped_cat,affected_cat,N_children,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
10,Ampara,PF,5.0,522241,helped,a,3,7.744210799580341,0.0,0.0,0.0,0.0,52153.133146515145,94882.42426754633,294774.5388950141,1.0350000000000006,26105,0,26105.0,2.934285707208315e-07,0.0,1.0350000000000006,35421.387441818006,0.0,35421.387441818006,1,45477.532103761216,1.0,1.0,0,0,0.006492876008407336,0.058537865863267265,-1,0.0,0.0,1.2000000000089799,0.09000000000257252,7907.7,0.0,2.133,9.44793717555756,0.39,0.39,0,1.65,1.65,0.0,3896.0
11,Ampara,PF,5.0,522251,helped,a,0,4.646526479748205,0.0,120000.0,0.0,0.0,52153.133146515145,131010.66008786157,33757.067917946515,0.7550000000000004,4615,0,4615.0,2.934285707208315e-07,0.0,0.7550000000000004,4972.241134737071,0.0,4972.241134737071,1,45477.532103761216,1.0,1.0,0,0,0.005525564823893344,0.0,-1,0.0,0.0,3.1500000000013904,4336.21000000001,10917.65,0.0,10.0,14.868884735200716,1.07,1.07,0,3.49,0.0,0.07,0.0
12,Ampara,PF,5.0,522261,helped,a,1,10.841895119412476,0.0,0.0,0.0,0.0,52153.133146515145,111383.75275658847,346039.79201288056,1.0350000000000006,30956,0,30956.0,2.934285707208315e-07,0.0,1.0350000000000006,42003.61883351536,0.0,42003.61883351536,1,45477.532103761216,1.0,1.0,0,0,0.005992652195204157,0.13792578040112294,-1,0.0,0.0,1.4199999999875283,0.09999999999841029,9282.95,0.0,0.885,15.720747923012873,0.47,0.47,0,1.97,1.97,0.0,16801.0
13,Ampara,PF,5.0,522271,helped,a,0,3.0976843198321364,0.0,0.0,0.0,0.0,52153.133146515145,603014.2101218522,1873405.291949407,1.2150000000000007,136223,0,136223.0,2.934285707208315e-07,0.0,1.2150000000000007,209358.58709775045,0.0,209358.58709775045,1,45477.532103761216,1.0,1.0,0,0,0.0025755276840664504,0.09839022480237708,-1,0.0,0.0,1.0899999999812795,0.09999999999877644,50256.45,0.0,0.888,3.4694064381540026,0.36,0.36,0,1.72,1.72,0.0,71182.0
14,Ampara,PF,5.0,522281,helped,a,0,7.744210799580341,0.0,0.0,0.0,0.0,52153.133146515145,88070.20901855528,273610.79203276447,0.6750000000000004,44018,0,44018.0,2.934285707208315e-07,0.0,0.683,42593.676914794065,0.0,42593.676914794065,2,45477.532103761216,1.0,1.0,0,0,0.0067393107493158464,0.22967257656130022,-1,0.0,0.0,60.40000000000939,0.09999999999548086,7339.95,0.0,1.814,473.9457009343896,19.7,19.7,0,61.5,61.5,0.0,13204.0
15,Ampara,PF,5.0,522291,helped,a,0,3.0976843198321364,0.0,7500.0,7500.0,2.903916138382166e-07,52153.133146515145,86404.19988064798,245106.2981694993,1.2150000000000007,18214,0,18214.0,2.934285707208315e-07,0.0,1.2150000000000007,27992.90887814282,0.0,27992.90887814282,1,45477.532103761216,1.0,1.0,0,0,0.006803972806767725,0.010223994359526808,-1,0.0,0.0,0.21000000001179275,0.09000000000500857,7201.04,0.0,3.79,0.6505137072012789,0.07,0.07,0,0.33,0.33,0.0,280.0
16,Ampara,PF,5.0,522311,helped,a,2,6.862163885846625,0.5813953488372093,21500.0,9000.0,3.484699366058599e-07,52153.133146515145,79292.62361468919,179465.71174474113,0.8450000000000005,21875,0,21875.0,2.934285707208315e-07,0.0,0.8450000000000005,25525.965408767854,0.0,25525.965408767854,1,45477.532103761216,1.0,1.0,0,0,0.0071025385845269635,0.05250785265826665,-1,0.0,0.0,6.269999999993707,0.0999999999948347,6608.23,0.0,2.725,43.71198395279981,2.06,2.06,0,7.44,7.44,0.0,2553.0
17,Ampara,PF,5.0,522321,helped,a,1,5.146622914384968,0.0,10000.0,2000.0,7.743776369019108e-08,52153.133146515145,86096.49546855854,236374.1270900428,0.7550000000000004,32716,0,32716.0,2.934285707208315e-07,0.0,0.7550000000000004,35231.45280768862,0.0,35231.45280768862,1,45477.532103761216,1.0,1.0,0,0,0.006816120485721976,0.13267728237447035,-1,0.0,0.0,22.37999999999712,0.09999999999805258,7175.38,0.0,2.005,116.8798063856678,7.31,7.31,0,24.46,24.46,0.0,7751.0
18,Ampara,PF,5.0,522331,helped,a,1,3.4310819429233126,0.9176332403464984,81732.0,6000.0,2.3231329107057327e-07,52153.133146515145,163859.607889532,254842.1194038969,1.0350000000000006,22410,0,22410.0,2.934285707208315e-07,0.0,1.0350000000000006,30409.36850206689,0.0,30409.36850206689,1,45477.532103761216,1.0,1.0,0,0,0.004940763204850552,0.042788789318165224,-1,0.0,0.0,1.0399999999970955,0.09000000000125491,13655.69,0.0,1.555,3.6369468594887455,0.37,0.37,0,1.47,1.47,0.0,6082.0
19,Ampara,PF,5.0,522351,helped,a,3,8.577704857308284,0.8274309922552461,24171.2,1800.0,6.969398732117198e-08,52153.133146515145,77842.67503685429,166652.3756447483,0.7550000000000004,23862,0,23862.0,2.934285707208315e-07,0.0,0.7550000000000004,25697.032811048557,0.0,25697.032811048557,1,45477.532103761216,1.0,1.0,0,0,0.0071683816546623084,0.07455769480254255,-1,0.0,0.0,16.329999999997654,0.09000000000255276,6487.36,0.0,2.702,142.13256948557813,5.34,5.34,0,17.85,17.85,0.0,3341.0
20,Ampara,PF,5.0,522361,helped,a,0,5.146622914384968,0.0,6000.0,6000.0,2.3231329107057327e-07,52153.133146515145,142483.82958765677,423996.57000102533,0.9650000000000006,42780,0,42780.0,2.934285707208315e-07,0.0,0.9650000000000006,55052.90551234977,0.0,55052.90551234977,1,45477.532103761216,1.0,1.0,0,0,0.005298430060644723,0.15590568621849954,-1,0.0,0.0,3.859999999996678,0.09999999999869007,11874.84,0.0,0.899,20.22622805351583,1.27,1.27,0,5.06,5.06,0.0,23122.0
21,Ampara,PF,5.0,522371,helped,a,1,5.146622914384968,0.0,976.0,0.0,0.0,52153.133146515145,107684.52974233062,331511.4524176101,0.7950000000000005,43227,0,43227.0,2.934285707208315e-07,0.0,0.7950000000000005,48279.44957980198,0.0,48279.44957980198,1,45477.532103761216,1.0,1.0,0,0,0.006094714097945236,0.24152952488095233,-1,0.0,0.0,20.090000000018144,0.0999999999968955,8974.64,0.0,0.872,104.99110745354673,6.57,6.57,0,22.79,22.79,0.0,24140.0
22,Ampara,PF,5.0,522381,helped,a,1,3.4310819429233126,0.0,9000.0,9000.0,3.484699366058599e-07,52153.133146515145,163154.75786964817,478884.2062637028,0.8450000000000005,58648,0,58648.0,2.934285707208315e-07,0.0,0.8450000000000005,68435.43949611633,0.0,68435.43949611633,1,45477.532103761216,1.0,1.0,0,0,0.004951424076711857,0.20521256738173088,-1,0.0,0.0,16.829999999999536,0.0999999999993098,13597.58,0.0,0.894,58.705812043416294,5.51,5.51,0,19.97,19.97,0.0,32165.0
23,Ampara,PF,5.0,522391,helped,a,3,8.577704857308284,0.8922729165427399,80692.8,8400.0,3.252386074988025e-07,52153.133146515145,220207.16070068974,433131.4453368651,0.7550000000000004,61164,0,61164.0,2.934285707208315e-07,0.0,0.7550000000000004,65868.00696697226,0.0,65868.00696697226,1,45477.532103761216,1.0,1.0,0,0,0.004262008161551627,0.14539159352896835,-1,0.0,0.0,41.82999999998081,0.099999999997809,18351.82,0.0,1.149,364.0377941439989,13.68,13.68,0,45.72,45.72,0.0,27665.0
24,Ampara,PF,5.0,522511,helped,a,2,9.181208069753676,0.8264462809917356,40333.333333333336,7000.0,2.7103217291566877e-07,52153.133146515145,79314.98391361545,120954.3592718166,0.7150000000000004,18643,0,18643.0,2.934285707208315e-07,0.0,0.7150000000000004,19331.39687226687,0.0,19331.39687226687,1,45477.532103761216,1.0,1.0,0,0,0.007101537348235857,0.03303801692912263,-1,0.0,0.0,18.76000000000992,0.09999999999821867,6609.92,0.0,3.935,174.626577486806,6.13,6.13,0,19.73,19.73,0.0,1160.0
25,Ampara,PF,5.0,522521,helped,a,0,4.590604034876836,0.952018278750952,35013.333333333336,1680.0,6.504772149976051e-08,52153.133146515145,99046.11216909505,198801.52965744413,0.9050000000000006,22823,0,22823.0,2.934285707208315e-07,0.0,0.9050000000000006,28001.822987454016,0.0,28001.822987454016,1,45477.532103761216,1.0,1.0,0,0,0.006354937434190316,0.10685945769966233,-1,0.0,0.0,3.6699999999912243,0.09000000000072067,8254.4,0.0,1.129,17.122953050050313,1.21,1.21,0,4.59,4.59,0.0,10081.0
