district,hazard,rp,hhid,affected_cat,helped_cat,index,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_npv_pre,dc_post_reco,dc_t,di0,di0_prv,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,has_ew,help_received,hh_reco_rate,integ,ispoor,macro_multiplier,pc_fee,pc_fee_BE,pcsoc,pcwgt,pcwgt_ae,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
Batticaloa,PF,250.0,51207002061,a,helped,25970,76108.30500417402,36346.798828125,0.007249598762321236,59166.570334056785,59166.570334056785,0.0,59166.570334056785,333266.3599422745,0.0,59166.570334056785,59166.570334056785,59166.570334056785,0.0,59166.570334056785,0.0,59166.570334056785,175509.02459211074,175509.02459211074,175509.02459211074,0.0,0.05545402319549671,2818603.5619420586,0.0,0.0,0.0,8.287608324436476,0.0,5.632680043150034,0.0,0.0,0.0,14.597596457508464,14.597596457508464,43493.30859375,0.0,5.684341886080802e-14,6342.358750347835,0.0,8.445698964942757e-05,0.0,3.0,4.7626857291879286e-08,2601500.223304248,37975650.44391357
Batticaloa,PF,250.0,51212045051,a,helped,26173,54125.06728638635,36346.798828125,0.00859668019853286,39982.57584457825,39982.57584457825,0.0,39982.57584457825,225209.05703348853,0.0,39982.57584457825,39982.57584457825,39982.57584457825,0.0,39982.57584457825,0.0,39982.57584457825,118602.49542168912,118602.49542168912,118602.49542168912,0.0,0.05545402319549671,2853998.299649949,0.0,0.0,0.0,7.076721934773623,0.0,5.632680043150034,0.0,0.0,0.0,39.41340079602947,39.41340079602947,43493.30859375,0.0,0.0,4510.422273865529,0.0,8.445698964942757e-05,0.0,3.0,7.94149608447241e-08,2601500.223304248,102533970.97205049
Batticaloa,PF,500.0,51210023071,a,helped,26850,68320.37859204998,36346.798828125,0.007651645896697878,51287.46580869168,51287.46580869168,0.0,51287.450747854804,288885.88512435736,0.0,51287.450747854804,51287.46580869168,51287.46580869168,0.0,51287.450747854804,0.0,51287.450747854804,152136.76242560399,152136.76242560399,152136.76242560399,0.0,0.05545402319549671,2663933.1802990534,0.0,0.0,0.0,7.421260149693565,0.0,5.632680043150034,0.0,0.0,166.6666717529297,8.805719207789314,8.805719207789314,43493.30859375,0.0,0.0,5693.364882670831,0.0,9.036918002225386e-05,0.0,3.0,5.5998269142995155e-08,2601500.223304248,22908080.485418405
Batticaloa,PF,500.0,51212045051,a,helped,26938,54125.06728638635,36346.798828125,0.00859668019853286,44349.812006088396,44349.812006088396,0.0,44349.812006088396,249808.3010041499,0.0,44349.812006088396,44349.812006088396,44349.812006088396,0.0,44349.812006088396,0.0,44349.812006088396,131557.26624146808,131557.26624146808,131557.26624146808,0.0,0.05545402319549671,4043767.3227467546,0.0,0.0,0.0,10.026851422971301,0.0,5.632680043150034,0.0,0.0,0.0,42.26726562143252,42.26726562143252,43493.30859375,0.0,5.3290705182007514e-14,4510.422273865529,0.0,9.036918002225386e-05,0.0,3.0,7.94149608447241e-08,2601500.223304248,109958300.95261666
Batticaloa,PF,1000.0,51207002061,a,helped,27500,76108.30500417402,36346.798828125,0.007249598762321236,57934.810593864975,57934.810593864975,0.0,57934.810593864975,326328.25143574044,0.0,57934.810593864975,57934.810593864975,57934.810593864975,0.0,57934.810593864975,0.0,57934.810593864975,171855.18849324092,171855.18849324092,171855.18849324092,0.0,0.05545402319549671,2634109.6501632365,0.0,0.0,0.0,7.745136406884331,0.0,5.632680043150034,0.0,0.0,0.0,19.2979237327222,19.2979237327222,43493.30859375,0.0,0.0,6342.358750347835,0.0,0.0001112272974604533,0.0,3.0,4.7626857291879286e-08,2601500.223304248,50203552.89998515
Batticaloa,PF,1000.0,51212045051,a,helped,27703,54125.06728638635,36346.798828125,0.00859668019853286,39917.266858099094,39917.266858099094,0.0,39917.266858099094,224841.19240870903,0.0,39917.266858099094,39917.266858099094,39917.266858099094,0.0,39917.266858099094,0.0,39917.266858099094,118408.76581307162,118408.76581307162,118408.76581307162,0.0,0.05545402319549671,2840538.911900534,0.0,0.0,0.0,7.043348283315388,0.0,5.632680043150034,0.0,0.0,0.0,52.104249136012136,52.104249136012136,43493.30859375,0.0,0.0,4510.422273865529,0.0,0.0001112272974604533,0.0,3.0,7.94149608447241e-08,2601500.223304248,135549215.76243573
Colombo,PF,10.0,11210093091,a,helped,32037,31215.252803982043,36346.798828125,0.01132000366356556,25502.033399032236,25502.033399032236,0.0,25502.033399032236,143644.7945864745,0.0,25502.033399032236,25502.033399032236,25502.033399032236,0.0,25502.033399032236,0.0,25502.033399032236,75648.07258066212,75648.07258066212,75648.07258066212,0.0,0.05545402319549671,4712239.442080372,0.0,0.0,0.0,8.873398274689272,1.0,5.632680043150034,0.0,0.0,0.0,33.4098211432213,33.4098211432213,43493.30859375,0.0,0.0,2601.2710669985036,0.0,0.0028619289778947,0.0,3.0,1.8132167204683824e-07,2601500.223304248,86915657.1646452
Colombo,PF,25.0,11210093091,a,helped,34370,31215.252803982043,36346.798828125,0.01132000366356556,25276.833270169012,25276.833270169012,0.0,25276.833270169012,142376.3143149118,0.0,25276.833270169012,25276.833270169012,25276.833270169012,0.0,25276.833270169012,0.0,25276.833270169012,74980.049155751,74980.049155751,74980.049155751,0.0,0.05545402319549671,4537900.356019643,0.0,0.0,0.0,8.545108474377425,1.0,5.632680043150034,0.0,0.0,0.0,39.587197256782225,39.587197256782225,43493.30859375,0.0,-7.105427357601002e-15,2601.2710669985036,0.0,0.0033962255764486767,0.0,3.0,1.8132167204683824e-07,2601500.223304248,102986102.50350827
Colombo,PF,50.0,11210093091,a,helped,36703,31215.252803982043,36346.798828125,0.01132000366356556,22709.413763118657,22709.413763118657,0.0,22709.413763118657,127914.86169515518,0.0,22709.413763118657,22709.413763118657,22709.413763118657,0.0,22709.413763118657,0.0,22709.413763118657,67364.17264208743,67364.17264208743,67364.17264208743,0.0,0.05545402319549671,3162978.3298315722,0.0,0.0,0.0,5.956056944851728,1.0,5.632680043150034,0.0,0.0,0.0,44.945037862185046,44.945037862185046,43493.30859375,0.0,2.1316282072803006e-14,2601.2710669985036,0.0,0.0038203355754738507,0.0,3.0,1.8132167204683824e-07,2601500.223304248,116924526.03489228
Colombo,PF,250.0,11210093091,a,helped,41369,31215.252803982043,36346.798828125,0.01132000366356556,22617.200226437548,22617.200226437548,0.0,22617.200226437548,127395.45234738321,0.0,22617.200226437548,22617.200226437548,22617.200226437548,0.0,22617.200226437548,0.0,22617.200226437548,67090.63459880196,67090.63459880196,67090.63459880196,0.0,0.05545402319549671,3134393.943753406,0.0,0.0,0.0,5.902231020845396,1.0,5.632680043150034,0.0,0.0,0.0,52.5063897421718,52.5063897421718,43493.30859375,0.0,-1.4210854715202004e-14,2601.2710669985036,0.0,0.0044785341399113,0.0,3.0,1.8132167204683824e-07,2601500.223304248,136595384.6391598
