,region,hazard,rp,index,hhid,helped_cat,affected_cat,province,pcwgt,ispoor,pcsoc,c,pov_line,k,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
31,ARMM,EQ,1,31,1536382012,helped,a,Lanao del Sur,1.2962424552953387,1,0.0,16270.782000000007,22302.6775,51036.92314421137,17552.372262886274,2006.8214735715474,19559.193736457823,0.011435956699566048,5595.768809677207,639.7829786317172,6235.551788308924,5595.768809677207,639.7829786317172,6235.551788308924,0.0,3,15573.959716184301,0.0,0,0.0,0.01567926796696876,0.3909317353144978,-1,4.836223506743741,4.836223506743741,False,17552.372262886274,0.0,10179.540055117546,0.0,5595.768809677207,5.212324002289062,5600.981133679496,5600.981133679496,5600.981133679496,0.0,1.3632890789144594e-06
32,ARMM,EQ,1,32,1536382025,helped,a,Lanao del Sur,1.2962424552953387,1,0.0,15593.180000000002,22302.6775,48911.473906653875,19734.204019837493,2256.2776015519394,21990.48162138943,0.009780479973495243,6291.34578985135,719.3106230679676,7010.6564129193175,6291.34578985135,719.3106230679676,7010.6564129193175,0.0,3,15573.959716184301,0.0,0,0.0,0.016016316765809096,0.5884779660015871,-1,4.836223506743741,4.836223506743741,False,19734.204019837493,-1.0658141036401503e-14,9755.608624698185,0.0,6291.345789851352,5.860237222529942,6297.206027073881,6297.206027073881,6297.206027073881,0.0,1.3632890789144594e-06
33,ARMM,EQ,1,33,1536382038,helped,a,Lanao del Sur,1.2962424552953387,1,0.0,16000.623000000001,22302.6775,50189.50941082613,16712.45280792372,1910.7906708376388,18623.24347876136,0.011468122293381207,5327.999016607215,609.1679618887721,5937.166978495987,5327.999016607215,609.1679618887721,5937.166978495987,0.0,3,15573.959716184301,0.0,0,0.0,0.01581108048186516,0.3524818172073548,-1,4.836223506743741,4.836223506743741,False,16712.45280792372,-1.4210854715202004e-14,10010.519859968683,0.0,5327.999016607215,4.962902883051077,5332.961919490266,5332.961919490266,5332.961919490266,0.0,1.3632890789144594e-06
34,ARMM,EQ,1,34,1536401017,helped,a,Lanao del Sur,1.3004104311761637,1,799.632471066311,13540.620999999997,22302.6775,39964.94159484573,14631.670448209241,1672.8878586842436,16304.558306893485,0.008595890614318242,4664.639833235308,533.323562280331,5197.96339551564,4664.639833235308,533.323562280331,5197.96339551564,0.0,3,15573.959716184301,0.0,0,0.0,0.017187420582844906,0.3507504828854632,-1,4.836223506743741,4.836223506743741,False,14631.670448209241,0.0,8471.459998208602,0.0,4664.638091972241,4.34499712794057,4668.983089100182,4668.983089100182,4668.983089100182,0.0,1.3632890789144594e-06
35,ARMM,EQ,1,35,1536405018,helped,a,Lanao del Sur,1.8334521585592787,1,299.862169480626,11936.803999999998,22302.6775,36501.85380382303,2776.840941647619,317.48551973080856,3094.326461378427,0.012137058273131355,885.2694288046448,101.21569564646869,986.4851244511135,885.2694288046448,101.21569564646869,986.4851244511135,0.0,3,15573.959716184301,0.0,0,0.0,0.01830568413026645,0.0,-1,4.836223506743741,4.836223506743741,False,2776.840941647619,8928.212239306302,7468.063638167045,0.0,885.2687758310104,0.8246061827946215,886.093382013805,886.093382013805,0.0,17.07309021221204,1.3632890789144594e-06
36,ARMM,EQ,1,36,1536932011,helped,a,Lanao del Sur,0.6772972451333306,1,5597.426846692262,21340.802999999967,22302.6775,49382.59751539765,8904.215624864786,1018.0487773196065,9922.264402184393,0.0143360613781121,2838.7205561534597,324.55815712732084,3163.2787132807807,5442.285126688343,324.55815712732084,5766.843283815663,1.2736983963836728,2,15573.959716184301,0.0,0,0.0,0.013690667317993583,0.03106490352329028,-1,4.836223506743741,4.836223506743741,False,52.5132688911777,7220.440414188737,13351.512432119282,0.0,17.165019517399365,2.6441814318840224,19.809200949283387,88.3570525540745,0.0,1.6817276498159328,1.3632890789144594e-06
37,ARMM,EQ,1,37,1536932025,helped,a,Lanao del Sur,0.6772972451333306,0,0.0,217936.58000000002,22302.6775,683606.5091261298,84703.07498528095,9684.386088222756,94387.46107350371,0.2140651072001907,27003.690326725373,3087.4223040457327,30091.112630771106,143116.69146690398,3087.4223040457327,146204.1137709497,1.3708239182621864,1,15573.959716184301,5843.039496960806,0,0.0,0.004284152581442262,0.0,-1,0.0,0.0,True,111.86539602301434,326719.39182070515,428162.0134434265,0.0,36.61766409646908,25.153287783612157,60.99640447015938,218.44847200390777,0.0,4.153926544971362,1.3632890789144594e-06
38,ARMM,EQ,1,38,1536932039,helped,a,Lanao del Sur,1.3545944902666611,1,1279.4118506725172,18579.624999999996,22302.6775,54265.96268579479,12594.132342641093,1439.9293068581517,14034.061649499245,0.014616374397035562,4015.065964227289,459.0554132955704,4474.12137752286,4015.065964227289,459.0554132955704,4474.12137752286,0.0,3,15573.959716184301,0.0,0,0.0,0.014672750190353188,0.05923337589256431,-1,4.836223506743741,4.836223506743741,False,12594.132342641093,0.0,11624.030255006654,0.0,4015.063178206607,3.7399331164116196,4018.8031113230186,4018.8031113230186,4018.8031113230186,0.0,1.3632890789144594e-06
39,ARMM,EQ,1,39,1538132011,helped,a,Maguindanao,0.43439653552146545,0,47.97794665225337,28168.066000000006,22302.6775,88204.9045207025,33461.18964965496,3825.7298167134168,37286.919466368374,0.018498661856057703,10667.565703013612,1219.6584747625884,11887.2241777762,11374.447809053117,1219.6584747625884,12594.106283815705,0.36987139130695057,2,15573.959716184301,5843.039496960806,0,0.0,0.011916575827596705,0.306190779096021,-1,0.7899807321772634,1.4836223506743715,True,5593.50180610844,0.26636235665127117,30263.911988638887,0.0,1795.9853539368862,9.93658061393937,1805.147387140904,3888.820432942573,3874.8970096736984,0.0019116947721329325,1.3632890789144594e-06
40,ARMM,EQ,1,40,1538132016,helped,a,Maguindanao,0.9821136463586007,0,119.94486271454308,40491.922000000006,22302.6775,126635.67702741614,52429.93064539254,5994.489468498712,58424.42011389125,0.024781361145251552,16714.878972458213,1911.0680137915288,18625.946986249743,23006.894270024175,1911.0680137915288,24917.962283815705,0.34258046388639457,2,15573.959716184301,5843.039496960806,0,0.0,0.009939071157044663,0.4698037341493348,-1,0.0,0.019267822736030827,True,10000.968430760826,0.42341829470422,43504.72313773597,0.0,3209.465434558281,15.569507178193389,3224.260394326552,6673.086773487042,6650.965256041332,0.0028151820917230452,1.3632890789144594e-06
41,ARMM,EQ,1,41,1538133013,helped,a,Maguindanao,0.49179119369943797,0,2398.897298396605,47652.73400000001,22302.6775,141948.71431013112,45013.612837753106,5146.557029037421,50160.16986679053,0.03334706281297656,14350.534278149153,1640.743648151008,15991.277926300161,30438.0306356647,1640.743648151008,32078.77428381571,0.616634597227881,2,15573.959716184301,5843.039496960806,0,0.0,0.009161911330655163,0.08628977982325718,-1,0.0,0.0,True,2281.3838653875127,0.2476533573951798,51198.339481470735,0.0,736.0107877215733,13.367169469170447,748.6034097808218,2172.197563605373,2159.1902659451844,0.002968948196119925,1.3632890789144594e-06
