,district,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
10,Ampara,PF,5.0,522241,helped,a,7.744210799580341,0.0,0.0,0.0,0.0,52153.133146515145,94882.42426754633,294774.5388950141,1.1150000000000009,24415,0,24415.0,5.68225312919702e-07,0.0,1.1150000000000009,35081.45797326133,0.0,35081.45797326133,1,45477.532103761216,500.0,50.0,0,0.006492876008407336,0.043377884395242663,-1,0.0,0.0,37.96999999999348,0.09999999998973834,7909.01,0.0,2.265,300.397936915671,12.49,12.49,0,55.74,55.74,0.0,2807.0
11,Ampara,PF,5.0,522251,helped,a,4.646526479748205,0.0,120000.0,0.0,0.0,52153.133146515145,131010.66008786157,33757.067917946515,1.0350000000000006,3080,0,3080.0,5.68225312919702e-07,0.0,1.0350000000000006,4181.629432476817,0.0,4181.629432476817,1,45477.532103761216,500.0,50.0,0,0.005525564823893344,0.0,-1,0.0,0.0,7.62000000000009,20906.199999999997,10917.81,0.0,10.0,36.10351074764397,2.57,2.57,0,10.61,0.0,0.2,0.0
12,Ampara,PF,5.0,522261,helped,a,10.841895119412476,0.0,0.0,0.0,0.0,52153.133146515145,111383.75275658847,346039.79201288056,0.9650000000000006,35061,0,35061.0,5.68225312919702e-07,0.0,0.9650000000000006,45119.346743826136,0.0,45119.346743826136,1,45477.532103761216,500.0,50.0,0,0.005992652195204157,0.09450921773156519,-1,0.0,0.0,130.06999999999718,0.09000000000160352,9284.5,0.0,1.777,1436.6595222733165,42.65,42.65,0,170.52,170.52,0.0,8121.0
13,Ampara,PF,5.0,522271,helped,a,3.0976843198321364,0.0,0.0,0.0,0.0,52153.133146515145,603014.2101218522,1873405.291949407,0.8450000000000005,219416,0,219416.0,5.68225312919702e-07,0.0,0.8450000000000005,256032.436611145,0.0,256032.436611145,1,45477.532103761216,500.0,50.0,0,0.0025755276840664504,0.19256221224359188,-1,0.0,0.0,1632.7799999998535,0.3000000000067655,50264.81,0.0,1.027,5140.854943506563,534.19,534.19,0,1936.54,1920.45,0.01,107534.0
14,Ampara,PF,5.0,522281,helped,a,7.744210799580341,0.0,0.0,0.0,0.0,52153.133146515145,88070.20901855528,273610.79203276447,0.7950000000000005,35730,0,35730.0,5.68225312919702e-07,0.0,0.7950000000000005,39906.17036185242,0.0,39906.17036185242,1,45477.532103761216,500.0,50.0,0,0.0067393107493158464,0.14630395984380246,-1,0.0,0.0,355.3200000000039,0.0999999999971624,7341.17,0.0,1.849,2794.1112564886175,116.13,116.13,0,402.97,402.97,0.0,9178.0
15,Ampara,PF,5.0,522291,helped,a,3.0976843198321364,0.0,7500.0,7500.0,2.903916138382166e-07,52153.133146515145,86404.19988064798,245106.2981694993,1.0350000000000006,22519,0,22519.0,5.68225312919702e-07,0.0,1.0350000000000006,30555.763129311446,0.0,30555.763129311446,1,45477.532103761216,500.0,50.0,0,0.006803972806767725,0.04049949159942598,-1,0.0,0.0,55.689999999992196,0.09999999999955293,7202.13,0.0,2.569,175.9794462096395,18.29,18.29,0,77.09,77.09,0.0,2139.0
16,Ampara,PF,5.0,522311,helped,a,6.862163885846625,0.5813953488372093,21500.0,9000.0,3.484699366058599e-07,52153.133146515145,79292.62361468919,179465.71174474113,0.7950000000000005,23161,0,23161.0,5.68225312919702e-07,0.0,0.7950000000000005,25868.525022535527,0.0,25868.525022535527,1,45477.532103761216,500.0,50.0,0,0.0071025385845269635,0.06130181404020845,-1,0.0,0.0,230.34000000000864,0.09000000000320246,6609.03,0.0,2.776,1605.060132899585,75.3,75.3,0,261.25,261.25,0.0,2846.0
17,Ampara,PF,5.0,522321,helped,a,5.146622914384968,0.0,10000.0,2000.0,7.743776369019108e-08,52153.133146515145,86096.49546855854,236374.1270900428,1.0350000000000006,20101,0,20101.0,5.68225312919702e-07,0.0,1.0350000000000006,27274.87477057337,0.0,27274.87477057337,1,45477.532103761216,500.0,50.0,0,0.006816120485721976,0.02431228797999632,-1,0.0,0.0,49.69999999999886,0.09000000000307143,7176.43,0.0,3.11,260.933781759312,16.33,16.33,0,68.8,68.8,0.0,1091.0
18,Ampara,PF,5.0,522331,helped,a,3.4310819429233126,0.9176332403464984,81732.0,6000.0,2.3231329107057327e-07,52153.133146515145,163859.607889532,254842.1194038969,0.8450000000000005,30183,0,30183.0,5.68225312919702e-07,0.0,0.8450000000000005,35221.637964958194,0.0,35221.637964958194,1,45477.532103761216,500.0,50.0,0,0.004940763204850552,0.03486613808060356,-1,0.0,0.0,224.59999999999428,0.09999999999933999,13656.82,0.0,2.725,783.2816967499434,73.53,73.53,0,266.44,266.44,0.0,3522.0
19,Ampara,PF,5.0,522351,helped,a,8.577704857308284,0.8274309922552461,24171.2,1800.0,6.969398732117198e-08,52153.133146515145,77842.67503685429,166652.3756447483,0.6750000000000004,26391,0,26391.0,5.68225312919702e-07,0.0,0.6750000000000004,26309.185959128667,0.0,26309.185959128667,1,45477.532103761216,500.0,50.0,0,0.0071683816546623084,0.0964969724801111,-1,0.0,0.0,526.3900000000095,0.09999999999677005,6488.1,0.0,2.625,4574.318446305443,171.67,171.67,0,531.63,531.63,0.0,4473.0
