,region,hazard,rp,hhid,helped_cat,affected_cat,index_x,pcwgt,pcexp,pcsoc,c,pov_line,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,index_y,sub_savings,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
29,ARMM,EQ,1,1536313038,helped,a,1276,1.1615446422884594,13705.955421652428,287.8676682696048,14568.435,22302.6775,44794.17260739279,0.7950000000000005,5032,575,5607.0,3.339786985265963e-06,183.3123760921926,0.035,1778.684558863732,183.3123760921926,1961.9969349559246,3,15573.959716184301,13,174.46114571433338,0,0.016570039563229826,0.0020921803685977763,-1,0.1926782273603083,0.1926782273603083,4998.1799999999985,30067.14,30380.95,314.0,52.857,6371.217501983404,1748.69,1594.52,154.17,1923.74,314.0,31.0,314.0
30,ARMM,EQ,1,1536322016,helped,a,1320,2.1196174987423535,6821.744214676346,0.0,19211.765999999996,22302.6775,60261.9729529025,0.6750000000000004,8645,988,9633.0,3.339786985265963e-06,314.9784827462371,0.098,3497.2889467837904,314.9784827462371,3812.2674295300276,2,15573.959716184301,13,174.46114571433338,0,0.014429336168095525,0.001728151921485415,-1,0.1926782273603083,0.1926782273603083,8493.27,29713.119999999995,30380.96,343.0,28.084,19797.710541570887,2977.71,2712.81,264.9,3811.62,343.0,66.76,343.0
31,ARMM,EQ,1,1536382012,helped,a,1364,1.2896747669655706,14487.741835745614,0.0,16270.782000000001,22302.6775,51036.92314421137,0.2650000000000001,18107,2070,20177.0,3.339786985265963e-06,659.9245539318935,0.01,5947.047569890563,659.9245539318935,6606.9721238224565,3,15573.959716184301,13,174.46114571433338,0,0.015679267966968762,0.03540476112806077,-1,0.1926782273603083,0.1926782273603083,18072.139999999992,30021.99,30380.95,4691.0,35.546,25556.826906785085,6317.58,5762.58,555.0,6498.34,4691.0,34.81,4691.0
32,ARMM,EQ,1,1536382025,helped,a,1408,1.2896747669655706,14177.964200953262,0.0,15593.18,22302.6775,48911.47390665389,0.20500000000000004,20648,2360,23008.0,3.339786985265963e-06,752.3777523088253,0.008,6757.128870151887,752.3777523088253,7509.506622460713,3,15573.959716184301,13,174.46114571433338,0,0.016016316765809096,0.047969770356856074,-1,0.1926782273603083,0.1926782273603083,20616.199999999997,30033.799999999996,30380.95,5632.0,34.048,29151.988740650126,7206.29,6573.54,632.75,7371.25,5632.0,33.5,5632.0
33,ARMM,EQ,1,1536382038,helped,a,1452,1.2896747669655706,14456.07638830685,0.0,16000.623000000003,22302.6775,50189.509410826155,0.3350000000000001,14732,1684,16416.0,3.339786985265963e-06,536.8661588508737,0.012,4871.083623262476,536.8661588508737,5407.94978211335,3,15573.959716184301,13,174.46114571433338,0,0.01581108048186516,0.025219738398783876,-1,0.1926782273603083,0.1926782273603083,14697.980000000003,30025.28,30380.95,3515.0,36.377,20786.492800484037,5138.36,4686.86,451.5,5314.78,3515.0,34.67,3515.0
34,ARMM,EQ,1,1536401017,helped,a,1496,1.293821624909362,13072.231710497841,799.632471066311,13540.621000000001,22302.6775,39964.94159484574,0.3050000000000001,12983,1484,14467.0,3.339786985265963e-06,473.10533238402405,0.013,4313.498027041926,473.10533238402405,4786.603359425951,3,15573.959716184301,13,174.46114571433338,0,0.017187420582844903,0.024663357563599518,-1,0.1926782273603083,0.1926782273603083,12950.51,30030.859999999997,30380.95,2920.0,36.784,18374.588034328834,4527.59,4129.71,397.88,4695.99,2920.0,34.21,2920.0
35,ARMM,EQ,1,1536405018,helped,a,1540,1.8241625829125574,12286.432587431376,299.862169480626,11936.804000000002,22302.6775,36501.853803823054,0.8450000000000005,3846,439,4285.0,3.339786985265963e-06,139.95501409473488,0.046,1400.5829003838448,139.95501409473488,1540.5379144785798,3,15573.959716184301,13,174.46114571433338,0,0.018305684130266446,0.0002484918726229667,-1,0.1926782273603083,0.1926782273603083,3812.36,30093.289999999997,30380.95,31.0,86.241,7634.009070765885,1334.17,1216.47,117.7,1509.69,31.0,28.48,31.0
36,ARMM,EQ,1,1536932011,helped,a,1584,0.6738655744651818,24943.093587748725,5597.426846692262,21340.802999999996,22302.6775,49382.59751539765,0.5350000000000003,9192,1051,10243.0,3.339786985265963e-06,335.0631430832947,0.331,5606.241286446733,335.0631430832947,5941.304429530028,2,15573.959716184301,13,174.46114571433338,0,0.013690667317993573,0.0,-1,0.1926782273603083,0.1926782273603083,8658.350000000002,29239.719999999998,30380.95,0.0,10.0,6467.519808661607,3059.79,2778.0,281.79,5944.04,0.0,114.16,0.0
37,ARMM,EQ,1,1536932025,helped,a,1628,0.6738655744651818,125903.72169505572,0.0,217936.58000000002,22302.6775,683606.50912613,1.0350000000000006,56537,6464,63001.0,3.339786985265963e-06,2060.749911408579,1.0350000000000006,76540.02422978141,2060.749911408579,78600.77414118999,1,15573.959716184301,13,174.46114571433338,0,0.004284152581442262,0.009240181790728651,-1,0.0,0.0,46315.33999999998,20435.82,30381.17,19650.0,1.339,35502.24624625014,16796.02,15062.93,1733.09,65697.95,19650.0,874.71,19650.0
38,ARMM,EQ,1,1536932039,helped,a,1672,1.3477311489303636,18118.71077626152,1279.4118506725172,18579.625000000004,22302.6775,54265.9626857948,0.4250000000000002,13342,1525,14867.0,3.339786985265963e-06,486.1763018097282,0.013,4427.950409288787,486.1763018097282,4914.126711098515,3,15573.959716184301,13,174.46114571433338,0,0.014672750190353185,0.017895173833031693,-1,0.1926782273603083,0.1926782273603083,13308.619999999999,30030.120000000003,30380.95,3047.0,36.558,19669.428393460417,4652.78,4243.91,408.87,4825.84,3047.0,34.26,3047.0
