,district,hazard,rp,index,hhid,helped_cat,affected_cat,pov_line,ispoor,pcwgt,pcsoc,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
45,Ampara,PF,5.0,45,52103067011,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,102753.42851170579,312750.80179445737,0.7150000000000004,46678.308271111826,0.0,46678.308271111826,0.0,15336.031704677336,0.0,15336.031704677336,0.7150000000000004,48711.02211852231,0.0,48711.02211852231,1,36346.798828125,0,0,0.0,0.006239242057664133,0.2662692291524426,-1,0.0,0.0,True,5830.070448541849,0.8149261600954105,8562.785709308815,0.0,0.8472770850077582,1942.0246922394872,0.0,1942.0246922394872,6168.349776529394,6125.468404531407,0.011304514239597552,3.2239904665866926e-06
46,Ampara,PF,5.0,46,52103067021,helped,a,43493.30859375,0.0,2.701648215347238,0.0,102512.07002948405,312016.1785324594,1.0350000000000006,27824.04742847811,0.0,27824.04742847811,0.0,9141.515391629302,0.0,9141.515391629302,1.0350000000000006,37939.40448010416,0.0,37939.40448010416,1,36346.798828125,0,0,0.0,0.0062465826988716685,0.12830810471460732,-1,0.0,0.0,True,1369.7510197275867,0.3636353756594346,8542.672502457004,0.0,0.8764238596177509,459.0926165618405,0.0,459.0926165618405,1905.3406057291181,1886.087789299096,0.007324478483575092,3.2239904665866926e-06
47,Ampara,PF,5.0,47,52103067031,helped,a,43493.30859375,0.0,1.8010988102314913,0.0,117625.39303197702,358016.6279118183,0.6150000000000003,64232.181411560465,0.0,64232.181411560465,0.0,21103.309161654295,0.0,21103.309161654295,0.6150000000000003,60606.100729764,0.0,60606.100729764,1,36346.798828125,0,0,0.0,0.00583148888081493,0.3415698294517179,-1,0.0,0.0,True,10731.657249550968,1.1651273732907441,9802.116085998085,0.0,0.8420326158697825,3567.8858200268296,0.0,3567.8858200268296,10246.527961299693,10185.337034997357,0.013888547756181424,3.2239904665866926e-06
48,Ampara,PF,5.0,48,52103067041,helped,a,43493.30859375,0.0,1.8010988102314913,2499.999938964844,73981.20290810967,217567.49879558414,0.5350000000000003,45452.51739524581,0.0,45452.51739524581,0.0,14933.35518720904,0.0,14933.35518720904,0.5416360750155955,37634.40407998467,0.0,37634.40407998467,2,36346.798828125,0,0,0.0,0.007353080175682087,0.39624535891039314,-1,0.0,0.0,True,9424.296042790242,0.8302824878181525,6165.1002423424725,0.0,0.9264145957479082,3128.8179183436996,0.0,3128.8179183436996,8286.90730298006,8243.363576116859,0.008710322648141755,3.2239904665866926e-06
49,Ampara,PF,5.0,49,52103067061,helped,a,43493.30859375,0.0,1.8010988102314913,0.0,173242.29277537798,527297.889277117,0.8450000000000005,62750.59192545099,0.0,62750.59192545099,0.0,20616.536950452428,0.0,20616.536950452428,0.8450000000000005,73640.78712745855,0.0,73640.78712745855,1,36346.798828125,0,0,0.0,0.004805106682568002,0.19489378480487954,-1,0.0,0.0,True,5369.260389917913,0.9991350087727113,14436.857731281498,0.0,0.8546953353545179,1793.0121779584838,0.0,1793.0121779584838,6404.510535950314,6351.804249556904,0.016400374529979445,3.2239904665866926e-06
50,Ampara,PF,5.0,50,52103067071,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,112472.31443681991,342332.19299136556,1.1150000000000009,26989.371982775054,0.0,26989.371982775054,0.0,8867.285035548903,0.0,8867.285035548903,1.1150000000000009,38960.43479634311,0.0,38960.43479634311,1,36346.798828125,0,0,0.0,0.005963581785685652,0.10622614600226087,-1,0.0,0.0,True,1052.7609436376615,0.319077841152243,9372.692869734992,0.0,0.8977613625094036,353.39294339145573,0.0,353.39294339145573,1552.7123209971671,1535.7925600999286,0.0069291125517771945,3.2239904665866926e-06
51,Ampara,PF,5.0,51,52103067081,helped,a,43493.30859375,0.0,2.701648215347238,0.0,130928.62116746003,398507.6881721863,0.8450000000000005,47391.97006531685,0.0,47391.97006531685,0.0,15570.503353452117,0.0,15570.503353452117,0.8450000000000005,55616.71805864488,0.0,55616.71805864488,1,36346.798828125,0,0,0.0,0.005527295692134975,0.1947129920255024,-1,0.0,0.0,True,4055.0984439188187,0.7545901157907764,10910.71843062167,0.0,0.8546953353545146,1354.1606040228005,0.0,1354.1606040228005,4836.964278573729,4797.158203915852,0.012386274534406994,3.2239904665866926e-06
52,Ampara,PF,5.0,52,52103067091,helped,a,43493.30859375,0.0,5.403296430694476,0.0,98520.44416939592,299866.8594655649,0.8450000000000005,35467.029010545644,0.0,35467.029010545644,0.0,11652.596281280852,0.0,11652.596281280852,0.8450000000000005,41622.23579519194,0.0,41622.23579519194,1,36346.798828125,0,0,0.0,0.006371868656419071,0.19326392840703902,-1,0.0,0.0,True,3034.739723899802,0.5647173875856311,8210.037014116328,0.0,0.8546953353545141,1013.4217539726918,0.0,1013.4217539726918,3619.8696140867123,3590.079689702031,0.009269594778174906,3.2239904665866926e-06
53,Ampara,PF,5.0,53,52103067101,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,112512.19319555954,342453.57204363693,0.9650000000000006,33886.22077462651,0.0,33886.22077462651,0.0,11133.22601866843,0.0,11133.22601866843,0.9650000000000006,43833.42906618304,0.0,43833.42906618304,1,36346.798828125,0,0,0.0,0.005962524827726458,0.14978463441282477,-1,0.0,0.0,True,2044.9997657569206,0.47976183530471417,9376.016099629962,0.0,0.8607987365150648,684.4885452891854,0.0,684.4885452891854,2694.9493386946288,2669.5823983646055,0.009003874329643224,3.2239904665866926e-06
54,Ampara,PF,5.0,54,52103068011,helped,a,43493.30859375,0.0,4.862958348560363,0.0,85913.1255691381,261493.94035406655,0.7950000000000005,33369.881813791966,0.0,33369.881813791966,0.0,10963.584252138957,0.0,10963.584252138957,0.7950000000000005,37492.640294103585,0.0,37492.640294103585,1,36346.798828125,0,0,0.0,0.00682339065026466,0.21480169006999184,-1,0.0,0.0,True,3302.3950261096675,0.5531725436144512,7159.427130761508,0.0,0.8541276643454357,1101.7407148758716,0.0,1101.7407148758716,3767.6700767042225,3738.5172640572014,0.008538682725074409,3.2239904665866926e-06
