,,,k_q1,k_q2,k_q3,k_q4,k_q5,dk_q1,dk_q2,dk_q3,dk_q4,dk_q5,dc_q1,dc_q2,dc_q3,dc_q4,dc_q5,dw_q1,dw_q2,dw_q3,dw_q4,dw_q5,nrh_q1,nrh_q2,nrh_q3,nrh_q4,nrh_q5,dw_pds_q1,dw_pds_q2,dw_pds_q3,dw_pds_q4,dw_pds_q5
IVA - CALABARZON,EQ,25,66066.54472754383,106424.90875842924,149013.6154603578,215606.9275428241,465754.1500123146,204.4804370145189,268.8417336989368,366.41842787205115,493.2552730914095,1040.535231064867,121.28229551236512,254.6212998375536,361.72317772406103,509.05303007136087,1091.2734856027053,1928.1021677758397,950.6804518358413,756.7586784731636,556.1986789267158,385.44638141999565,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,25,66066.54472754382,106424.90875842921,149013.6154603578,215606.92754282415,465754.15001231467,540.2548504151185,699.4438901352021,932.3112152505453,1307.9735819769362,2824.774594878619,377.6576257355326,763.1524785551879,1059.9252311180567,1518.1956188137553,3293.031862611807,4489.797596039946,2021.4326791383976,1584.0369914631876,1267.6041003176479,938.2844143390138,0,0,0,0,0,0,0,0,0,0
NCR,EQ,30,83304.77441565193,129722.78009492437,180967.1321029494,260829.680708048,581064.7892494724,311.9780414079367,460.77779983671707,628.2601491726219,840.90449927403,1809.2609361948366,251.28637405637804,440.6214385231474,611.2095215174578,859.4771562403705,1894.4443582801578,1881.3673273923796,1105.2968569353116,911.351018561999,654.6285236598656,441.5594428817097,0,0,0,0,0,0,0,0,0,0
NCR,PF,30,83304.77441565193,129722.7800949244,180967.1321029494,260829.68070804805,581064.7892494723,1408.7854208621804,1977.5054624874867,2741.309201797818,3662.1665787014326,8291.957307693281,1279.6967985971544,2155.8379038492853,3004.9608125595905,4219.623735334543,9519.78967991434,8268.944215252599,4820.110963641589,4054.691821642401,2956.1735691490094,2078.5053285355743,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,EQ,30,66066.54472754383,106424.9087584292,149013.6154603578,215606.9275428241,465754.15001231467,314.01009757999583,407.1003174195804,548.857523718234,748.1625438831927,1638.4198072595466,185.97260295073843,385.8940393997868,545.6275941395569,774.2995552524077,1685.139469740231,2924.181313597669,1451.186774895863,1132.5702578139224,842.2052722020666,604.0107006354,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,30,66066.54472754383,106424.90875842921,149013.61546035783,215606.92754282407,465754.15001231467,607.0544129042054,802.7211230252651,1061.1714163252775,1453.3119574014129,3100.61434798867,426.57625030694015,868.0538992627236,1199.8966326006055,1702.3655365915147,3665.4561487905753,4949.948083284608,2322.7635103087014,1815.7173724343565,1401.0806962550812,1009.2684672029591,0,0,0,0,0,0,0,0,0,0
NCR,EQ,50,83304.77441565193,129722.78009492441,180967.1321029494,260829.68070804805,581064.7892494723,1053.043221873774,1518.3447783204685,2069.7689949970472,2835.39369159381,6182.817339519038,838.7120744654434,1449.076837656497,2013.9958767360238,2872.6613138472226,6355.968814419518,5935.770780355195,3463.9129039929126,2868.6681156548893,2093.7075345884537,1421.8817445273814,0,0,0,0,0,0,0,0,0,0
NCR,PF,50,83304.77441565193,129722.7800949244,180967.13210294934,260829.68070804805,581064.7892494723,1591.8950489393253,2276.2070180588344,3168.7515403968873,4296.897296283285,9419.323317514209,1451.7263843975447,2465.6645779598457,3451.824918060026,4879.466404030002,10843.353658464337,9149.769674337345,5566.942955211368,4701.85262434254,3497.535242041715,2311.9340279497756,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,EQ,50,66066.54472754383,106424.9087584292,149013.61546035783,215606.92754282415,465754.1500123145,1010.1242279959899,1339.8041594782585,1791.3145446956275,2473.2659676526987,5292.298186050307,610.2877525747216,1276.2057744828303,1789.0526796508598,2551.272163142779,5509.798978901437,9526.74003507151,4727.173765161112,3705.261764956115,2802.9040894402538,1963.6524595020737,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,50,66066.54472754383,106424.90875842921,149013.61546035783,215606.92754282418,465754.15001231467,786.198328449444,1034.4691394642934,1361.5032598387604,1907.2957290631946,4044.2734987653953,550.5714883013852,1119.2268998207007,1541.8104052421988,2209.535549412883,4744.819257298718,6568.418951031551,3061.6466921914875,2388.280704308969,1891.961823794607,1354.4733229381006,0,0,0,0,0,0,0,0,0,0
NCR,EQ,100,83304.77441565193,129722.7800949244,180967.13210294934,260829.68070804805,581064.7892494723,3200.292741327582,4579.061383197178,6314.280148809293,8568.410291695656,18542.162498151338,2540.8181022216263,4384.7114955908355,6096.962698289846,8654.383348183981,19142.09719037174,19174.173187797755,10514.352157733108,8840.55768824536,6281.830193877866,4230.276288209766,0,0,0,0,0,0,0,0,0,0
NCR,PF,100,83304.77441565193,129722.7800949244,180967.1321029494,260829.68070804805,581064.7892494723,1949.8445681198812,2750.721680472547,3722.94395557511,5046.777060788399,10962.561341411232,1759.991537590391,2966.9056225681297,4084.864353146867,5780.9013179463145,12771.42248641939,11178.631864828958,6714.744842687048,5520.081596860828,4083.950728682237,2777.4141595974297,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,EQ,100,66066.54472754383,106424.9087584292,149013.61546035783,215606.9275428241,465754.1500123145,2851.850250025934,3868.2419843258685,5151.14188358462,7012.658813495498,14872.796833111606,1721.7131007282871,3637.357796485135,5102.6560983347235,7244.657261206531,15537.502272448186,26457.552316472695,13802.351883337697,10653.855793069439,7926.363346112307,5484.572549257084,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,100,66066.54472754383,106424.9087584292,149013.6154603578,215606.92754282415,465754.15001231467,1102.0363245764884,1401.4691897538348,1875.3968802022473,2651.9648278727714,5602.863106040179,762.0001727773807,1530.8100165943347,2131.6951718474825,3071.392405609798,6578.818166129357,9707.811406092424,4654.952846965427,3614.637179893062,2835.8406052938985,1948.6358632536842,0,0,0,0,0,0,0,0,0,0
NCR,EQ,200,83304.77441565193,129722.7800949244,180967.13210294937,260829.68070804805,581064.7892494723,6377.577457730883,8949.749354870539,12395.798053529668,17070.199054669178,36784.17409504084,5028.711277881335,8612.641875543963,12042.047366176317,17190.27594569181,37919.86317988952,38106.10466618676,20196.764459580867,17047.6831978016,12528.502261279791,8597.08521225125,0,0,0,0,0,0,0,0,0,0
NCR,PF,200,83304.77441565193,129722.7800949244,180967.13210294943,260829.68070804805,581064.7892494724,2218.9036618990676,3108.5822295821285,4297.095333737756,5880.500215350677,12604.36651459061,2011.3010668644108,3373.6914818995506,4715.059155354814,6704.379376865534,14718.017512945364,13182.513498626433,7611.243356740996,6359.210833114449,4769.017816663044,3193.0332482231906,0,0,0,0,0,0,0,0,0,0
