district,hazard,rp,c,di0,dc_post_reco
Ampara,PF,10.0,84085.35239159824,9314.52015169501,474.2919686080571
Ampara,PF,10.0,127977.7544198016,15994.061194713218,372.5534733184105
Ampara,PF,10.0,63104.103698321276,5896.820269111225,450.5557946146278
Ampara,PF,10.0,109066.06704154151,9668.521404000714,272.4762050883332
Ampara,PF,10.0,94159.17173348207,7782.9199580400455,292.7641747005655
Ampara,PF,10.0,121583.26586937431,15770.97056206535,405.01532715971365
Ampara,PF,10.0,235448.6944026397,20368.838351362567,184.1758034310358
Ampara,PF,10.0,134964.2208608794,15887.697520492316,330.22543342178983
Ampara,PF,10.0,84332.3692170995,7554.775316168192,363.41842613059754
Ampara,PF,10.0,64345.15846355207,8025.547749822445,644.9632303916305
Ampara,PF,10.0,70960.51373529609,7627.798086771611,450.32489012867285
Ampara,PF,10.0,355291.5926167329,38170.13641849526,218.3694966140893
Ampara,PF,10.0,91243.5903886416,9202.736953220045,376.45475808966074
Ampara,PF,10.0,110655.94415775119,14218.744495965615,428.3740204128141
Ampara,PF,10.0,109928.76852926641,14946.306864079914,462.3912759764898
Ampara,PF,10.0,141924.83602262445,15207.209481907916,289.25533448748195
Ampara,PF,10.0,111951.95339915203,16494.269331049185,504.071997645166
Ampara,PF,10.0,160569.655230329,13601.513221948997,209.6598368737897
Ampara,PF,10.0,102502.77174642302,15144.020840616206,478.1074139932557
Ampara,PF,10.0,183804.3538493617,20967.4600869633,281.59376844234237
Ampara,PF,10.0,56957.24134172043,6805.286735292619,791.4787899406099
Ampara,PF,10.0,56321.980722051034,6412.324748210463,765.0970677842752
Ampara,PF,10.0,47926.4935821537,5707.208105706559,1601.5728905136407
Ampara,PF,10.0,164644.84106070735,11723.188692387912,173.58468666230252
Ampara,PF,10.0,112096.1393197824,13537.04474097795,386.5861407351452
Ampara,PF,10.0,103488.57735445203,12590.803292265813,418.8729239781976
Ampara,PF,10.0,110492.10610863435,7729.066378032461,207.36566672032257
Ampara,PF,10.0,106788.6583938474,15610.461063559287,520.0488440407248
Ampara,PF,10.0,97012.81430365644,16858.508328340326,614.8445674787598
Ampara,PF,10.0,113176.36186234644,15845.062391841031,464.88855454401033
Ampara,PF,10.0,79599.17692245294,7464.689301867943,417.01100181203515
Ampara,PF,10.0,92027.65406586663,6490.706551373899,241.93107417597636
Ampara,PF,10.0,85275.27295131289,7354.226353607646,342.3491076118914
Ampara,PF,10.0,60261.880924932855,5600.116469774451,495.06279509898206
Ampara,PF,10.0,42675.06282351189,6038.399532318263,6113.730870221316
Ampara,PF,10.0,133293.0399477473,18214.108525488195,400.722091774487
Ampara,PF,10.0,90782.93137206325,8847.786404011073,368.6912118357672
Ampara,PF,10.0,87664.17842457897,7858.308179087368,341.5182888640463
Ampara,PF,10.0,68419.73492560527,6609.580375571144,412.4826678820713
Ampara,PF,10.0,83331.53447682013,5767.851781722812,271.70177074529494
Ampara,PF,10.0,91730.26474525568,7567.335641321191,295.0588855299985
Ampara,PF,10.0,197593.67936769768,29772.902669760253,384.11082519431693
Ampara,PF,10.0,101801.15443173007,9037.054719929236,287.55837207760374
Ampara,PF,10.0,167710.80747702456,12393.039804013202,175.12803189815037
Ampara,PF,10.0,175246.30306045068,21994.338143809422,317.2255339808385
Ampara,PF,10.0,69514.74050936532,6742.553626962407,405.3684976820465
Ampara,PF,10.0,83490.53273520054,8173.423290356594,411.1600052100856
Ampara,PF,10.0,269948.9727468681,17615.397876661613,129.10234736779373
Ampara,PF,10.0,173060.2176311793,25247.536627501733,382.99977487340544
Ampara,PF,10.0,80887.39913977553,7167.073187810719,375.02606689859886
Ampara,PF,10.0,76791.11979044926,10813.831341006153,587.3193294890839
Ampara,PF,10.0,62402.263729817234,7589.885211530302,664.8052051902728
Ampara,PF,10.0,91759.90113937744,8619.758927002586,348.95710317373397
Ampara,PF,10.0,65639.16967996367,5053.599590306408,473.8300149127894
Ampara,PF,10.0,78275.41798501398,6396.427531450618,355.5482990926474
Ampara,PF,10.0,73865.16746545941,5707.196224837584,370.2148087762268
Ampara,PF,10.0,124076.53152763502,9976.463081026859,224.26339030101872
Ampara,PF,10.0,71451.87554056526,9593.1230735544,599.5218153841911
Ampara,PF,10.0,61668.71317116152,6373.215346493301,537.921040066064
Ampara,PF,10.0,144694.3564673725,22199.362540385533,442.61266974009385
Ampara,PF,10.0,90861.08285976508,6641.28215274687,256.6401296721148
Ampara,PF,10.0,76889.79644394957,11582.354046034015,637.6584942991302
Ampara,PF,10.0,92985.7158371684,6049.259279978614,221.0658923514479
Ampara,PF,10.0,95663.65525381775,12573.118355786555,502.0218409851253
Ampara,PF,10.0,68180.37036003344,6362.553762071162,403.18250318269793
Ampara,PF,10.0,118005.73474408455,15149.848276875127,403.895274038869
Ampara,PF,10.0,211934.03791268208,27828.55279318639,319.15322872865437
Ampara,PF,10.0,43531.585667978296,6915.09837818287,6978.218438864966
Ampara,PF,10.0,119696.30997602706,13152.5430724778,327.6804608032446
Ampara,PF,10.0,184674.12166593422,31066.769930300812,446.8051178014495
Ampara,PF,10.0,100160.3716231262,7217.977347944417,227.47627205951642
Ampara,PF,10.0,53716.597151271526,5618.066459751391,771.6461073550006
Ampara,PF,10.0,182697.99878054557,13871.48782459396,172.98707020338605
Ampara,PF,10.0,80404.2872441393,5624.965192457422,281.1894475449776
Ampara,PF,10.0,196494.49609532388,20474.61117759327,246.05978174305332
Ampara,PF,10.0,55824.65413836826,4878.309843355799,542.9224876686868
Ampara,PF,10.0,190925.44381581355,31107.961418389263,423.0524422178746
Ampara,PF,10.0,185623.20111375058,22790.479672151807,301.33223932199814
Ampara,PF,10.0,159873.78004023852,18512.20475416851,295.76218572594917
Ampara,PF,10.0,109804.39879782543,9953.752369557062,276.54629965206277
Ampara,PF,10.0,45122.27429873637,7773.580010229921,8367.065319114368
Ampara,PF,10.0,120916.57004716176,9447.424567137941,224.76460152676052
Ampara,PF,10.0,57150.903282905216,7263.036321476819,869.6148937644123
Ampara,PF,10.0,100873.02787940188,9679.055326225742,321.0647310084363
Ampara,PF,10.0,133598.97800284298,17944.26883795335,393.69764589481764
Ampara,PF,10.0,98112.05030982768,10674.019996532541,387.96924358828994
Ampara,PF,10.0,119991.70127164882,15195.741453841856,394.66165132304354
Ampara,PF,10.0,214839.41233807613,33115.79278785857,384.1425961147247
Ampara,PF,10.0,38514.64452830704,5432.138630421186,5432.138630421186
Ampara,PF,10.0,123217.41593813125,19883.783652845108,524.5109537266609
Ampara,PF,10.0,56346.91794889607,24839.85972236147,24839.85972236147
Ampara,PF,10.0,234162.22411925194,22374.791352672048,214.28012942791298
Ampara,PF,10.0,180197.53788859933,16501.720151498546,219.3806195159777
Ampara,PF,10.0,40773.76333728006,3327.417024604023,3819.379181243904
Ampara,PF,10.0,145885.31998441293,12573.439716047564,224.0148999340832
Ampara,PF,10.0,99988.96334443141,11055.39018345727,383.53091113675765
Ampara,PF,10.0,61632.60809789574,5083.867204765294,408.52886193490747
Ampara,PF,10.0,257004.48953688113,41355.47865172448,381.53852807266054
Ampara,PF,10.0,114132.4607645239,12337.821460447476,338.53653140874627
Ampara,PF,10.0,99515.88258891707,11943.180218323867,431.36703472452575
Ampara,PF,10.0,61836.160555742754,5672.635006413174,462.6060364084593
Ampara,PF,10.0,127563.10271177287,21368.79398594828,487.09584002296333
Ampara,PF,10.0,130570.58148749631,15749.26103088858,355.46651701534574
Ampara,PF,10.0,229824.5997572971,26313.429265065384,264.60248128577297
Ampara,PF,10.0,42070.97080774336,3377.353907777105,1203.6455999292211
Ampara,PF,10.0,74437.86236420508,6883.63878386561,453.50029382317086
Ampara,PF,10.0,88586.92027026467,13501.714997766974,553.144577954405
Ampara,PF,10.0,125449.56726906053,20591.286038136008,534.3340436082296
Ampara,PF,10.0,58897.429073856976,4594.5175286932235,411.5859515618658
Ampara,PF,10.0,61330.250081710394,9568.293325870922,1005.1415535539064
Ampara,PF,10.0,102458.3816076594,13979.3861174225,491.7912905875019
Ampara,PF,10.0,173387.8702921696,11253.983808523633,147.72950200547282
Ampara,PF,10.0,107072.44825404783,10273.226363216569,309.46640323388544
Ampara,PF,10.0,140891.47624798954,12729.83137506703,240.1894238230449
Ampara,PF,10.0,159951.81434172404,10775.615866065002,164.6292201325054
Ampara,PF,10.0,82372.00787781365,6503.638021945435,314.31231285233173
Ampara,PF,10.0,255406.8898490122,40943.65600465085,381.5350085056877
Ampara,PF,10.0,102224.00917490518,11301.93785578728,379.1515063229786
Ampara,PF,10.0,81805.21330506254,10044.822709590988,454.16781922360036
Ampara,PF,10.0,43827.346100181625,6997.0014397046,7213.4280645933695
Ampara,PF,10.0,110796.07543529494,20945.406366940646,624.2473246840956
Ampara,PF,10.0,285832.1581421868,26969.043222896544,198.68006312540786
Ampara,PF,10.0,151826.2744402176,21524.007516340567,398.14412986716525
Ampara,PF,10.0,353350.0982582837,24428.20368635979,134.63044140141602
Ampara,PF,10.0,207696.3499560536,20865.244224608683,232.63207446219192
Ampara,PF,10.0,94182.69100710897,9477.393739808089,361.6099883240005
Ampara,PF,10.0,205086.8004152819,26185.61931021906,302.4116186278352
Ampara,PF,10.0,199023.77307787718,18943.086940687725,220.9008355145617
Ampara,PF,10.0,136605.6833495383,17141.931549260706,359.85311169346426
Ampara,PF,10.0,132628.50035191607,11255.357269742788,225.94869956591646
Ampara,PF,10.0,95002.50819895066,8927.291346065822,330.0965544507767
Ampara,PF,10.0,112544.13050637039,17248.33144904314,526.1538701461586
Ampara,PF,10.0,98325.14172568778,13215.0547433251,506.6030388941536
Ampara,PF,10.0,68917.52439484274,11019.475498549693,818.4703639372823
Ampara,PF,10.0,64901.60549339707,5192.81191277256,512.5616824654601
Ampara,PF,10.0,54152.62948447825,7083.117804032127,1068.2296043871906
Ampara,PF,10.0,48843.47572530447,6787.957624691525,1443.4506551851514
Ampara,PF,10.0,64871.33629370688,8250.846391323668,656.946506472491
Ampara,PF,10.0,77281.81363428508,11186.321115467874,607.3115168209812
Ampara,PF,10.0,209708.81228714067,19532.319041738057,208.15187786811669
Ampara,PF,10.0,99160.23414083423,13977.317203887109,532.4253261604563
Ampara,PF,10.0,65136.72791793608,4429.506990985735,411.31992255242835
Ampara,PF,10.0,67968.19885597187,8372.006127019058,581.0065463495156
Ampara,PF,10.0,80751.52172188628,11517.404818051782,558.6667432667807
Ampara,PF,10.0,116772.6193450133,15147.215316286767,410.3235445422074
Ampara,PF,10.0,97452.02238332696,6261.397993731021,211.49096268939581
Ampara,PF,10.0,132859.14626298947,13516.432693800325,281.84726794934573
Ampara,PF,10.0,96466.99020432602,9074.229925269045,325.99842692158416
Ampara,PF,10.0,67427.60712120273,8808.368004179967,639.9805801418545
Ampara,PF,10.0,103489.04609931757,9116.465237416609,280.5722665341048
Ampara,PF,10.0,112488.6897074024,16056.507749992596,479.78688153259736
Ampara,PF,10.0,54157.66849178247,5077.40858482916,645.1716088448608
Ampara,PF,10.0,97339.4122886994,14411.963973394712,495.60470604552694
Ampara,PF,10.0,130439.87198174925,19527.76236206117,457.38724887066354
Ampara,PF,10.0,126457.82575614742,10631.963222821065,232.48325714196983
Ampara,PF,10.0,111647.38642278797,12179.546784668479,345.77115925128993
Ampara,PF,10.0,186456.840419814,18011.869635730367,227.4068069193393
Ampara,PF,10.0,45570.49106879091,10355.150796714937,10355.150796714937
Ampara,PF,10.0,77161.46924937659,11219.671361047358,605.6672049538042
Ampara,PF,10.0,108623.87657266416,10217.165594998365,290.90706994435396
Ampara,PF,10.0,71963.73321507876,8506.947846012516,502.3697400161335
Ampara,PF,10.0,128109.26079181994,13126.957660465994,294.7216453912632
Ampara,PF,10.0,87416.08934519785,6724.301725752789,287.0443553481248
Ampara,PF,10.0,68797.18000993428,8791.877783518823,597.392945890971
Ampara,PF,10.0,59902.7168903587,11696.658714590227,1595.062002851952
Ampara,PF,10.0,62358.998578730774,6785.00256446361,571.7343988938553
Ampara,PF,10.0,70458.11884775503,8461.520262557793,527.3123458664463
Ampara,PF,10.0,56876.951205569676,4994.281130131702,516.158676731495
Ampara,PF,10.0,82443.2160821952,15192.697981263356,793.0469566515233
Ampara,PF,10.0,67025.68769558339,7845.649653212304,551.2465164812716
Ampara,PF,10.0,69698.76388425313,8720.792558846653,571.6120537819284
Ampara,PF,10.0,596154.6417746434,54178.33723072732,173.2024103897704
Ampara,PF,10.0,133990.71980556994,20326.240869557376,465.66148369902623
Ampara,PF,10.0,79812.51442936744,12194.877030289746,624.137527075723
Ampara,PF,10.0,151747.88858008294,15504.43131661094,262.28155502560776
Ampara,PF,10.0,54927.189359555116,7613.9638099456615,1122.274080362585
Ampara,PF,10.0,83985.73238905608,5759.234497652617,258.6620256244304
Ampara,PF,10.0,69241.75521831491,6441.325600555032,534.7104423399246
Ampara,PF,10.0,110600.46820291826,10095.41081558381,283.85582920488724
Ampara,PF,10.0,80284.68699170486,9297.790795031391,430.27854992047617
Ampara,PF,10.0,64510.43204381952,6740.668488553427,506.47986903616476
Ampara,PF,10.0,172326.11629730658,12777.962042340727,173.97135450983072
Ampara,PF,10.0,125751.14599690695,17558.502295937426,435.27922600485437
Ampara,PF,10.0,76041.27448840631,6363.558319327149,385.2015673718792
Ampara,PF,10.0,80995.52686162665,11714.124740915786,568.9364856013323
Ampara,PF,10.0,173891.12649840105,29539.109452557666,466.4223488591852
Ampara,PF,10.0,155621.39693207634,24847.85423763438,448.5230939124558
Ampara,PF,10.0,88741.92247866666,10070.906918650031,452.20368036078287
Ampara,PF,10.0,92736.96465566472,8837.447742807522,345.4778269341057
Ampara,PF,10.0,68724.04995160416,11983.283295982104,945.5649670004524
Ampara,PF,10.0,91984.37133684775,11059.656759844731,468.9700796994828
Ampara,PF,10.0,68505.14609941174,6410.962879146629,401.50604851203065
Ampara,PF,10.0,99198.12044458896,9094.883221638427,309.46828941875845
Ampara,PF,10.0,101628.18757635748,12563.667302586226,442.9718502939105
Ampara,PF,10.0,189124.8776011795,13501.300077498026,161.9133486936046
Ampara,PF,10.0,62525.4088652971,14361.255382633752,1685.701898651089
Ampara,PF,10.0,111255.05868897909,7857.721446551959,206.44490677624896
Ampara,PF,10.0,98666.65751607553,8141.1714536704885,277.8834416083081
Ampara,PF,10.0,48178.84531015555,6446.8133735618,1436.7292322206936
Ampara,PF,10.0,126332.57712808356,8323.748243345306,174.32440635168226
Ampara,PF,10.0,42954.9093675312,6870.423854063924,6870.423854063924
Ampara,PF,10.0,102631.75861478932,6574.9425920997655,195.49740120495338
Ampara,PF,10.0,74903.12093977624,8564.300387277954,456.57873676429284
Ampara,PF,10.0,149067.47653426795,12066.584188213777,205.53169549885158
Ampara,PF,10.0,98602.79102815004,13243.026630816606,500.0104310458088
Ampara,PF,10.0,126825.76703832821,9027.199420590332,187.82144813023825
Ampara,PF,10.0,56301.426259698485,6816.040702007806,838.0875422162267
