region,hazard,rp,c,di0,dc_post_reco
ARMM,PF,1000,23679.551000000003,5039.018115675124,68.0
ARMM,PF,1000,43158.81300000002,9388.462893111271,124.09
ARMM,PF,1000,59057.16800000001,7318.786465997331,5.04
ARMM,PF,1000,17095.063000000002,1772.232171646085,378.52
ARMM,PF,1000,29049.367000000013,8016.6487116769995,284.64
ARMM,PF,1000,22669.916,3753.599854103437,16.5
ARMM,PF,1000,52692.141,11527.67582915656,181.67
ARMM,PF,1000,44630.92199999999,5842.4045291574275,6.28
ARMM,PF,1000,17699.43,3517.3659920437585,2173.28
ARMM,PF,1000,22091.178000000004,4937.3195974605,104.79
ARMM,PF,1000,26347.422,5728.2726497817675,79.73
ARMM,PF,1000,20448.898000000005,2069.9952312462724,0.51
ARMM,PF,1000,23171.99200000001,8569.77388127692,6215.55
ARMM,PF,1000,22442.207,3011.105029896973,3.52
ARMM,PF,1000,21791.895,2339.065918936378,0.86
ARMM,PF,1000,28849.123,4330.6353336284255,9.63
ARMM,PF,1000,22999.85,3555.303683791534,7.79
ARMM,PF,1000,19642.471000000005,2894.741521594972,12.94
ARMM,PF,1000,13303.599000000002,1670.4242682619465,142.41
ARMM,PF,1000,291517.56,24625.387593894327,1.55
ARMM,PF,1000,14967.79,2226.328924068734,848.16
ARMM,PF,1000,31645.385,4500.55793616258,6.97
ARMM,PF,1000,24289.865,3092.750300616331,3.35
ARMM,PF,1000,40385.16800000001,2707.9223000471025,0.35
ARMM,PF,1000,27944.36500000001,2208.356224679336,0.34
ARMM,PF,1000,12165.501000000002,1167.3047879503888,19.5
ARMM,PF,1000,19204.664,2039.4947440177436,1.19
ARMM,PF,1000,17173.164000000004,5631.993801816825,3810.13
ARMM,PF,1000,19130.064,2437.895199959995,5.2
ARMM,PF,1000,15671.534,1774.898948572493,198.07
ARMM,PF,1000,14494.194,2960.096368723493,1486.69
ARMM,PF,1000,27029.578000000005,3105.152248935576,1.25
ARMM,PF,1000,46976.99200000002,3940.100271518971,0.35
ARMM,PF,1000,13565.215000000002,2337.1530941423725,943.4
ARMM,PF,1000,26852.838000000003,5306.494782703559,42.64
ARMM,PF,1000,35611.426,7818.033737232765,103.33
ARMM,PF,1000,17086.484,1506.9871335439905,15.58
ARMM,PF,1000,17601.883,1502.3214154243058,0.81
ARMM,PF,1000,22220.525,3573.156715202252,13.43
